"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2008","padelaide","Bentley, Greg","1","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","2","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","3","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","4","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","5","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","6","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","7","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","8","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","9","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","10","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","11","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","12","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","13","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","14","10","4","5","3","1","4","-","-","-","83"
"2008","padelaide","Bentley, Greg","15","7","1","14","-","-","5","1","-","-","83"
"2008","padelaide","Bentley, Greg","16","4","-","5","-","-","3","-","-","1","80"
"2008","padelaide","Bentley, Greg","17","6","3","6","-","-","2","-","2","-","76"
"2008","padelaide","Bentley, Greg","18","14","7","7","3","-","4","1","-","1","82"
"2008","padelaide","Bentley, Greg","19","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","20","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","21","","","","","","","","","",""
"2008","padelaide","Bentley, Greg","22","","","","","","","","","",""
"2008","padelaide","Boak, Travis","1","10","3","7","-","1","-","1","-","-","57"
"2008","padelaide","Boak, Travis","2","7","4","10","1","3","1","-","-","-","69"
"2008","padelaide","Boak, Travis","3","6","5","10","2","1","4","1","-","1","69"
"2008","padelaide","Boak, Travis","4","5","8","19","-","1","-","-","-","-","89"
"2008","padelaide","Boak, Travis","5","12","9","11","1","-","4","-","-","-","84"
"2008","padelaide","Boak, Travis","6","7","1","7","-","-","3","2","-","-","76"
"2008","padelaide","Boak, Travis","7","13","7","8","2","3","3","1","-","-","87"
"2008","padelaide","Boak, Travis","8","7","3","11","-","-","3","-","-","-","83"
"2008","padelaide","Boak, Travis","9","15","6","9","1","2","6","-","-","2","77"
"2008","padelaide","Boak, Travis","10","9","3","5","-","2","4","-","-","-","85"
"2008","padelaide","Boak, Travis","11","13","4","5","1","1","9","1","-","-","79"
"2008","padelaide","Boak, Travis","12","7","5","9","-","1","3","-","-","-","82"
"2008","padelaide","Boak, Travis","13","8","4","14","-","-","5","1","-","1","79"
"2008","padelaide","Boak, Travis","14","","","","","","","","","",""
"2008","padelaide","Boak, Travis","15","","","","","","","","","",""
"2008","padelaide","Boak, Travis","16","","","","","","","","","",""
"2008","padelaide","Boak, Travis","17","10","6","11","1","1","8","-","-","-","78"
"2008","padelaide","Boak, Travis","18","20","8","8","1","-","5","1","-","-","86"
"2008","padelaide","Boak, Travis","19","","","","","","","","","",""
