"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2009","hawthorn","Bailey, Max","1","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","2","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","3","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","4","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","5","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","6","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","7","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","8","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","9","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","10","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","11","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","12","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","13","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","14","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","15","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","16","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","17","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","18","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","19","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","20","","","","","","","","","",""
"2009","hawthorn","Bailey, Max","21","3","1","6","2","1","6","-","23","-","50"
"2009","hawthorn","Bailey, Max","22","-","-","-","1","-","-","-","2","-","5"
"2009","hawthorn","Bateman, Chance","1","16","10","8","1","-","6","1","-","-","85"
"2009","hawthorn","Bateman, Chance","2","7","4","5","1","2","3","-","-","-","72"
"2009","hawthorn","Bateman, Chance","3","13","10","16","3","2","2","2","-","-","79"
"2009","hawthorn","Bateman, Chance","4","14","4","19","2","-","2","-","-","2","82"
"2009","hawthorn","Bateman, Chance","5","11","4","11","3","1","6","-","-","-","85"
"2009","hawthorn","Bateman, Chance","6","7","3","12","-","-","3","-","1","2","87"
"2009","hawthorn","Bateman, Chance","7","5","2","3","1","-","-","-","-","1","44"
"2009","hawthorn","Bateman, Chance","8","14","8","8","1","1","3","1","-","-","72"
"2009","hawthorn","Bateman, Chance","9","12","3","11","-","1","-","2","-","1","86"
"2009","hawthorn","Bateman, Chance","10","15","3","7","1","2","5","2","-","-","74"
"2009","hawthorn","Bateman, Chance","11","8","4","6","2","-","1","-","-","-","87"
"2009","hawthorn","Bateman, Chance","12","9","7","14","1","1","2","-","-","-","78"
"2009","hawthorn","Bateman, Chance","13","15","5","14","1","-","3","-","1","-","86"
"2009","hawthorn","Bateman, Chance","14","9","4","12","1","3","2","-","-","1","83"
"2009","hawthorn","Bateman, Chance","15","10","3","11","1","-","2","-","1","-","76"
"2009","hawthorn","Bateman, Chance","16","14","5","13","-","2","1","-","-","1","82"
"2009","hawthorn","Bateman, Chance","17","14","5","9","1","1","2","1","-","1","75"
"2009","hawthorn","Bateman, Chance","18","16","6","11","2","-","1","1","-","1","82"
"2009","hawthorn","Bateman, Chance","19","11","4","11","-","1","3","-","-","-","80"
"2009","hawthorn","Bateman, Chance","20","14","9","10","-","1","5","-","-","2","80"
"2009","hawthorn","Bateman, Chance","21","12","4","17","-","3","2","-","-","-","80"
"2009","hawthorn","Bateman, Chance","22","18","8","8","-","-","2","3","-","2","85"
"2009","hawthorn","Birchall, Grant","1","12","6","17","2","-","1","-","-","-","85"
"2009","hawthorn","Birchall, Grant","2","9","5","5","1","1","3","-","-","-","85"
"2009","hawthorn","Birchall, Grant","3","15","6","11","1","1","3","-","-","-","78"
"2009","hawthorn","Birchall, Grant","4","","","","","","","","","",""
"2009","hawthorn","Birchall, Grant","5","","","","","","","","","",""
"2009","hawthorn","Birchall, Grant","6","","","","","","","","","",""
"2009","hawthorn","Birchall, Grant","7","19","7","9","-","-","2","-","-","-","83"
"2009","hawthorn","Birchall, Grant","8","13","4","9","-","-","4","-","-","-","89"
"2009","hawthorn","Birchall, Grant","9","12","8","12","-","-","-","-","-","-","85"
"2009","hawthorn","Birchall, Grant","10","12","6","13","-","1","2","-","-","-","86"
"2009","hawthorn","Birchall, Grant","11","8","8","9","-","-","4","-","-","-","88"
"2009","hawthorn","Birchall, Grant","12","6","2","12","-","-","1","-","-","-","86"
"2009","hawthorn","Birchall, Grant","13","10","4","7","2","-","-","-","-","-","87"
"2009","hawthorn","Birchall, Grant","14","7","6","6","1","-","3","-","-","-","87"
"2009","hawthorn","Birchall, Grant","15","11","6","6","-","1","2","-","-","-","85"
"2009","hawthorn","Birchall, Grant","16","12","6","10","-","-","1","-","-","-","85"
"2009","hawthorn","Birchall, Grant","17","5","3","13","2","1","-","-","-","-","84"
"2009","hawthorn","Birchall, Grant","18","11","2","17","1","1","1","-","-","1","85"
"2009","hawthorn","Birchall, Grant","19","9","3","11","-","1","5","-","-","-","66"
"2009","hawthorn","Birchall, Grant","20","7","5","13","-","-","2","-","-","-","84"
"2009","hawthorn","Birchall, Grant","21","12","6","13","-","-","1","-","-","-","86"
"2009","hawthorn","Birchall, Grant","22","9","2","14","-","-","1","-","-","-","88"
"2009","hawthorn","Brown, Campbell","1","1","2","5","1","-","-","-","-","-","92"
"2009","hawthorn","Brown, Campbell","2","8","5","7","3","2","1","1","-","1","96"
"2009","hawthorn","Brown, Campbell","3","7","3","14","1","1","4","-","-","2","96"
"2009","hawthorn","Brown, Campbell","4","9","6","4","1","1","2","-","-","2","94"
"2009","hawthorn","Brown, Campbell","5","3","2","4","1","-","4","-","-","-","84"
