"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2010","essendon","Atkinson, Jarrod","1","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","2","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","3","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","4","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","5","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","6","8","3","6","-","1","5","-","-","-","62"
"2010","essendon","Atkinson, Jarrod","7","6","1","7","-","-","1","-","-","-","77"
"2010","essendon","Atkinson, Jarrod","8","8","2","4","-","1","3","1","-","-","89"
"2010","essendon","Atkinson, Jarrod","9","5","2","3","-","-","4","-","-","-","89"
"2010","essendon","Atkinson, Jarrod","10","7","2","5","-","1","3","-","-","-","79"
"2010","essendon","Atkinson, Jarrod","11","9","4","5","1","-","8","-","-","-","95"
"2010","essendon","Atkinson, Jarrod","12","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","13","8","1","8","1","-","5","-","-","-","79"
"2010","essendon","Atkinson, Jarrod","14","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","15","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","16","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","17","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","18","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","19","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","20","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","21","","","","","","","","","",""
"2010","essendon","Atkinson, Jarrod","22","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","1","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","2","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","3","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","4","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","5","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","6","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","7","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","8","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","9","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","10","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","11","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","12","5","4","8","-","-","-","-","12","1","67"
"2010","essendon","Bellchambers, Tom","13","5","6","4","-","-","3","1","12","-","79"
"2010","essendon","Bellchambers, Tom","14","4","4","4","3","1","2","-","15","-","79"
"2010","essendon","Bellchambers, Tom","15","3","4","6","4","-","2","-","8","1","76"
"2010","essendon","Bellchambers, Tom","16","4","5","2","1","1","1","-","9","-","63"
"2010","essendon","Bellchambers, Tom","17","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","18","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","19","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","20","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","21","","","","","","","","","",""
"2010","essendon","Bellchambers, Tom","22","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","1","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","2","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","3","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","4","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","5","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","6","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","7","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","8","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","9","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","10","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","11","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","12","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","13","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","14","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","15","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","16","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","17","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","18","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","19","","","","","","","","","",""
"2010","essendon","Carlisle, Jake","20","3","4","5","1","-","-","1","-","-","85"
"2010","essendon","Carlisle, Jake","21","9","12","5","1","-","1","1","-","-","85"
"2010","essendon","Carlisle, Jake","22","4","4","4","-","-","-","-","-","2","83"
"2010","essendon","Colyer, Travis","1","","","","","","","","","",""
"2010","essendon","Colyer, Travis","2","","","","","","","","","",""
"2010","essendon","Colyer, Travis","3","12","-","7","-","1","4","-","-","1","76"
"2010","essendon","Colyer, Travis","4","9","2","10","-","-","5","-","-","-","67"
"2010","essendon","Colyer, Travis","5","4","4","10","1","1","2","-","-","-","76"
"2010","essendon","Colyer, Travis","6","","","","","","","","","",""
"2010","essendon","Colyer, Travis","7","","","","","","","","","",""
"2010","essendon","Colyer, Travis","8","6","2","7","-","1","5","-","-","-","73"
"2010","essendon","Colyer, Travis","9","","","","","","","","","",""
"2010","essendon","Colyer, Travis","10","","","","","","","","","",""
"2010","essendon","Colyer, Travis","11","","","","","","","","","",""
"2010","essendon","Colyer, Travis","12","","","","","","","","","",""
"2010","essendon","Colyer, Travis","13","","","","","","","","","",""
"2010","essendon","Colyer, Travis","14","","","","","","","","","",""
"2010","essendon","Colyer, Travis","15","14","3","5","2","1","-","-","-","2","67"
"2010","essendon","Colyer, Travis","16","14","2","13","-","1","3","2","-","1","72"
"2010","essendon","Colyer, Travis","17","10","6","8","-","1","2","1","-","2","67"
"2010","essendon","Colyer, Travis","18","8","3","11","-","-","4","-","-","1","67"
"2010","essendon","Colyer, Travis","19","7","2","13","-","-","3","1","-","-","69"
"2010","essendon","Colyer, Travis","20","7","2","12","-","-","2","1","-","-","78"
"2010","essendon","Colyer, Travis","21","","","","","","","","","",""
"2010","essendon","Colyer, Travis","22","11","5","4","-","1","3","2","-","3","83"
"2010","essendon","Crameri, Stewart","1","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","2","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","3","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","4","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","5","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","6","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","7","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","8","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","9","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","10","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","11","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","12","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","13","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","14","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","15","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","16","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","17","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","18","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","19","","","","","","","","","",""
"2010","essendon","Crameri, Stewart","20","3","2","14","-","2","1","-","-","-","79"
"2010","essendon","Crameri, Stewart","21","13","3","6","2","1","3","-","-","1","75"
"2010","essendon","Crameri, Stewart","22","4","3","13","-","-","2","-","-","-","83"
"2010","essendon","Davey, Alwyn","1","6","-","4","2","-","1","2","-","1","65"
"2010","essendon","Davey, Alwyn","2","5","2","7","2","1","7","-","-","-","86"
"2010","essendon","Davey, Alwyn","3","","","","","","","","","",""
"2010","essendon","Davey, Alwyn","4","","","","","","","","","",""
"2010","essendon","Davey, Alwyn","5","","","","","","","","","",""
"2010","essendon","Davey, Alwyn","6","10","4","3","1","-","4","2","-","3","85"
"2010","essendon","Davey, Alwyn","7","6","2","8","-","4","7","3","-","-","86"
"2010","essendon","Davey, Alwyn","8","5","3","11","1","1","7","-","-","-","87"
"2010","essendon","Davey, Alwyn","9","9","1","9","2","3","4","1","-","-","80"
"2010","essendon","Davey, Alwyn","10","5","2","6","1","-","11","2","-","-","82"
"2010","essendon","Davey, Alwyn","11","5","2","7","-","-","7","2","-","-","88"
"2010","essendon","Davey, Alwyn","12","10","1","5","-","4","6","3","-","2","83"
"2010","essendon","Davey, Alwyn","13","10","4","4","3","1","10","3","-","2","87"
"2010","essendon","Davey, Alwyn","14","8","2","6","2","2","5","-","-","2","88"
"2010","essendon","Davey, Alwyn","15","7","3","4","-","-","5","1","-","1","81"
"2010","essendon","Davey, Alwyn","16","8","2","6","1","-","1","1","-","2","84"
"2010","essendon","Davey, Alwyn","17","6","2","9","1","-","4","2","-","-","83"
"2010","essendon","Davey, Alwyn","18","4","4","10","1","1","2","-","-","1","87"
"2010","essendon","Davey, Alwyn","19","-","-","4","1","1","5","-","-","-","35"
"2010","essendon","Davey, Alwyn","20","","","","","","","","","",""
"2010","essendon","Davey, Alwyn","21","","","","","","","","","",""
"2010","essendon","Davey, Alwyn","22","","","","","","","","","",""
"2010","essendon","Dempsey, Courtenay","1","11","6","5","2","1","3","-","-","-","86"
"2010","essendon","Dempsey, Courtenay","2","13","2","11","2","4","4","-","-","-","84"
"2010","essendon","Dempsey, Courtenay","3","14","4","8","-","2","3","-","-","-","83"
"2010","essendon","Dempsey, Courtenay","4","9","2","3","2","-","6","-","-","-","81"
"2010","essendon","Dempsey, Courtenay","5","10","2","4","-","-","5","2","-","2","84"
"2010","essendon","Dempsey, Courtenay","6","11","6","7","1","1","5","-","-","-","80"
"2010","essendon","Dempsey, Courtenay","7","10","3","9","1","-","8","-","-","-","90"
"2010","essendon","Dempsey, Courtenay","8","9","3","9","3","1","4","-","-","-","89"
"2010","essendon","Dempsey, Courtenay","9","8","4","10","1","1","2","-","-","-","85"
"2010","essendon","Dempsey, Courtenay","10","7","3","11","-","1","1","-","-","-","81"
"2010","essendon","Dempsey, Courtenay","11","11","4","5","2","-","1","-","-","-","83"
"2010","essendon","Dempsey, Courtenay","12","13","6","9","1","2","4","-","-","-","87"
"2010","essendon","Dempsey, Courtenay","13","","","","","","","","","",""
"2010","essendon","Dempsey, Courtenay","14","","","","","","","","","",""
"2010","essendon","Dempsey, Courtenay","15","6","3","8","1","-","3","-","-","-","86"
"2010","essendon","Dempsey, Courtenay","16","7","3","5","-","-","2","-","-","1","82"
"2010","essendon","Dempsey, Courtenay","17","13","4","11","1","1","4","-","-","2","89"
"2010","essendon","Dempsey, Courtenay","18","7","3","14","-","1","2","-","-","-","76"
"2010","essendon","Dempsey, Courtenay","19","14","11","9","-","-","4","-","-","1","77"
"2010","essendon","Dempsey, Courtenay","20","9","3","6","1","1","2","1","-","1","66"
"2010","essendon","Dempsey, Courtenay","21","10","5","10","-","1","8","-","-","-","85"
"2010","essendon","Dempsey, Courtenay","22","9","8","4","4","2","2","-","-","1","73"
