"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2011","goldcoast","Ablett, Gary","2","11","4","12","1","5","6","-","-","1","95"
"2011","goldcoast","Ablett, Gary","3","17","5","17","3","-","6","-","-","-","95"
"2011","goldcoast","Ablett, Gary","4","","","","","","","","","",""
"2011","goldcoast","Ablett, Gary","5","11","1","15","1","-","3","1","-","2","96"
"2011","goldcoast","Ablett, Gary","6","15","1","15","1","-","1","-","-","2","90"
"2011","goldcoast","Ablett, Gary","7","16","-","4","-","3","6","-","-","1","93"
"2011","goldcoast","Ablett, Gary","8","18","-","23","1","2","8","4","-","1","93"
"2011","goldcoast","Ablett, Gary","10","13","1","18","1","1","4","-","-","-","93"
"2011","goldcoast","Ablett, Gary","11","15","1","17","-","2","9","2","-","-","93"
"2011","goldcoast","Ablett, Gary","12","20","3","18","2","3","8","2","-","-","91"
"2011","goldcoast","Ablett, Gary","13","21","5","13","1","1","8","-","-","1","91"
"2011","goldcoast","Ablett, Gary","14","16","4","8","-","6","6","2","-","-","91"
"2011","goldcoast","Ablett, Gary","15","20","4","14","1","2","14","3","-","2","94"
"2011","goldcoast","Ablett, Gary","16","2","1","1","-","-","3","-","-","-","20"
"2011","goldcoast","Ablett, Gary","17","14","1","13","1","2","6","1","-","1","90"
"2011","goldcoast","Ablett, Gary","18","15","3","21","-","1","-","-","-","-","91"
"2011","goldcoast","Ablett, Gary","19","17","2","17","-","2","4","1","-","3","93"
"2011","goldcoast","Ablett, Gary","20","","","","","","","","","",""
"2011","goldcoast","Ablett, Gary","21","13","1","15","-","3","6","1","-","1","90"
"2011","goldcoast","Ablett, Gary","22","18","3","21","2","1","9","1","-","-","92"
"2011","goldcoast","Ablett, Gary","23","11","1","17","-","2","6","-","-","-","90"
"2011","goldcoast","Ablett, Gary","24","21","4","22","-","2","6","-","-","2","92"
"2011","goldcoast","Ablett, Nathan","2","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","3","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","4","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","5","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","6","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","7","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","8","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","10","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","11","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","12","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","13","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","14","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","15","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","16","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","17","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","18","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","19","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","20","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","21","","","","","","","","","",""
"2011","goldcoast","Ablett, Nathan","22","6","3","4","-","1","2","-","-","-","94"
"2011","goldcoast","Ablett, Nathan","23","3","2","9","1","-","1","1","-","1","93"
"2011","goldcoast","Ablett, Nathan","24","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","2","8","1","9","-","-","5","1","1","-","84"
"2011","goldcoast","Bennell, Harley","3","12","4","4","2","1","2","1","-","3","87"
"2011","goldcoast","Bennell, Harley","4","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","5","8","4","4","1","1","5","1","-","2","96"
"2011","goldcoast","Bennell, Harley","6","4","1","15","-","1","1","-","1","-","88"
"2011","goldcoast","Bennell, Harley","7","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","8","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","10","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","11","9","2","15","1","-","-","-","-","1","86"
"2011","goldcoast","Bennell, Harley","12","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","13","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","14","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","15","","","","","","","","","",""
"2011","goldcoast","Bennell, Harley","16","9","3","15","-","1","3","-","-","-","88"
"2011","goldcoast","Bennell, Harley","17","5","4","7","-","-","2","-","-","2","85"
"2011","goldcoast","Bennell, Harley","18","8","4","9","1","-","1","2","-","2","88"
"2011","goldcoast","Bennell, Harley","19","6","3","10","-","-","3","1","-","2","90"
"2011","goldcoast","Bennell, Harley","20","10","3","11","1","1","1","2","1","1","93"
"2011","goldcoast","Bennell, Harley","21","7","4","5","2","-","3","1","-","-","81"
