"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2013","fremantle","Ballantyne, Hayden","1","5","3","2","-","-","4","1","-","-","70"
"2013","fremantle","Ballantyne, Hayden","2","","","","","","","","","",""
"2013","fremantle","Ballantyne, Hayden","3","13","4","4","2","2","2","1","-","3","79"
"2013","fremantle","Ballantyne, Hayden","4","8","4","3","-","1","1","1","-","1","71"
"2013","fremantle","Ballantyne, Hayden","5","12","1","4","2","2","-","4","-","-","81"
"2013","fremantle","Ballantyne, Hayden","6","9","4","2","3","4","2","-","-","1","82"
"2013","fremantle","Ballantyne, Hayden","7","9","5","4","2","1","1","1","-","1","76"
"2013","fremantle","Ballantyne, Hayden","8","8","2","3","-","1","3","2","-","2","83"
"2013","fremantle","Ballantyne, Hayden","9","13","7","2","-","-","4","3","-","3","80"
"2013","fremantle","Ballantyne, Hayden","10","11","4","5","2","2","4","1","-","1","80"
"2013","fremantle","Ballantyne, Hayden","12","11","6","3","-","3","1","-","-","3","79"
"2013","fremantle","Ballantyne, Hayden","13","7","2","4","1","3","3","-","-","-","85"
"2013","fremantle","Ballantyne, Hayden","14","5","4","3","1","1","7","-","-","-","77"
"2013","fremantle","Ballantyne, Hayden","15","14","8","2","1","-","2","5","-","1","85"
"2013","fremantle","Ballantyne, Hayden","16","8","5","5","-","1","3","-","-","1","74"
"2013","fremantle","Ballantyne, Hayden","17","","","","","","","","","",""
"2013","fremantle","Ballantyne, Hayden","18","","","","","","","","","",""
"2013","fremantle","Ballantyne, Hayden","19","15","4","2","3","3","3","3","-","3","76"
"2013","fremantle","Ballantyne, Hayden","20","9","4","3","-","2","4","2","-","2","55"
"2013","fremantle","Ballantyne, Hayden","21","10","4","4","2","-","5","4","-","2","81"
"2013","fremantle","Ballantyne, Hayden","22","15","5","4","1","2","3","4","-","1","73"
"2013","fremantle","Ballantyne, Hayden","23","","","","","","","","","",""
"2013","fremantle","Ballantyne, Hayden","QF","6","2","2","-","-","4","1","-","1","86"
"2013","fremantle","Ballantyne, Hayden","PF","8","1","5","3","2","8","1","-","2","80"
"2013","fremantle","Ballantyne, Hayden","GF","8","3","6","-","3","2","-","-","2","79"
