"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2013","gws","Adams, Taylor","1","2","1","3","1","-","-","-","-","-","23"
"2013","gws","Adams, Taylor","2","","","","","","","","","",""
"2013","gws","Adams, Taylor","3","","","","","","","","","",""
"2013","gws","Adams, Taylor","4","","","","","","","","","",""
"2013","gws","Adams, Taylor","5","","","","","","","","","",""
"2013","gws","Adams, Taylor","6","17","9","7","-","-","4","2","-","-","84"
"2013","gws","Adams, Taylor","7","16","8","6","-","-","2","-","-","1","82"
"2013","gws","Adams, Taylor","8","16","5","10","1","3","9","1","-","1","78"
"2013","gws","Adams, Taylor","9","17","6","11","3","1","4","-","-","-","84"
"2013","gws","Adams, Taylor","10","11","2","11","1","-","6","-","-","-","85"
"2013","gws","Adams, Taylor","11","16","3","6","3","-","1","-","-","1","80"
"2013","gws","Adams, Taylor","12","9","1","10","-","4","3","1","-","-","82"
"2013","gws","Adams, Taylor","14","15","7","6","1","-","2","-","-","-","87"
"2013","gws","Adams, Taylor","15","8","2","4","2","-","4","-","-","-","54"
"2013","gws","Adams, Taylor","16","","","","","","","","","",""
"2013","gws","Adams, Taylor","17","14","3","14","2","2","2","-","-","-","79"
"2013","gws","Adams, Taylor","18","12","3","11","1","-","3","-","-","-","75"
"2013","gws","Adams, Taylor","19","12","6","10","-","-","-","1","-","2","82"
"2013","gws","Adams, Taylor","20","8","4","6","1","1","4","-","-","-","62"
"2013","gws","Adams, Taylor","21","","","","","","","","","",""
"2013","gws","Adams, Taylor","22","16","6","7","1","4","6","1","-","-","83"
"2013","gws","Adams, Taylor","23","20","3","10","1","-","2","1","-","1","81"
"2013","gws","Brogan, Dean","1","8","2","5","2","2","2","-","22","1","85"
"2013","gws","Brogan, Dean","2","5","3","3","3","4","4","1","16","-","86"
"2013","gws","Brogan, Dean","3","2","3","6","2","-","1","2","24","-","92"
"2013","gws","Brogan, Dean","4","","","","","","","","","",""
"2013","gws","Brogan, Dean","5","","","","","","","","","",""
"2013","gws","Brogan, Dean","6","","","","","","","","","",""
"2013","gws","Brogan, Dean","7","1","2","3","-","-","1","-","11","-","48"
"2013","gws","Brogan, Dean","8","8","-","4","3","7","4","-","16","1","83"
"2013","gws","Brogan, Dean","9","","","","","","","","","",""
"2013","gws","Brogan, Dean","10","","","","","","","","","",""
"2013","gws","Brogan, Dean","11","","","","","","","","","",""
"2013","gws","Brogan, Dean","12","","","","","","","","","",""
"2013","gws","Brogan, Dean","14","","","","","","","","","",""
"2013","gws","Brogan, Dean","15","","","","","","","","","",""
"2013","gws","Brogan, Dean","16","","","","","","","","","",""
"2013","gws","Brogan, Dean","17","5","3","7","4","2","1","-","19","-","90"
"2013","gws","Brogan, Dean","18","4","3","5","1","1","2","-","20","-","88"
"2013","gws","Brogan, Dean","19","8","7","5","3","4","4","-","10","-","89"
"2013","gws","Brogan, Dean","20","","","","","","","","","",""
"2013","gws","Brogan, Dean","21","7","3","4","4","2","3","-","20","1","89"
"2013","gws","Brogan, Dean","22","7","5","8","-","1","1","-","21","-","89"
"2013","gws","Brogan, Dean","23","","","","","","","","","",""
"2013","gws","Bruce, Josh","1","","","","","","","","","",""
"2013","gws","Bruce, Josh","2","","","","","","","","","",""
"2013","gws","Bruce, Josh","3","","","","","","","","","",""
"2013","gws","Bruce, Josh","4","","","","","","","","","",""
"2013","gws","Bruce, Josh","5","","","","","","","","","",""
"2013","gws","Bruce, Josh","6","7","4","4","2","1","1","1","-","-","86"
"2013","gws","Bruce, Josh","7","5","2","7","2","-","1","-","-","-","85"
"2013","gws","Bruce, Josh","8","7","4","2","1","-","-","-","-","-","93"
"2013","gws","Bruce, Josh","9","10","4","7","2","1","2","-","-","-","94"
"2013","gws","Bruce, Josh","10","4","4","5","-","-","-","-","-","-","91"
"2013","gws","Bruce, Josh","11","7","5","5","-","-","4","-","-","-","88"
"2013","gws","Bruce, Josh","12","9","2","3","-","-","2","-","-","-","92"
"2013","gws","Bruce, Josh","14","","","","","","","","","",""
"2013","gws","Bruce, Josh","15","","","","","","","","","",""
"2013","gws","Bruce, Josh","16","","","","","","","","","",""
"2013","gws","Bruce, Josh","17","11","5","2","-","-","4","-","-","-","93"
"2013","gws","Bruce, Josh","18","8","6","1","3","-","2","-","-","-","98"
"2013","gws","Bruce, Josh","19","9","7","7","-","1","5","-","-","-","92"
"2013","gws","Bruce, Josh","20","8","3","4","3","-","6","-","-","-","88"
"2013","gws","Bruce, Josh","21","","","","","","","","","",""
"2013","gws","Bruce, Josh","22","","","","","","","","","",""
"2013","gws","Bruce, Josh","23","","","","","","","","","",""
"2013","gws","Bugg, Tomas","1","9","7","9","1","1","3","-","-","-","85"
"2013","gws","Bugg, Tomas","2","7","3","10","1","2","1","-","-","-","90"
"2013","gws","Bugg, Tomas","3","10","5","10","1","5","4","-","-","3","84"
"2013","gws","Bugg, Tomas","4","8","1","12","1","2","2","-","-","1","81"
"2013","gws","Bugg, Tomas","5","2","-","-","1","-","2","1","-","-","25"
"2013","gws","Bugg, Tomas","6","8","4","3","-","1","1","-","-","-","85"
"2013","gws","Bugg, Tomas","7","","","","","","","","","",""
"2013","gws","Bugg, Tomas","8","5","2","2","1","3","4","1","-","-","86"
"2013","gws","Bugg, Tomas","9","","","","","","","","","",""
"2013","gws","Bugg, Tomas","10","","","","","","","","","",""
"2013","gws","Bugg, Tomas","11","","","","","","","","","",""
"2013","gws","Bugg, Tomas","12","","","","","","","","","",""
"2013","gws","Bugg, Tomas","14","","","","","","","","","",""
