year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2014,2014-01-00,Fri,14/03/2014,7:50 PM,6:50 PM,37571,Docklands,FRE,70,0
2014,2014-01-01,Sat,15/03/2014,4:40 PM,3:40 PM,17102,SYD Showground,GWS,32,0
2014,2014-01-02,Sat,15/03/2014,6:55 PM,,19425,Carrara,GCS,18,0
2014,2014-01-03,Sun,16/03/2014,7:40 PM,6:40 PM,24640,Docklands,POR,33,0
2014,2014-01-04,Thu,20/03/2014,7:10 PM,6:10 PM,23622,Kardinia Park,GEE,38,0
2014,2014-01-05,Fri,21/03/2014,7:50 PM,6:50 PM,42332,Docklands,ESS,39,0
2014,2014-01-06,Sat,22/03/2014,4:40 PM,3:40 PM,12430,York Park,HAW,48,0
2014,2014-01-07,Sat,22/03/2014,7:40 PM,6:40 PM,31657,Docklands,STK,17,0
2014,2014-01-08,Sun,23/03/2014,4:40 PM,6:40 PM,36752,Subiaco,WCE,65,0
2014,2014-02-00,Thu,27/03/2014,7:45 PM,6:45 PM,62037,M.C.G.,RIC,12,0
2014,2014-02-01,Fri,28/03/2014,7:50 PM,6:50 PM,44163,Docklands,HAW,4,0
2014,2014-02-02,Sat,29/03/2014,1:40 PM,12:40 PM,19640,Docklands,STK,7,0
2014,2014-02-03,Sat,29/03/2014,4:15 PM,3:45 PM,50397,ADE Oval,POR,54,0
2014,2014-02-04,Sat,29/03/2014,4:40 PM,6:40 PM,35583,Subiaco,FRE,48,0
2014,2014-02-05,Sat,29/03/2014,7:40 PM,6:40 PM,32347,Stadium Australia,COL,20,0
2014,2014-02-06,Sun,30/03/2014,12:10 PM,,20933,Gabba,GEE,25,0
2014,2014-02-07,Sun,30/03/2014,3:20 PM,2:20 PM,22230,M.C.G.,WCE,93,0
2014,2014-02-08,Sun,30/03/2014,4:40 PM,3:40 PM,28512,Docklands,NM,29,0
2014,2014-03-00,Fri,04/04/2014,7:50 PM,6:50 PM,43583,M.C.G.,HAW,58,0
2014,2014-03-01,Sat,05/04/2014,1:45 PM,12:45 PM,31724,Docklands,WBD,2,0
2014,2014-03-02,Sat,05/04/2014,1:40 PM,1:10 PM,47426,ADE Oval,SYD,63,0
2014,2014-03-03,Sat,05/04/2014,3:40 PM,,16593,Carrara,GCS,53,0
2014,2014-03-04,Sat,05/04/2014,4:40 PM,6:40 PM,36448,Subiaco,WCE,25,0
2014,2014-03-05,Sat,05/04/2014,7:40 PM,6:40 PM,63152,M.C.G.,GEE,11,0
2014,2014-03-06,Sun,06/04/2014,1:10 PM,,7016,SYD Showground,GWS,32,0
2014,2014-03-07,Sun,06/04/2014,4:10 PM,,19111,Docklands,NM,7,0
2014,2014-03-08,Sun,06/04/2014,7:10 PM,,62730,M.C.G.,ESS,81,0
2014,2014-04-00,Fri,11/04/2014,7:50 PM,,62100,M.C.G.,COL,38,0
2014,2014-04-01,Sat,12/04/2014,1:45 PM,,37323,M.C.G.,MEL,23,0
2014,2014-04-02,Sat,12/04/2014,1:40 PM,2:10 PM,36231,ADE Oval,POR,113,0
2014,2014-04-03,Sat,12/04/2014,4:40 PM,,7863,Manuka Oval,WBD,27,0
2014,2014-04-04,Sat,12/04/2014,7:40 PM,,25271,Kardinia Park,GEE,75,0
2014,2014-04-05,Sat,12/04/2014,7:40 PM,,17729,Carrara,HAW,99,0
2014,2014-04-06,Sun,13/04/2014,1:10 PM,,25505,S.C.G.,NM,43,0
2014,2014-04-07,Sun,13/04/2014,3:20 PM,,22923,Docklands,ADE,86,0
2014,2014-04-08,Sun,13/04/2014,2:40 PM,4:40 PM,36722,Subiaco,FRE,53,0
2014,2014-05-00,Thu,17/04/2014,7:50 PM,,20676,Gabba,RIC,43,0
2014,2014-05-01,Sat,19/04/2014,1:40 PM,,57116,M.C.G.,COL,35,0
2014,2014-05-02,Sat,19/04/2014,4:40 PM,,25376,S.C.G.,SYD,17,0
2014,2014-05-03,Sat,19/04/2014,5:40 PM,7:40 PM,35366,Subiaco,POR,14,0
2014,2014-05-04,Sat,19/04/2014,7:40 PM,,36041,Docklands,STK,16,0
2014,2014-05-05,Sun,20/04/2014,12:40 PM,1:10 PM,44770,ADE Oval,ADE,65,0
2014,2014-05-06,Sun,20/04/2014,3:20 PM,,17243,M.C.G.,GCS,8,0
2014,2014-05-07,Sun,20/04/2014,4:40 PM,,27986,Docklands,CAR,28,0
2014,2014-05-08,Mon,21/04/2014,3:20 PM,,80222,M.C.G.,GEE,19,0
2014,2014-06-00,Fri,25/04/2014,2:40 PM,,91731,M.C.G.,COL,23,0
2014,2014-06-01,Fri,25/04/2014,7:45 PM,5:45 PM,13409,Wellington,BRI,3,0
2014,2014-06-02,Fri,25/04/2014,6:45 PM,8:45 PM,37624,Subiaco,NM,13,0
2014,2014-06-03,Sat,26/04/2014,1:40 PM,,11504,Carrara,GCS,40,0
2014,2014-06-04,Sat,26/04/2014,4:40 PM,,31005,Docklands,CAR,3,0
2014,2014-06-05,Sat,26/04/2014,7:40 PM,,24855,M.C.G.,SYD,31,0
2014,2014-06-06,Sun,27/04/2014,1:10 PM,,17404,Docklands,ADE,9,0
2014,2014-06-07,Sun,27/04/2014,3:20 PM,,52990,M.C.G.,HAW,66,0
2014,2014-06-08,Sun,27/04/2014,4:10 PM,4:40 PM,47007,ADE Oval,POR,40,0
2014,2014-07-00,Fri,02/05/2014,7:50 PM,,68251,M.C.G.,COL,34,0
2014,2014-07-01,Sat,03/05/2014,1:45 PM,,32924,M.C.G.,HAW,145,0
2014,2014-07-02,Sat,03/05/2014,2:10 PM,,6549,Manuka Oval,POR,35,0
2014,2014-07-03,Sat,03/05/2014,4:10 PM,4:40 PM,44216,ADE Oval,MEL,3,0
2014,2014-07-04,Sat,03/05/2014,7:40 PM,,33289,Docklands,ESS,8,0
2014,2014-07-05,Sat,03/05/2014,7:40 PM,,17953,Gabba,SYD,79,0
2014,2014-07-06,Sun,04/05/2014,1:10 PM,,19819,Docklands,GCS,43,0
2014,2014-07-07,Sun,04/05/2014,3:20 PM,,34377,M.C.G.,GEE,5,0
2014,2014-07-08,Sun,04/05/2014,2:40 PM,4:40 PM,40476,Subiaco,FRE,19,0
2014,2014-08-00,Fri,09/05/2014,7:50 PM,,34506,Stadium Australia,SYD,19,0
2014,2014-08-01,Sat,10/05/2014,1:10 PM,1:40 PM,38234,ADE Oval,POR,18,0
2014,2014-08-02,Sat,10/05/2014,4:40 PM,,26522,Gabba,ESS,8,0
2014,2014-08-03,Sat,10/05/2014,7:40 PM,,36326,M.C.G.,WBD,16,0
2014,2014-08-04,Sun,11/05/2014,2:40 PM,4:40 PM,29391,Subiaco,WCE,111,0
2014,2014-08-05,Mon,12/05/2014,7:20 PM,,26708,Docklands,CAR,32,0
2014,2014-09-00,Thu,15/05/2014,7:20 PM,7:50 PM,50051,ADE Oval,ADE,21,0
2014,2014-09-01,Fri,16/05/2014,7:50 PM,,41098,Docklands,SYD,50,0
2014,2014-09-02,Sat,17/05/2014,1:40 PM,,56910,M.C.G.,MEL,17,0
2014,2014-09-03,Sat,17/05/2014,4:40 PM,,21152,Docklands,NM,87,0
2014,2014-09-04,Sat,17/05/2014,5:40 PM,7:40 PM,38565,Subiaco,FRE,32,0
2014,2014-09-05,Sun,18/05/2014,4:40 PM,,14625,Docklands,GCS,38,0
2014,2014-10-00,Fri,23/05/2014,7:50 PM,,27402,Kardinia Park,GEE,20,0
2014,2014-10-01,Sat,24/05/2014,1:40 PM,,8331,SYD Showground,RIC,113,0
2014,2014-10-02,Sat,24/05/2014,4:40 PM,,53049,M.C.G.,COL,8,0
2014,2014-10-03,Sat,24/05/2014,7:10 PM,7:40 PM,52233,ADE Oval,POR,14,0
2014,2014-10-04,Sun,25/05/2014,3:20 PM,,14235,Carrara,GCS,45,0
2014,2014-10-05,Sun,25/05/2014,4:40 PM,,32419,M.C.G.,CAR,5,0
2014,2014-11-00,Thu,29/05/2014,7:10 PM,,37355,S.C.G.,SYD,110,0
2014,2014-11-01,Fri,30/05/2014,7:50 PM,,34855,Docklands,COL,86,0
2014,2014-11-02,Sat,31/05/2014,1:10 PM,1:40 PM,5655,Traeger Park,POR,20,0
2014,2014-11-03,Sat,31/05/2014,4:40 PM,,24625,Gabba,BRI,7,0
2014,2014-11-04,Sat,31/05/2014,7:45 PM,,74664,M.C.G.,ESS,50,0
2014,2014-11-05,Sun,01/06/2014,12:40 PM,1:10 PM,49069,ADE Oval,ADE,32,0
2014,2014-11-06,Sun,01/06/2014,3:20 PM,,14913,Docklands,FRE,38,0
2014,2014-11-07,Sun,01/06/2014,4:40 PM,,17906,M.C.G.,HAW,7,0
2014,2014-11-08,Sun,01/06/2014,5:40 PM,7:40 PM,35914,Subiaco,NM,38,0
2014,2014-12-00,Fri,06/06/2014,7:50 PM,,36952,Docklands,GEE,5,0
2014,2014-12-01,Sat,07/06/2014,1:40 PM,,15504,York Park,HAW,44,0
2014,2014-12-02,Sat,07/06/2014,4:10 PM,4:40 PM,42374,ADE Oval,POR,70,0
2014,2014-12-03,Sat,07/06/2014,7:40 PM,,8429,SYD Showground,ESS,15,0
2014,2014-12-04,Sat,07/06/2014,7:40 PM,,18054,Docklands,BRI,8,0
2014,2014-12-05,Sun,08/06/2014,3:20 PM,,21354,Carrara,SYD,35,0
2014,2014-12-06,Sun,08/06/2014,2:10 PM,4:10 PM,35389,Subiaco,FRE,40,0
2014,2014-12-07,Sun,08/06/2014,7:10 PM,,32977,Docklands,NM,28,0
2014,2014-12-08,Mon,09/06/2014,3:20 PM,,68130,M.C.G.,COL,33,0
2014,2014-13-00,Fri,13/06/2014,7:50 PM,,49624,M.C.G.,HAW,28,0
2014,2014-13-01,Sat,14/06/2014,1:45 PM,,22083,M.C.G.,FRE,20,0
2014,2014-13-02,Sat,14/06/2014,2:10 PM,,41317,S.C.G.,SYD,4,0
2014,2014-13-03,Sat,14/06/2014,2:40 PM,4:40 PM,32942,Subiaco,WCE,3,0
2014,2014-13-04,Sat,14/06/2014,7:10 PM,7:40 PM,47205,ADE Oval,ADE,36,0
2014,2014-13-05,Sat,14/06/2014,7:40 PM,,12700,Gabba,GWS,45,0
2014,2014-13-06,Sun,15/06/2014,1:10 PM,,25180,Kardinia Park,GEE,96,0
2014,2014-13-07,Sun,15/06/2014,3:20 PM,,28339,Docklands,WBD,8,0
2014,2014-13-08,Sun,15/06/2014,4:40 PM,,44626,M.C.G.,MEL,1,0
2014,2014-14-00,Fri,20/06/2014,7:50 PM,,34648,M.C.G.,SYD,11,0
2014,2014-14-01,Sat,21/06/2014,1:15 PM,1:45 PM,34258,ADE Oval,POR,72,0
2014,2014-14-02,Sat,21/06/2014,2:10 PM,,70516,M.C.G.,HAW,29,0
2014,2014-14-03,Sat,21/06/2014,4:40 PM,,18236,Carrara,GCS,40,0
2014,2014-14-04,Sat,21/06/2014,5:40 PM,7:40 PM,25152,Subiaco,FRE,83,0
2014,2014-14-05,Sat,21/06/2014,7:40 PM,,30948,Docklands,ESS,9,0
2014,2014-14-06,Sun,22/06/2014,1:10 PM,,9059,SYD Showground,GWS,8,0
2014,2014-14-07,Sun,22/06/2014,3:20 PM,,17317,Docklands,WCE,33,0
2014,2014-14-08,Sun,22/06/2014,4:40 PM,,26615,M.C.G.,NM,41,0
2014,2014-15-00,Fri,27/06/2014,7:50 PM,,43732,Docklands,GEE,9,0
2014,2014-15-01,Sat,28/06/2014,1:45 PM,,13178,York Park,HAW,53,0
2014,2014-15-02,Sat,28/06/2014,2:10 PM,,28487,Docklands,RIC,44,0
2014,2014-15-03,Sat,28/06/2014,2:40 PM,4:40 PM,40490,Subiaco,FRE,7,0
2014,2014-15-04,Sat,28/06/2014,7:40 PM,,15862,Gabba,BRI,4,0
2014,2014-15-05,Sat,28/06/2014,7:40 PM,,27778,S.C.G.,SYD,46,0
2014,2014-15-06,Sun,29/06/2014,1:10 PM,,24953,Docklands,WBD,6,0
