Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	GF	Tot
Alexander, Colin	5	8	1												4												18
Banks, Denis	9	21	18	15	11	11				24	22	10	26	19	24	19	21	7						17	17	11	302
Barwick, Doug	13	15	18	14	16	10	9		15			19	14	14	24	16	20	14	14	19	16	19	15	14	12	12	352
Brown, Gavin	14	29	17				21	13	18				15	10	25	25			11	14	10	25	24	20	17	7	315
Christian, Michael				24	17	13	13	2			5			11	9	6	11	25	18	11				24	15	19	223
Croall, Jason		15	10																								25
Crosisca, Gavin	14	24	29	29	15	25	18	21	30	20	23	3				23	23	22	16	2	31	18	20	17	13	6	442
Daicos, Peter	11	21	18	16	18		19	23	23	18	17	13	19	16	15	10	9	19	13	9	24	21	18	14	18	8	410
Francis, Tony	13									19	22	15	22	16		20	8		13	24	17	24	22	19	25	24	303
Gayfer, Michael		13	14	23	20	16	9	14	6	9	5	10	12	16	17	8	10	15	19	17	15	10	16	16	14	9	333
Hrysoulakis, Athas												4			-												4
Keays, Terry				19	7	24												22	7	19							98
Kelly, Craig	18	14	12			11	4		14	18	13	13	21	16	18	18	11	23	9	13	15	18	19	7	13	14	332
Kerrison, Shane	10					15	10	5	16	18	11	13	8				9	24	15	4						18	176
Manson, James	7	9	7	8	8	5	11	9	16	6	12	11	6	3	15	14	2	16	7	8	8	5	8	10	8	6	225
McGuane, Mick					19	14	27	24	27	37	22	28	31	19	31	28	24	29	31	25	25	9	24	20	31	22	547
McKeown, Ron				12	5	15	22	16	5	21	8	11	5	13	12	9	14	10	2		10	9	10	11			220
Millane, Darren	21	23				20	29	26	26	32	32	26	34	32	27	25	28	30	15	29	3	30	34	13	21	28	584
Monkhorst, Damian	8	20	9	15	17	10	16	17	28	8	9	13	18	19	18	12	12	11	8	13	11	7	11	2	5	17	334
Morwood, Shane	15	12	16	18	20	19	12	19	7	32	14	13	20	17	9	17	16	22	13	21	17	27	15	20	21	16	448
Richardson, Alan				22	22	20		10	12	5	2		13	7	19	19	16	8			14	18	15	13	8		243
Russell, Scott	22	27	36	25	29	7	32	29	35	22	31	23	36	21	32	23	19	34	19	28	23	21	20	23	20	27	664
Saunders, Darren		11	16	17	-																						44
Shaw, Tony	24	42	21	34	24	30	22	31	26	24	29	32	30	42	13	27	35	35	31	25	17	28	34	22	26	32	736
Shephard, Heath			11	3																							14
Starcevich, Craig	11				21		13	12	15	15	22	19	11							21	9	24	18		8	13	232
Tarpey, Andrew			11	2																							13
Taylor, Brian	4	2					2														8	4	8				28
Tranter, Brendan								13																			13
Tuddenham, Paul	14	17	13	18	10	12		15	17	4				7													127
Turner, Jamie	15	23	17	26	18	20	16	19	12	21	17	14	21	11	10	6	25	26	36	14	27	9	12	7	8	10	440
Wright, Graham	13	18	29	22	29	24	27	17	29	24	21	18	19	25	19	17	18	30	15	15	30	27	27	23	13	15	564
Totals	261	364	323	362	326	321	332	335	377	377	337	308	381	334	341	342	331	422	312	331	330	353	370	312	313	314	8809
Opponent	WC	CA	SY	FO	SK	ES	HW	FI	NM	ME	BB	GE	RI	WC	CA	SY	FO	SK	ES	HW	FI	NM	WC	WC	ES	ES	
