Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Ablett, Gary	4		4	3	5					1	2	1	4	1	1	-	3	3	3	2	1	5	43
Bailey, Bret	-																						
Baldwin, Peter	-	1	1																				2
Bews, Andrew		1	-	2	1	1	4																9
Bourke, Tim		-	-	-	-																		
Brown, Paul																	1	-	1	-			2
Brownless, Bill	-	2	1	-	1	1	-	-	3	3	2	1	1	-	2	3	1	-	1	-	-	-	22
Bruns, Neville									-	1	-	1	1	1			-	-	1	1	-	-	6
Cameron, David			3	5	2	-	3	1															14
Cameron, Gary	2					-	1	3	-														6
Christensen, Martin	-														-		-						
Couch, Paul	-	-	1	-	-	-	1	2	-			1	1	-	-	2	-	3	1	2	2	-	16
Darcy, Tim	-	-	-	-	-	-	-	-					1	-	-	-	-			1	6	1	9
Denham, Sean	-	-	3	-	-	-	2			-	-												5
Exell, Gavin	1							-	1	-	1	2	2	-	1	-							8
Flanigan, Darren	-	-	-	-	-	1	-	-	1	-	3	-	-	-	-	-	2		-				7
Fletcher, Adrian								1	-	-	-	-	-							1	-	-	2
Forssman, Darren																		-	1	1	1	-	3
Gurrie, Michael	-	-	-	-	-	-	-																
Hamilton, Shane	-					1	-				-	-	-	1	1	1	-	-	-	-	-		4
Hinkley, Ken						4	-	2	2	1	1	6	7	-	-	-			1	1	-	-	25
Hocking, Garry	-	-	-	2	3	1		2	1	-	-	-	-	-	-	1	-	1	-	-	-	1	12
Hocking, Steve	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1
Hungerford, Brett										-	-												
Lindner, Bruce	-							-			-	-	-			-							
Malakellis, Spiro	1	4		2	1	-	-	2	2	1	-	-	1		1	-	-	-	-	-	-	-	15
Malakellis, Tony													-	1	1	-	-	1	-	1		-	4
Mansfield, Michael																		-	2	-	-	-	2
McCrabb, Austin		-	-	-	-	-	-	-	-				-	-	-	-				1	1	1	3
Morgan, Darren		-	-	-	-	-	2	-	-	-	1	-				-	-						3
Neeld, Mark																	-	-	-	-	-	-	
Phillips, Garry														-							2	-	2
Poole, Trevor		1	-	-	1		2	-	-	1				1	2	-	-	-	-	-	2	1	11
Rogers, Andrew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-	
Russell, Dwayne									-	-	-	-											
Schulze, Michael	-	2						2	1	-	-	-	-		-								5
Scott, Robert			1	3	-	1	5	-	-	1	3	-	4	1							-	1	20
Sterrett, Ray		-	1	3	-	1	2		-	-	-	1		-	2	-		-	-				10
Stoneham, Barry	-	-	1	-	1	2	2	1	1	1		1	1	-	-		-	-	-	-	-	-	11
Troy, Darren																-	-	-	-	-	-		
Welsby, David		-																-					
Yeates, Mark	-													-	-	-	-	-	-				
Totals	8	11	16	20	15	13	24	16	12	11	13	14	23	6	11	7	7	8	11	11	15	10	282
Opponent	HW	ME	FI	NM	ES	BB	RI	SY	WC	FO	SK	CW	CA	HW	ME	FI	NM	ES	BB	RI	SY	WC	
