Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Allison, Brett	1	2	1	-	1	-	1	1	-	1	1	-	1	3	-	1	-	2	2	-	-	-	18
Angus, Warwick	1	1	-	1	1			4	-														8
Arceri, Mark				1																			1
Brayshaw, Mark	-	-	-	1						1	-	-	1	-	-	2	-	-	-	-	1	-	6
Bryce, Paul						2	2	2	1	2	2	-	2	1	3	2	1	2	2	1		-	25
Buckley, Ben	1	2	2	2	2	2	1	-	-	2								1	-	2	2	-	19
Carey, Wayne	3	3	3	1	4	2	1	4	1	2	2		-	1	3	-	4	1	4	2	3	2	46
Chandler, Jeff							1	-	3	1	3	1	2	1	2	4	2	-	2	-	1	3	26
Clarkson, Alastair					1	-	-	1	-					-	1								3
Crocker, Darren	2	1	-		-	2	-				-	2	2					1	1	1	2	1	15
Dwyer, Anthony																					2	1	3
Dwyer, David																2							2
Fairley, Ian	-							1	2			1	-	-	-	-	-	3	2	2	-	-	11
Gallagher, Michael										1	2	-	1	1	2	-	-	1	1	-	1	-	10
German, Peter	3	1	1	1	1	2	2	4	-			2	-	3	-	-	2	1	-	-			23
Hamilton, Steven								1	1	1	2										-	1	6
Harris, Darren				-	-																		
Hepburn, Mark		1	3	1	3	2	2	4	1	1	1	1	1	1	6	-	2	1	-	1	1	4	37
Krakouer, Andrew	1	1	-			-	1	1															4
Larkin, Matthew	2	1	1	1	2	2				1	2		1	2	-		1	2	4	1	1	2	26
Longmire, John	1	1	4	1	4	-	1	2	1	-	1	1	2	1	2	6	1	2	2	1	1	-	35
Martyn, Mick				1	1				1	-	-	2		2	-	-	2	1	1	1	1	1	14
McCarthy, John	1	2	2	-	2	2	2	3	2	-	3	1	2	-	1	1	-	-	1	4	3	1	33
McDonald, Donald	2	5	1			1	1	-	2														12
McRae, Dean	-	-	1	1	1	2	1	2	1	1	3	-					-	-	-	-	1		14
Pickering, Liam	1	2	1	1	2	-				-	2	2				-							11
Rock, Anthony		-	1	-	1	2	1	3				-					2	-	2	-	1	2	15
Romero, Jose	2								1	-	-	1	-	3	1	1	-	1	-	3	-	2	15
Schwass, Wayne	3	7	3	3	1		2	3	2	4	3		1	2	2	5	2						43
Sholl, Craig										1	1	4	-	-	1	3	1	2	-	2	3	1	19
Smith, Ross	-	1	1	-	1	2	-	1	1			2	-	-	2	-	1	-	-	-	-	-	12
Smith, Shaun						-	1			1	-	3	1	1	1	2	2						12
Steele, Darren	-	1	1	-	3	2	1																8
Stevens, Anthony	1	3	1	1	-	4	2	1	6				1	1	1	1							23
Tudor, Leigh										1	-	1	-										2
Totals	25	35	27	17	31	29	23	38	26	21	28	24	18	23	28	30	23	21	24	21	24	21	557
Opponent	ME	RI	BB	GE	HW	CA	FO	SK	CW	WC	FI	ES	SY	ME	RI	BB	GE	HW	CA	FO	SK	CW	
