Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	PF	Tot
Annear, John	2	-							2	-																	4
Begovich, Tony								-							1	-	-	-	1	1					-	2	5
Breman, Todd			2	1	-	-	-						-	-												-	3
Brennan, Michael	1	-		1	2	3	4	-	2	1	-	-	-	-	-	1	2	1	1	-	-	-	1	3	-	1	24
Gwilliam, Brad	-	1	-													-											1
Hart, David			1	-							-	1	-	1	2	-	-	-	2	-	2	1	1	1	-	-	12
Heady, Brett				-	2	2	2	1	2	-	-	-	1	-	1				1	1	-	-	1	1	1	4	20
Irving, Dean	-	1	-								-	1	-	1	3	1	4	-	4	-	1		-	-			16
Jackson, Stevan			-	2	1	4	1	-	1	1	1		2	1	-		-								2	1	17
Keene, Laurie																						1	1	3	1	-	6
Kemp, Dean	2	3	-	1	-	-	8	1	3	2		-	1	-			-	-	3	5	2	-	-	1	2	1	35
Laidley, Dean	1	1	1	1	1	2	1																				8
Lamb, Dwayne	2	1	1	2	-	3	4	4	4		3	-	1	2	4	-	2	4	-	2		1	2	4	3		49
Langdon, Karl	4	2	-	1	1	-	2	1	-	2	2	-	1	-	-	2		-	1	-	-	3	-	1	-	-	23
Lewis, Chris		-				-	1	2	1	-	3	3	1	-	2	1	1	-	1	3	2	2	1	3	2	1	30
Lockyer, Andrew	-	1				2	1																		1	2	7
Mainwaring, Chris	4	3			2	1		2	4	2	1	2			1	2	5	3	1	1	1	1	1	2	3	6	48
Malaxos, Stephen			-	3	-	-	1	1	1	2	1	3	2	1	3	-	-	2	3	1	1	-	1	1			27
Matera, Peter	-						1	1	2	-																	4
McGrath, Craig											5	1			2	1	2	2	1		3	-	-	1			18
McKenna, Guy	4	-	1	4	-	1	-	1	-	-	-	2	1	3	2	1	-	3	-	1	2	-	-	1	2	2	31
Melesso, Peter																	-	1	3	3							7
Miles, Geoff							2	1	-	1					-	1	-	1	1	-							7
Narkle, Phil								2	2	2	4	-	1	3						1	1						16
OConnell, David				1	3																						4
Peos, Paul	2	1	1																			2	1	1	1	-	9
Pyke, Don	2	-								2									1								5
Rance, Murray	1	4	1	1	1	-	-	2	-	1	2	-	2	-							3	3	2	1			24
Scott, Phil	3	3	1	2	2	5	3	1	-	2	2	-	-	-	3	1	3	1	-	-	1	3			-	2	38
Sumich, Peter	1	1	-	2	1	4	-	1	1	-	-	2	-	-	2	2				2	2	1	-	-	-	-	22
Turley, Craig			1	2	4	-	1				1	5	3	-	1	2	3	1	-	1	1	2	1	-	4	-	33
Turner, Dean										1						1	1	-			1					4	8
Ugle, Troy	1	1	-	-	-	1				2	-	-	3	2	1	-	2	-	-	2				1			16
Waterman, Chris																				3	-	1	-		1	-	5
Watters, Scott			-	1	1			1	2	1											2	2	2		1		13
Wilson, Peter	-	3	1	2	3	4	2	-	-		-	1	2	1	1	-	2	1	1					-			24
Worsfold, John	-	1	-	2	-	1	2	-	4		1	3	-	2	1	-	-	1			3	2	1	3	-	1	28
Totals	30	27	11	29	24	33	36	22	31	22	26	24	21	17	30	16	27	21	25	27	28	25	16	28	24	27	647
Opponent	CW	SK	FO	CA	SY	RI	ME	BB	GE	NM	ES	HW	FI	CW	SK	FO	CA	SY	RI	ME	BB	GE	CW	CW	ME	ES	
