Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	Tot
Anderson, Greg	1	-	2	-	-	2	-	2	1	-	-	-	-						-	1	-	-	-	9
Bailey, Dean		-			-	-	1	-	-															1
Bewick, Darren		5	1			-	-		3	-	-	2	1	1	-	-	1	2	2	1	-		-	19
Burns, Adrian				1			2			-														3
Considine, Ed			1	1		-															-	-	-	2
Cransberg, Peter	-	-	-	-	-	-	-	-	-	-	1	1	-	-		1	-	-	1	1	-	1		6
Daniher, Anthony	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-								2
Daniher, Chris						-	-	-						-	-	1	1	-	-					2
Daniher, Terry												1	1	-	-	1	-	-	2	-	-	-	2	7
Ezard, Alan	-	1	-	1	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	1	-	-	1	6
Filandia, Peter			2	-							-	2	-	1	1	1	-	2	2			-		11
Flood, David		-	1	-	-		1		1	-						-	-	-	-	-				3
Fox, Brad	-	-					-	-	-	-	-	-			-					-				
Hamilton, Paul	-		-	1	-	-	-	1																2
Harvey, Mark	2	1		-	4	2	-	-									-	3	1	-		-		13
Heard, Shane	-	-		-	-	-	-											-	-		-	-	-	
Hills, Paul								-	1	-	1	-	-	-		-	-	1	-	-		-	-	3
Johnston, David														-	-	-	1	1	-	-	-	-	-	2
Kickett, Derek	-	1	1											-	-	-	-	1	1	-	5	1	1	11
Long, Michael	1	-	1	1	-	-	-			1	1	-	-	-	-	-	-			1	-		-	6
Madden, Simon	1	1	-	-	2	1	-	-	-	1	-	-	-	2	-	-	-	2	2	-	3	-	-	15
Manning, Andrew			1	-									-	1										2
McMullin, Ian	-	-	-	1	1			3	-	1	-	4	2	-	1	-	-	1		-	-			14
Morrish, Paul								-	-	-	-	-	-		-									
OBrien, Craig	1		1	2	-	-						1	-					3	1			3	-	12
ODonnell, Gary	-	1	1	-	-	-	-	-	-		-	-	-	-	-	-	1	-	1	1	-	-	-	5
Plain, Bradley				1	1	7		1	3		1						-	1	-	1	-			16
Ridley, Todd	-	2	1																					3
Robertson, David								-	2	-														2
Salmon, Paul	2	1	-		-	-	-			2	3	1	-		1	1	2	-	-	-	1	-		14
Somerville, Peter	2	-	2	2	4	1	-	-	-	-		-		-	-	-	1				-		-	12
Sporn, Kieran					1	-	1	-	1	-	-	3	-	2	-	-						1	-	9
Thompson, Mark	2	-									-	-	-	-							-	1	-	3
Wallis, Dean															-	1	-	-	-	-	-			1
Walsh, Kevin																							1	1
Wanganeen, Gavin	-	-	1	-	-		1	1	-	2	2	1	2	1	-					1	1	-	-	13
Watson, Tim	1				2	-		-	1	-	-			3	-	-	-	-	2	1	-	-	3	13
Werner, Michael									-	1	1		-									1	1	4
Totals	13	13	16	11	15	13	7	8	13	10	10	16	6	12	3	6	7	17	15	9	10	8	9	247
Opponent	RI	NM	AD	SY	BB	CA	WC	HW	SK	ME	CW	FI	FO	GE	RI	NM	AD	SY	BB	CA	WC	HW	ME	
