Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	Tot
Anderson, Greg	-	-	-	1	-	-	-	-	-	-	-	-	-						-	-	-	-	-	1
Bailey, Dean		-			1	-	1	-	-															2
Bewick, Darren		-	-			-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Burns, Adrian				-			-			-														
Considine, Ed			-	-		-															1	1	-	2
Cransberg, Peter	-	-	-	-	-	-	-	-	1	-	1	-	-	4		-	1	-	-	-	3	-		10
Daniher, Anthony	-	-	-	-	2	-	-	1	-	-	-	-	-	-	-	-								3
Daniher, Chris						-	-	-						-	-	1	1	-	-					2
Daniher, Terry												-	-	-	-	1	-	-	-	-	1	-	-	2
Ezard, Alan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Filandia, Peter			-	-							-	-	-	-	-	-	-	-	-			-		
Flood, David		-	-	-	-		-		-	-						-	-	2	-	-				2
Fox, Brad	-	-					-	1	-	-	-	-			-					-				1
Hamilton, Paul	-		-	-	-	-	-	-																
Harvey, Mark	-	-		-	-	-	-	-									-	-	-	-		-		
Heard, Shane	-	-		-	-	-	-											-	-		-	-	-	
Hills, Paul								-	-	-	-	-	-	-		-	-	-	-	-		-	-	
Johnston, David														-	-	-	-	-	-	-	-	-	-	
Kickett, Derek	-	-	-											-	1	-	-	-	-	-	1	-	-	2
Long, Michael	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-			-	-		-	
Madden, Simon	11	11	11	8	5	8	11	12	12	11	16	2	6	8	7	7	13	5	9	5	15	13	3	209
Manning, Andrew			-	-									-	-										
McMullin, Ian	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-		-	-			
Morrish, Paul								-	-	-	-	-	-		-									
OBrien, Craig	-		-	-	-	-						-	-					-	-			-	-	
ODonnell, Gary	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
Plain, Bradley				-	-	-		-	-		-						-	-	-	-	-			
Ridley, Todd	-	-	-																					
Robertson, David								-	-	-														
Salmon, Paul	9	9	3		14	8	4			2	3	11	12		19	10	12	11	12	10	16	11		176
Somerville, Peter	2	2	3	11	2	1	3	7	2	2		1		6	1	-	-				6		3	52
Sporn, Kieran					-	-	-	-	-	-	-	-	-	-	-	-						-	-	
Thompson, Mark	-	-									-	-	-	-							-	-	-	
Wallis, Dean															-	-	-	-	-	-	-			
Walsh, Kevin																							2	2
Wanganeen, Gavin	-	-	-	-	-		-	-	-	-	-	-	-	-	-					-	-	-	-	
Watson, Tim	-				-	-		-	-	-	-			-	-	-	-	-	-	-	1	-	-	1
Werner, Michael									-	-	-		-									-	-	
Totals	22	22	17	20	24	17	19	21	15	15	20	14	18	18	28	19	27	18	21	15	44	25	8	467
Opponent	RI	NM	AD	SY	BB	CA	WC	HW	SK	ME	CW	FI	FO	GE	RI	NM	AD	SY	BB	CA	WC	HW	ME	
