Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				3								-		-	2											5
Allan, Ben	-	1	4	1	-	4	1	3	3	-	6	1	1	-	5	5	2	-	1	5	3	1	2	3	1	53
Anderson, Dean	1	1	1	-	-	1	-	1	3	1	1		4	2	1	-	1	-	1	-			-	-	-	19
Ayres, Gary	2	3	3	-	5	2	-	2	1	2	3	2	-				2	4	4	4	4	1	2	1	3	50
Brereton, Dermott	1						1			1	-	2	2	6	2	3	1	-	-	1	2	3	-		-	25
Collins, Andrew	1	5	2	-	6	2	3	2	1	1	5	4	6	-	1	3	-	-	1	2	1	6	1	6	-	59
Condon, Anthony	2	3	-	3	2	2								2	1	3	2	1	3	1	3	4	3	3	-	38
Cooper, Paul										1		1	-	1	-		2		2							7
Dear, Paul	-	5	1	3	-	-	1	1	2		1	1	1	2		-	3	2	-	1	1	2	1	2	1	31
DiPierdomenico, Robert											2															2
Dunstall, Jason	2	-	2	1	-	2								1	1	-	1	-	2	1	2	1	1	1	-	18
Gowers, Andrew		-	-																		1	3	-	3	2	9
Hall, Tony			-		1				1	-	3	-	1	2	-	-	1	-	-	-	3	1		-	-	13
Hudson, Paul	1	1	2	-	1	2	-	2	3	-	3	1	2	1	2	2	5	2	-	-	-	3	-	1	-	34
Jarman, Darren	-	-	1	1	-	2		-	3	3	4	3	2	2	2	3	-	-	2	3	-	4	1	1	2	39
Jencke, Ray	-	-	1	1	-	1	2	1	1	1	2	-	1	-	2	2	1	3	2		-	-	2	-	-	23
Johnston, Michael												2	-													2
Kennedy, John	1	2		2																						5
Langford, Chris	-	1	1	1	1	1	4	1	1	1	2	1	3	1	3	1	-	1	1	-	1	1	-	-	2	29
Lawrence, Stephen	1	2	1	1	-	-	1	-	3	2	-	1	-	-	3	4	-	-	1	-	2	-	2	1	1	26
Madigan, Greg						-	-	2	1	-			3		1			2	-	-						9
Maginness, Scott	-			2	-	-	-	1	4	1	2										-					10
McDonald, Alex		-	-		-	1	-																			1
Mew, Chris					-	1	-	-			-	1	2			1	-	1	-	-		1	1	1	3	12
Morrissey, James	-	-	-		-	-	2	1	1	-		1			2	5	2	-	2	-	4	-	1	3	2	26
Nugent, Glenn							-	-	-	-						1	2									3
Platten, John	1	3	4	3	2	2	3	-	6	3	2	5	4	4	6			1	7	1	1	4	-	3	-	65
Pritchard, Darrin	-	-	1	-	-	1	-	3	1	-	-	3	1	-	2	1		1	1	-	-	2	-	2	1	20
Robran, Matthew	1							-	1	-	1						1							2		6
Schwab, Peter				-			-																			
Tuck, Michael		3	2	3	2		5	3	5	2	-		2	3	3	3	1	3		1	5	4	2	1	2	55
Whittlesea, Gregory						2						1		1		-										4
Wittman, Chris	-	2	2	1				1	2		4	4	5	3	3	1				-	-	1	1			30
Totals	14	32	28	26	20	26	23	24	43	19	41	34	40	31	42	38	27	21	30	20	33	42	20	34	20	728
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
