Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	Tot
Brown, Gavin	9				5	12	7	9	6	7	10	4	1	9	5				8	1	3		6	102
Christian, Michael	10	5	4	8	5	6	-												5	1			5	49
Croall, Jason																				1				1
Crosisca, Gavin	4	3	6	6	5	6	4				6	1	5	9	7	3	5	1				2	1	74
Daicos, Peter	4	7	2	4	2	1	3	1	-					2	3	-	2	1	4	3	2	1	1	43
Francis, Tony	-		2	5	1	1	1	2	7	3	3	-	6	2	1	3	3	1	5		1	1	1	49
Fraser, Mark								-		3		3	2	3	-	2	2	3	3	1	3	2	2	29
Gayfer, Michael	1	2	3	3	4	5	1	7	2	1	3	-	4	3	1	2	7	1	1	2	4	6	1	64
Hardie, Brad																			5	2				7
Hecker, Terry	1	-		3	4																			8
Kelly, Craig	3	7						7	1	11	8	7												44
Kerrison, Shane			3			3						-	1	4	3	1			3					18
Lehmann, Troy	2	2	3	2	3	-		1	4	1	2	2				1				1			1	25
Manson, James		8	5	9	7	5	4	4	6	6	2	1						5						62
McCartney, Jason									-						3	9	11	1	2	6	2	1	2	37
McGuane, Mick	9	3	6	5	8	8	8	4	12	4	10	4	9	10	3	5	5	1		3	9	9	1	136
McKeown, Ron			5	6	3	6	5	4	3	2	3						1				3	3	8	52
McMullin, Ian																	2				2	-		4
Monkhorst, Damian	3			4		8	8	3	4	1	10	9	10	4	4	9	9	12	8	6	4	9	9	134
Morwood, Shane	1	3	4			4	4	1	3	2	-		2	1	2	9	8	12	2					58
Pert, Gary	4	7	3	2	4	2	4	3	2	1	4	-	5	4	2	1	2	9	1	3	5	1	3	72
Richardson, Alan	2	4	3	5	4		5	3	3	4	2	2	2	6	-	2	10	5	5	3	4	2	3	79
Richardson, Mark													4	4										8
Rocca, Saverio													6	5	8	2	4	6	7	4	-	1		43
Rowe, Brad			-	1			3					3	1	4	2	2	4	1	2	2	2	1	1	29
Russell, Scott	9	3	1	5	4	7	8	2	2	1	1	1	1	4	4	4	2	3	3	4	3	5	5	82
Saunders, Darren								1	-	3	2	2	4		1	3	-	2	5	2				25
Shaw, Tony		3			4	3	9				4	6	9	5	1	2	6	6	6	3	3	3	1	74
Starcevich, Craig	9	3	15	11	6	8	16	8	6	5	5	5	4	1	3	9	8			4	8	3	4	141
Tranter, Brendan				1	-																			1
Turner, Jamie	6	1					4	5	-	-								5	5	3	2	5		36
Watson, Shane	5	3	7	1	5	6	3	-		3	1							1						35
Williams, Paul		3	7	4	6	2					4	1	4	2			6	7	4		-			50
Woods, Tony	4	2	-						5	2												7	2	22
Wright, Graham	3	3	2	1	2	5	4	7	12	3	4	4	7	2	1	2					1	1	1	65
Totals	89	72	81	86	82	98	101	72	78	63	84	55	87	84	54	71	97	83	84	55	61	63	58	1758
Opponent	BB	SY	ES	ME	HW	NM	CA	AD	GE	FI	SK	WC	FO	RI	BB	SY	ES	ME	HW	NM	CA	AD	SK	
