Player	R1	R2	R3	R4	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R21	R22	R23	R24	QF	SF	PF	GF	Tot
Ablett, Gary	6	4	4	8	8	7	10	8	4	3	7	9	7	6	2			2	3				3	5	8	4	118
Bairstow, Mark	4	4	2	5	4	5	3	3		1	1	6	3	2	2	4	4	1	3	6	3	4		2	4	3	79
Barnes, John	2	3														9	4	3	3	5	4	6	5	12	14	4	74
Bews, Andrew			5	1	4	7	5	-	2	-	5	4	2	-			-	2				5	5	6	1		54
Bourke, Damian	1									4	4	9	-														18
Brown, Paul	7	4	7	4	3	1	6	1	2	2	2	6	5	2	6	6	5	1	5	2	2	4	2	2			87
Brownless, Bill	6	6			6	9	9	8	2	3	5	3	6	4	4	3	10	4	2	4	9	11	10	4	10	3	141
Bruns, Neville								-	3										7	2	-					2	14
Couch, Paul	4	4	5	4	-		2		4	2	2	4	4	2	2	3	9	2	3	5		7	6	2	4	2	82
Darcy, Anthony		2																									2
Darcy, Tim			8	3	5	3	5	3	2	4	1	5	7	1	1										5	3	56
Forssman, Darren	1	3	6	1	5	1	4	1	1	2			1	5	3				1			1					36
Handley, Steven	2	2	8	5	4	10	4	3	-	-	1	3	4	5	4	1	1	3	1	1	5	3	1	1			72
Heffernan, Martin								2	3	-																	5
Hickmott, Adrian																						5	4	1			10
Hinkley, Ken	8	4	4	4	6	2	12	4	1	1	6	5	3	6	4	9	5	9	2	2	5	8	3	8	4	5	130
Hocking, Garry	2	7							3	4	5	4	4	2	5	3	8	2	3	3	1	5	9	2	4	1	77
Hocking, Steve	2	4	3	4	-	2	1	-						-	3	6	-	-			2		-				27
Lamb, Jamie	2	1	-																								3
MacNish, Andrew																			4	6	1						11
Malakellis, Spiro	-									-	-	2	3	3	1	-	2	-				2	2				15
Mansfield, Michael						3	5	-			5	6	3	5	8	2	2	4	4	3	2	5	8	2	7	3	77
McGrath, Tim	1	6	-	2	3	7	3	3	5	1	3	1	2	-	2	3	9	2	2	3	2	5	2	3	2	3	75
Mensch, David			2	-		3	-	2			4	6	4	9	2	7	2	2				-					43
Merriman, Russell									1	1	1				3	3			3	-					2	-	14
Miles, Geoff	-	1	1	-	1	4	-	2	-							9	10	4	4	5	1	2	-	2	1	-	47
Neeld, Mark		2	1	-	2									3	1	-	6	1		2	2						20
Poole, Trevor	2	2	6	3	9	10	7	6	4	3	-	2	4			-									1	-	59
Riccardi, Peter				-	1	4	3	4	1	1	-	1				2	5	3	4	1	4	2	2	3	-	3	44
Rogers, Andrew	1	2	1	2	3	5	3		-					2	1	3	3				1			3	4	4	38
Scott, Robert	2	1	5	-	5	4	5	5	6	2		2	2	4	3	-	8	5	2	1	1		4	3	3	1	74
Simpson, Sean			2														2		2	1	8	8	4	2	5	1	35
Stoneham, Barry	3	2	6	8	10	13	7	5	7	9	2	4	1					5	7	5	3	5	3	6	4	8	123
Wills, Andrew				1	3	1					3	5	8	6	1					1	-	-	4	3	4	1	41
Totals	56	64	76	55	82	101	94	60	51	43	57	87	73	67	58	73	95	55	65	58	56	88	77	72	87	51	1801
Opponent	HW	ME	RI	WC	FI	BB	AD	ES	CW	SK	CA	NM	SY	FO	HW	ME	RI	WC	FI	BB	AD	ES	FO	WC	FO	WC	
