Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R17	R18	R19	R20	R21	R22	R23	R24	Tot
Allison, Brett	2	-	1							1	-	1	2	2	1	2	1	2	2			-	17
Archer, Glenn			-	-								-	1	-					-	-	-	-	1
Attard, Mark																				1	-	1	2
Bardsley, Kristian	-	1		2																			3
Brayshaw, Mark			-	-	-	-	-	-										-	-				
Buckley, Ben	-				1	-	-	-	-			-	-	1	-	-	-	-	-	-	-	-	2
Carey, Wayne	-	2	2	3	3	1	1	1	2	3	1		1	-	4	4	2	4	2	2	1	7	46
Chandler, Jeff			-	-																			
Christensen, Martin				-	1																		1
Clarkson, Alastair	1	-					-	-	1	-	-	-					-	-					2
Crocker, Darren	-	-	2	-	-	-	1	-	-	-	-	3	1	2	1	1	1	-	-	3	-	1	16
Dennis, Richard	-	-	1	-	-	1	2	-	2			-	-	-	-								6
Dilena, Carl										4	-												4
Dwyer, Anthony	4	1	2	-						-	1	2	-	2	1	-	2	1	4	1	-		21
Fairley, Ian	-	-	-	-	-	2	-	1	2	-		-	-	-	-	-	-						5
Gallagher, Michael	-	-	-														-						
German, Peter	-	1	1	-							1	1	2	-	3	-	3	-	-	1	1	-	14
Ishchenko, Alex				-	1	-	-	1	-		-	-	-	-	-			1	-	-	1	-	4
Larkin, Matthew	-	-	-	1	1	-	-	-	-	1	2	3											8
Longmire, John	6	-			3	-	7	5	5	2	3	6	7	1	3	1	3	4	3	-	-	5	64
Mann, Peter									-	2	-	-	1	1		1		-	-	1	-		6
Martyn, Mick	-	-	-	4	-	-	-	-	-	-	-			-	-	-	-	-	-			1	5
McCarthy, Adam															-	-	1	-	-	-	-	1	2
McCarthy, John	2	3	1	1		1				1	2	-	-			2	1	-	2	1	2	1	20
McDonald, Donald		-	1		-		-	-							2	1	-	2		1			7
McRae, Dean						-	-	-	1			1	2	-	1	-	-						5
Page, Glenn									-	-	-	-										-	
Pickering, Liam													-	-	-								
Roberts, Mark	-																						
Rock, Anthony	3	-	-	2	-	1	1	1	1														9
Romero, Jose			3				1	-	-	1	-	-											5
Schwass, Wayne					1	2	1	-	1	-	-					-	-	-	1	-	1	-	7
Sholl, Craig	-	-	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	1	4
Smith, Ross	-	-	-	-	1	-	-	-	-				1	1	1	1	-		-	-	-	-	5
Smith, Shaun					4	1	1	-		-										1	3		10
Spargo, Paul	1	2	-	-	-	-				1	-		2	4	1	-	1	1		2	-	-	15
Staritski, Justin				-	1	-					-							-	-	-	-	-	1
Steele, Darren		-							-	-	-	-	-	-	-	-	-	1	-		-	-	1
Stevens, Anthony					1	-	4	-				-	-	2	-	1			1	-	1	1	11
Tudor, Leigh									1	-								-					1
Totals	19	10	16	14	18	9	19	9	16	16	10	17	20	16	18	14	15	16	15	14	10	19	330
Opponent	RI	HW	CA	FO	SY	CW	ES	FI	ME	AD	WC	GE	BB	SK	RI	HW	CA	FO	SY	CW	ES	FI	
