Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	Tot
Banik, Anthony	6																		3	2	3	3	17
Bower, Nathan												8	6	4				5	2	3			28
Breman, Todd	3				2	1	5	5	5	9	3	10	11	4	7	3	5	-	3	4	3	5	88
Campbell, Wayne	8	7	19	7	10	17	9	15	5	11	8	10	16		12	9	9	8	6	14	15	9	224
Daffy, Nick	3	8	3	4																			18
Edwards, Stuart	-	3	3	7	4	4	4	4	7	4	3	6	7	-	6	7	4		-	3	3	3	82
Esler, Ty																		9	11	7			27
Francis, Matthew						1				2	2	5	4	9	7								30
Free, Tony	8	3	8	3	3	4	4	10	8	6					7	6	6	2	1	1	3	8	91
Gale, Brendon	12	6	4	11			6	4	8	7	4	6	13	2	5	9	5	2			7	1	112
Griffiths, Stuart					10	11	3	8	10	3	3												48
Gwilliam, Brad	3	1	2	2																			8
Hamilton, Greg										7	5												12
Herman, Ian														18	6	12	9	8	2	5	14	6	80
Hogg, Jeff	8	7	5	7	4	1		2				1	3	3	1	-	2	4	3	2	3	3	59
Honybun, David	3	2			3	8	2	3		1	3	5	2			3	1	-		3	-	5	44
Jackson, Stevan	4	6	7	5	9	1	3		4	4	2	5	5	1	4	3	4	2	4			12	85
Keays, Terry		1			4	3	4					1	3	1			4	-					21
Knights, Matthew	16	6	10	12	6	6	9	6	8	20	10	17	11	7	6	8	8	9	8	14	18	10	225
Lambert, Craig	16	18	18	18	10	8	11	17	10	17	9	20	11	14	9	16	2		16	-	10	6	256
Lennon, Bruce					3	2	1	11	10	12	5	-	5	2	12	7	5	7	4	6	5	3	100
Leys, Brian	12	8	5	10	4	10	7	3	5	8				8	2	3			10	10	7	9	121
Livingstone, Tim																	5	2					7
Maxfield, Stuart	4	2	3	5	3	2	3	5	6	8	4	6	2	3	9	3	2	2	4	3	5	9	93
McQueen, Mark	3	5	19	5	3			8	1	10	5	5	2	2	6	2	3	6			5	3	93
Menegola, Todd			4	5	5		3	1	5		5								3	8			39
Naish, Chris	10	4	1	2	10	6	6	3	3	4	4	4	10	9	12	3	5	3	4	7	7		117
ODwyer, Steven									9	8		5		5	-								27
Powell, Tim			4	3	1	2	5	6	2		4	8	8	6	7	4	4	1					65
Ryan, Des			1	8																			9
Ryan, Stephen	7	7	11	4		13	3				9												54
Scott, Allister																5	4	4	9	5	4	3	34
Smith, Craig						10	3	10	11	5	1	1									3	7	51
Turner, Scott	2	2	6	3	2	8	2	5	1				3	9	4	5	4	6	2	3	5	11	83
Walker, Robert		4																					4
Weightman, Dale	8	9	12	6	13							9	7	20	9	8			3	3	8	3	118
Young, Barry								8	2	4	2		-										16
Totals	136	109	145	127	109	118	93	134	120	150	91	132	129	127	131	116	91	80	98	103	128	119	2586
Opponent	NM	GE	ME	AD	WC	HW	FI	SY	FO	BB	ES	SK	CA	CW	NM	GE	ME	AD	WC	HW	FI	SY	
