Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	Tot
Banik, Anthony	-																		-	-	-	-	
Bower, Nathan												-	-	-				-	-	-			
Breman, Todd	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Campbell, Wayne	-	-	-	-	-	-	-	-	-	-	-	3	-		-	-	-	-	-	-	-	-	3
Daffy, Nick	-	-	-	-																			
Edwards, Stuart	-	-	-	-	3	2	-	2	-	1	-	1	-	2	2	-	2		1	1	2	-	19
Esler, Ty																		14	15	8			37
Francis, Matthew						-				1	-	-	-	-	-								1
Free, Tony	-	-	-	-	-	-	-	-	-	-					-	-	-	-	-	-	-	-	
Gale, Brendon	3	1	6	18			-	1	3	-	2	-	-	-	-	7	7	-			2	1	51
Griffiths, Stuart					-	-	-	-	-	-	-												
Gwilliam, Brad	-	-	-	-																			
Hamilton, Greg										-	-												
Herman, Ian														-	-	-	-	-	1	-	-	-	1
Hogg, Jeff	-	-	-	-	-	-		-				-	-	-	-	-	1	-	3	-	-	-	4
Honybun, David	11	5			3	9	9	9		6	10	13	8			16	7	1		4	4	8	123
Jackson, Stevan	-	-	2	4	2	-	3		-	-	-	-	-	-	-	-	-	-	5			1	17
Keays, Terry		-			1	-	-					-	-	-			-	-					1
Knights, Matthew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lambert, Craig	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		1	-	-	-	1
Lennon, Bruce					-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Leys, Brian	2	-	2	1	-	-	-	-	-	-				-	-	-			-	-	-	-	5
Livingstone, Tim																	-	-					
Maxfield, Stuart	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McQueen, Mark	-	-	-	-	-			1	-	-	-	-	-	-	-	-	-	-			-	2	3
Menegola, Todd			-	-	-		-	-	-		-								1	-			1
Naish, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
ODwyer, Steven									8	10		9		9	5								41
Powell, Tim			-	-	-	-	-	-	-		-	1	-	-	-	-	-	-					1
Ryan, Des			-	-																			
Ryan, Stephen	-	-	-	-		-	-				-												
Scott, Allister																-	-	1	3	-	-	-	4
Smith, Craig						-	-	-	-	-	-	-									-	-	
Turner, Scott	-	1	1	1	-	-	-	2	-				2	-	1	-	1	2	1	2	-	-	14
Walker, Robert		-																					
Weightman, Dale	-	-	-	-	-							-	-	-	-	-			-	-	-	-	
Young, Barry								1	-	1	-		-										2
Totals	16	7	11	24	9	11	12	16	11	19	12	27	10	11	8	23	18	18	32	15	8	12	330
Opponent	NM	GE	ME	AD	WC	HW	FI	SY	FO	BB	ES	SK	CA	CW	NM	GE	ME	AD	WC	HW	FI	SY	
