Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R11	R12	R13	R14	R15	R16	R17	R18	R19	R21	R22	Tot
Ablett, Gary		-			1	-	1	1	-	3	-	1	-	-	-	1	-	-	-	2	10
Bairstow, Mark					1	2	3			4	-	1	2	-	1	1	1	-	2	2	20
Barnes, John	1	-	-			1	1	1	-	-	-	1	-	-	-	1	1	1	1	1	10
Bews, Andrew	1	3	3	4	2	1	3	2	1	-	2			1	-	-	1	2	1	1	28
Brown, Paul			1								-		2	1	-	1	-	1	1	1	8
Brownless, Bill	-	-	2	-	-		-	1	1	-									3	-	7
Colbert, Leigh							1	-								1	1	2	2	2	9
Couch, Paul	1	1	2	1	1	3	2	4	1	3	5	2	-	1	-	-	1	3	-	1	32
Darcy, Tim			1	-	-	-	1	1	1	-	-	2	-	-	-			-	-	1	7
Forssman, Darren	1	3									3	2							1	3	13
Graham, Ben																			4		4
Handley, Steven	-	-	1	-	-		-							1	-	-	-	-			2
Hickmott, Adrian	3		1	2	2	2	3									2	-				15
Hinkley, Ken	1	3	1			1		-		2	-	1	1	-	-	-	-	-	2	-	12
Hocking, Garry	1	2	2	2	-	-	3		-	3	1	4	-	2	2	3	2	2	2		31
Hocking, Steve	4	1		5	1	2			-	3	6	2	3	3	3	2	2	-	1	2	40
Hooper, Stephen			1	-		2					1	4	-	-							8
Lamb, Jamie									1				2	4	2						9
Lynch, Paul				-	-		2	-	1			2								1	6
Malakellis, Spiro				1	2	2		1	1	2	-	1	-	2	1						13
Mansfield, Michael	-	-					1	-	3			2	1	4	1						12
McGrath, Tim	2	1	1	4	3	-	3	1	-	2	1	3	3	2	2	-	-	1	2		31
Mensch, David	-	-																			
Merriman, Russell								2	2	1											5
Neeld, Mark	-	4		-	1	3					2	4	1	3	2						20
OReilly, Stephen			-			-	1	1	-	-	-				1	1	2	-		3	9
Pickering, Liam			2	3	3	2	3	2	2	6	-	2	1			-					26
Poole, Trevor																-	2	3	2	-	7
Riccardi, Peter	1	2	3	2	-	1	5	1		-	5			3	3	1	2	1	1	4	35
Scott, Robert	1	2	3	4	1	2	6	4	1	3	3	3	1	3	3	4	1	3	1	2	51
Simpson, Sean	1	4	3	-			1	2	1	-											12
Steele, Darren	-	-	1	-	-	-	1	-				1	1			2	1	1		1	9
Stoneham, Barry	1	4	-	-	1				4	1	1	4	1				2	-	1	1	21
Tudor, Leigh				-	-	-				2		1	2	3	5	2	-	-	1	-	16
Willison, Leigh	1	-	-																		1
Wills, Andrew								1	-												1
Totals	20	30	28	28	19	24	41	25	20	35	30	43	21	33	26	22	19	20	28	28	540
Opponent	SK	CW	NM	HW	BB	ES	WC	RI	SY	CA	FI	AD	FO	ME	SK	CW	NM	HW	ES	WC	
