Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banik, Anthony					2																2
Bond, Chris				2	5	3	6	2	-		3	2	-	2							25
Bower, Nathan	1				1	2	-			-	1	1	1	3	1				-		11
Breman, Todd		-	-										-			-	1	1			2
Bulluss, Paul	4	2	3	3	-	1	1	1	-	2	1	1	1	2	2	-		1	1	3	29
Campbell, Wayne	1	4	2	1	2	3	2	-	1	2	1	2	2	2	-	1	-	1	1	2	30
Daffy, Nick										-		2	-	-	-						2
Dennis, Simon																	1	-			1
Eishold, Simon	3	-														3	-			-	6
Esler, Ty												1	2	5	2	1	2	-		-	13
Fox, Brad																1	3	3	3		10
Free, Tony	2	3	5	8	4	-	4	1	1	1	4	2	-	3	3	3	3	4	3	4	58
Gale, Brendon			2	-	1	1	2	2	2	1	-	2			1	1	1	1	1	2	20
Herman, Ian	2							-	-	-	1										3
Hernaman, Wayne	-	2	3	2	1	3	1	-	-	1	1				2	-	1	1	1	2	21
Hogg, Jeff		2	1	5	1	1	2	3	3	2	-	2	-	1	1	-	2	3	-	-	29
Howat, John	6	2	1	1	2	1	1	-	2	-	1		-	1	-	3	-	-	1	3	25
Jackson, Stevan		-		-																	
Kellaway, Duncan						-	2	1	3	3	1	-	4	3	3						20
Knights, Matthew	1	2	4	4	-	4	2	7	2	2	2	3	1	2	3	-	1	2	-	1	43
Lambert, Craig	3	3	1	2	1	-	-	1	3	2	-	2	2	1	4	-	4	2	-	1	32
Lennon, Bruce								-	3	2	-	-				-	1	5	5	1	17
Leys, Brian		2	-	-	3	-	2	2	2	2	2	2	3	5	-						25
Livingstone, Tim														1	5	4	4	1	2		17
Maxfield, Stuart	-	2	-	-	2	1	-	-	1		1	-	1	3	-	-			1		12
McQueen, Mark	-	-	2	2	1							-	1	-							6
Menegola, Todd	-	-	-	1		2	1	1						-	1						6
Naish, Chris	4	4	-	1	1	1	1	3	-	3	1	-	-				2	-		2	23
Pitura, Mark	-				-																
Prescott, Ashley																			1	-	1
Richardson, Matthew						1	1	-	-	-	-	-	2	-	-		1	-	1	-	6
Ryan, Stephen												1	1								2
Schaefer, Robert	1	3	-	-		2	-	-	2	3	-		-								11
Scott, Allister	4	2	3																	1	10
Slater, Adam	1																				1
Smith, Craig				1	-	1	-														2
Steele, Stuart								-	-												
Thiessen, James														-	-	2	1	-	1	1	5
Turner, Scott	1	2	-	3	4	1	3							2	-	1	2	3	3	-	25
Weightman, Dale			1	2	-					1	1	-				4			-	-	9
Young, Barry	2	2	2						4	-						1	1	2	-	1	15
Totals	36	37	30	38	31	28	31	24	29	27	21	23	21	36	28	25	31	30	25	24	575
Opponent	AD	BB	WC	NM	ME	SK	GE	HW	SY	FI	ES	CW	FO	AD	BB	WC	CA	NM	ME	SK	
