Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	Tot
Ballantyne, Jon	-	-	-	-	-																			
Brown, Gavin	-	-	2	-	-	-	-	1	-	1	-	1	-	-	1			-	1	-	-	-	-	7
Buckley, Nathan	3	2	-	-	1	1	1	-	-	1	1	2	2	1	1	-	1	3	-	1	-	-	-	21
Butcher, Kent	-	-	1	-	-		1	-	-	-											-	-		2
Christian, Michael		-	-								-	-	-	-	-	-						-	-	
Crosisca, Gavin	-	-	1	-	-	-				-	-	-	-	-		-	-	-	-	-	-	-	-	1
Curley, Todd			-									-	-											
Francis, Tony	1	-	-	-	-						-	1	1	1	2	-	1	2	-	2	-	1	-	12
Fraser, Mark	-	1	-	-	-	-	-	-				1	-	1	-	-	-	-					-	3
Hassall, Jon	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	1	-	-	1	1	2	-	-	8
Hotton, Trent																	1	-	-	-	-	-	2	3
Houlihan, Damian						-	1	1	-	-	-				-	2			-	2	1			7
James, Aaron									-								-							
James, Brett	-	-		1	-			-	1	-	2	-	1	-	-	-	-		1	-		-		6
Kelly, Craig					-	-	-		-	-			-	-	-	1	-	-	-	-	-	-	-	1
Kerrison, Shane				-		-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2
McCartney, Jason	-	1	-	-	-	1	1	-	-	-		-	-				-	1	2	1	3	4	-	14
McGuane, Mick	1	-	1			2	-	1	-	-	2	1	-	1	2	1	3	1	2	1	-	1	-	20
Monkhorst, Damian	-	1	-	1	-	-	-	2	-	1	-	1	-	-	1	-	-	-	1	1	-	-	-	9
Pert, Gary	-	-	-			-	-							-	-	-	-	-	-	1	-		-	1
Plain, Bradley		3		-	1	3	1	-	1	-	-													9
Richardson, Alan						-	-	-	-	-	-	-	-	-	-	-								
Richardson, Mark	1													1										2
Rocca, Saverio	2	1	1	3	1	-	3	1	3	2	2	1	-	3	1	1	2	4				1	1	33
Rowe, Brad		3	1			-	-	1		5	-													10
Russell, Scott				-	-		1	-	-			1	-	1	3	2	1	1		3	2	-	-	15
Ryan, Stephen	-	1		1	-			-	1	-	1													4
Sanderson, Brenton				-	-	-					-													
Sandford, Glenn				1							1													2
Sharkey, Paul												-			-	-	-	-	1	-	-	-	-	1
Shaw, Tony	-		-	-	-	-	-	1		-	-	-	-	-	-		-	-	-	-	-	1	-	2
Staritski, Justin									-															
Tranquilli, Andrew	3											2	2	3	-	-	3	2	-				1	16
Watson, Shane	-	-	-		-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	2
Williams, Paul	-	2	3	1	1	3	2	-	1	-						-	-	2	-	3	1	1	1	21
Woods, Tony			-															1	-	-	-	-		1
Wright, Graham	-	-	-	-	-	1	-	-	-	-	1	-	-	1	-	-			1	-	-			4
Totals	11	15	10	8	4	11	11	8	10	12	10	12	6	13	11	9	12	17	10	16	9	9	5	239
Opponent	FI	CA	FO	ES	ME	GE	SK	NM	HW	AD	RI	WC	BB	SY	FI	CA	FO	ES	ME	GE	SK	NM	WC	
