Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R22	R23	R24	Tot
Alessio, Steven					19	9	6	3	8	12	17	8	3	9	10	12	6	6	15	4	7	7	161
Bewick, Darren	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Calthorpe, David	-	-	-	-	-	-	-			-	-	-	1	-	-	-	-	-	-				1
Cockatoo-Collins, Che	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-						
Cransberg, Peter			-																	1	-	-	1
Cummings, Scott													-	-	-	-	-	-	-	-	-	-	
Daniher, Anthony								1	-			-	2		-	-	-	1	-				4
Daniher, Chris											-	-	-	-	-	-	-	-	-	-	-	-	
Delaney, Tony			-	-								-	-	-	-			-	-	-	-	-	
Denham, Sean			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1
Doolan, Ben	-	-	-		-	-	-	-	-	-	-		-							-	-	-	
Fletcher, Dustin	-	2	1	-		-	-	1	-	1	-									-	-	1	6
Flood, David	1	-	-	-	2														1	-	-		4
Grenvold, David	-	-	2	-	1	-	-	-	-	-		-			1	-	-	-		-	-	-	4
Hardwick, Damien					-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Harvey, Mark	-	-	-	-	-	-	-	-															
Hills, Paul				-	-	-			-					-	-	-	-						
Hird, James	2	-	-	-	-	-	-	1	-	-	-	-	-	1	1	-			2	-	1	1	9
Kickett, Dale	-	-	-				-	-	-	-	-												
Kilpatrick, Glenn	-		-	-								-	-	-				-		-	-		
Kirzner, Julian																						-	
Manton, Glenn	-	-	-								2	-	1	1	-	-	-	1	-				5
Mercuri, Mark	-	-	-	-	-	-	-	-	-	-	-						-					-	
Misiti, Joe		-	-	-				-	-	-	-	-		-	1	-	-	-	-	-		-	1
OConnor, Ryan						8			9	2								-					19
ODonnell, Gary	-	-	-			-	1	-	1	2	-	-	-	2	1	-	-	2	-	2	-	-	11
Olarenshaw, Ricky	-	-	-	-	-	-	-										-	-	-				
Prior, Michael																			-	-	-	-	
Ridley, Todd							-		-	-	1	-								-	-	1	2
Ross, Lachlan													-		-								
Salmon, Paul	17	7	6	9	7	-							15	16	26	16	13	16	10		7		165
Somerville, Peter	8	15	4	6			6	6				6								13	6	5	75
Stevenson, Robert	-	-		-	1								-	-									1
Symons, Michael	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		
Thompson, Mark				-	-	-	-	-	-	-	-			-		-	-	-	-				
Wallis, Dean				-																			
Wanganeen, Gavin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Watson, Tim	-	-			-					-	1	-		-	-	-							1
Williams, Russell					-			-							-								
Young, Barry						-	-	-	1	-	-	-	-			-	-	-	-	-	-	-	1
Totals	28	24	13	15	30	17	13	12	19	17	21	14	22	29	40	28	19	27	28	20	21	15	472
Opponent	WC	FI	SK	ME	CW	HW	AD	CA	GE	RI	FO	BB	SY	NM	WC	FI	SK	ME	CW	HW	AD	CA	
