Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	Tot
Anderson, Dean	-			-			-	-	-	-	-	1	-	-	-				-	-	-	-	1
Bailey, Doug	-	-	-	-	-	-	-	-	-						-								
Bardsley, Kristian		-	-		-	-	-	-		-	-	-		-	-				-	-	-	-	
Bourke, Darren	-	-	-	-	-	-									-	-	-	-					
Bowey, Brett				-									-			-	-	-	-	-	-	-	
Burke, Nathan	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	2	-	-	-	-	-	4
Burns, Adrian			-	-	-	-																	
Carr, Alister										-	-	-	-										
Devonport, Craig			-				-	-	-				-			-	-	-	-	-	-	3	3
Dwyer, Mick	-	-																					
Everitt, Peter	-	-	-	-	-				-	-	-	-	-		-	-	-	-	-	-	-	-	
Fode, Gordon	-	-	-		-	-	-	-	-													-	
Frawley, Danny	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
Frost, Michael	-	-		-	-	-				-	-	-	-	-	-								
Georgiou, John														-									
Grant, David	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	2
Greig, Dean		-	-			-	-						-										
Harvey, Anthony							-	-	-	-													
Harvey, Robert	-	-	-	-				-	-		-	-	-	-	-	-	-	-	-	1	-	1	2
Heppell, Martin				-	-																		
Hollow, Chris	-	-	-	-					-							-	-	-	-	-	-	-	
Jones, Sam									-	-	-												
Keogh, Rod			2	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-		2
Lappin, Matthew										-	-	-			-	-	-	-	-			-	
Lockett, Tony	-	-				2									-	-	-	-	-	3	2		7
Loewe, Stewart					-	-	-							-	-	2	-	-	-	2	-	-	4
Morris, Russell	-	-																					
OBrien, Craig	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	1	-	4
Peckett, Justin	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pekin, Tim	-	-	-	-	-			-				-	-	-	-	-	-	-	-	-	-	-	
Ralphsmith, Sean																			-	-			
Shanahan, Jamie	-	-			-	-	-	-	-	-	-	-	-	-	-	-		-			-	-	
Shaw, Clinton												-	-	-	-	-	-						
Shaw, Damen	-		-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Sierakowski, David												-	-	-									
Strooper, David	-	-						-	-	-	-												
Taylor, Kain	-	-	-	-			-		-	-	-	-	-	-			-						
Thornborrow, Wayne						-	-	-	-										-	-	-	-	
Vidovic, Lazar			-	-	-	-	-	-		-	-	3	-	-		-	-	-	-	-	-	-	3
Wakelin, Shane			-	-	-	-	-	-	-	-	-	-		-	-	-	-	-					
Winmar, Nicky		2	3	-	-	-	-	-	-	-	-	-	-	-				-		-	-	-	5
Totals	0	2	6	0	0	2	1	1	0	4	0	4	0	0	0	3	2	0	0	6	3	4	38
Opponent	HW	NM	ES	BB	RI	SY	CW	FI	ME	GE	CA	AD	WC	HW	NM	ES	BB	RI	FO	SY	CW	FI	
