Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Allen, Scott							-	-			-										-	1	1	2
Beveridge, Luke	1								1	1	2	-	2	1	2	-	1	-						11
Cameron, Leon	-	-	1	1	-	1	-	3	1	2	-	1	-	-	-	-	1	-	-	1	-	-	-	12
Cox, Simon									-	1														1
Croft, Matthew	-	-	1	1	1	-						1	-	1	-	3								8
Darcy, Luke							-	-		2														2
Dimattina, Paul																		1	-					1
Ellen, Shane																	-	-	-	-	-	2	-	2
Ellis, Craig																				-	-			
Grant, Chris	2	3	-	2	2	2	2	1	1	-	-	-	1	3		4	-	-	2	3	-	2	1	31
Grgic, Ilija	1	2	1	3	2	-	2		1		2	-	1	-	1	1	1	1	1	-	1	-	-	21
Griffin, Daryl									-	3	-	-	-	-	1	-	1		3	-	-	2	1	11
Hargraves, Daniel		-	-		-	-					1				2	-	1	1	1	1	2	1	1	11
Hunter, Mark	-	1	-				2	1						-	-		-						-	4
Johnson, Brad	1	-	1	-	2	-	1	1	2	1	1	1	-	-		-		-	2	-	2	-	1	16
Johnston, Michael				-									-											
Kellett, Nigel	1	1	1	2	-	1	-					1	1	-	3	-	-	1	2	-	1	2	2	19
Kolyniuk, Steven	2	1	-	-	3	1		2	-	1					1	1	-	1	2	3	-			18
Koster, Kym				1	1	-	1					-	1		-	1	2	-	-	2	-	-	1	10
Kretiuk, Steven	1	1			-	-				1														3
Lane, Tyson	1	1	1	-	-	-				-	-									-				3
Liberatore, Tony	5	2	2	3	2	2	1	-	3	1	2	3	3	2	1	1	2	1	3	5	1	1	3	49
MacPherson, Stephen							-	1	1	2	2	1	1	-										8
Martin, Michael								-	-		-													
Nichol, Andrew												1	-	-										1
Nicholson, Brad				-				-	1		-	-	-	2	1	1	2	2	-	1	2	1	-	13
Osborne, Richard	-	-	-	-	1	-	-	1	-	-	-	1	-	-	1	1	1	-	1	2	-	-	1	10
Phillipou, Sam								-	-	1														1
Quill, Peter				-	-		3					-	-	-	3	1	1	-	-	1	2	1	-	12
Romero, Jose	4	1	2	-	-	-	3	1	2	-	2			3	-	2	-	1				1		22
Sexton, Ben	-		-	-											-				2	-	1	-	-	3
Sir, Sedat	-	-	1			1	-	-																2
Smith, Rohan		1	1	-	-	2	1	-	1	2	1	-	2	1	-	-	-	2	2	1	4	1	-	22
Southern, Daniel			-		-	-	-	1	1	2	-	-	1	-	-	1	1	-						7
Standfield, Barry	2	-	2	2	1	2	-	1	4	3	-	4	1	-	1	1	3	1	-			1	1	30
Wallis, Stephen	-	1	-	2	-	2	-	3	-	2	1	-												11
Watts, Jason	-	-	-	3	-	1													1	-	-	1	1	7
West, Scott	-	1	1	2	3	-	-	3	2	3	1	2	5	4	-	2	-	3	2	1	2	2	2	41
Wynd, Scott	-	3					-	-	-	1	2	-	-	2	-	-	2	3	6	1	1	1	-	22
Totals	21	19	15	22	18	15	16	19	21	29	17	16	19	19	17	20	19	18	30	22	19	20	16	447
Opponent	SY	HW	CA	ME	FR	GE	SK	NM	ES	RI	AD	CW	BB	FI	WC	SY	HW	CA	ME	FR	GE	SK	GE	
