Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alessio, Steven	4	1	-	4	1	1	2	1	3	1								-	3		1	1	-	3	26
Bewick, Darren	-	1	2		1	-	1	-	1	1	1														8
Calthorpe, David					2			1	-	-	4	1	1	-	4	1	1	2	1	1	3	1		1	24
Cockatoo-Collins, Che				2	-	2	-				1	1	3	-	3	2	2	-	1	-					17
Cransberg, Peter		2		1	-						-	-										-			3
Cummings, Scott	1	2	2					1	1	1	-	1	3	2	-		2	-		3		3			22
Daniher, Chris	-	3	-	-		-		-	1	-	-	-	1	-	-	1	2	1	-	-	1	2	-		12
Darcy, Tim	1	-	-	-		1						3		-	-	1	2	-	1	2	2				13
Denham, Sean	3	1	2	3	1	1	1	-	3	1	2	-	-	-	2	1	2	1	-	2	1	1	1	-	29
Doolan, Ben													2	-	-	1			2	1		1	3	2	12
Fletcher, Dustin	1	4		2	1	1	1	1	1	2	3	1	2	1		1	-	2	-	-	-	-	-	1	25
Flood, David					1	1									1	1									4
Fraser, Mark			-	-	-					-	1														1
Grenvold, David	1	-	-	-	-	-	1	2	-	1	-	-	-	-	1	-	1	-		2	-	1	2	2	14
Hardwick, Damien		-				-	2	-	2	1	1				1	2	-	-	1	1	1	-	2		14
Harvey, Mark	1	1	-	-														1	1	2	3	-	-	1	10
Hills, Paul							-	-			-														
Hird, James	1	1	2	-	1	-	1	1	1	1	1	-	-	1	-	-	1	1	2	-	-	2	1	3	21
Lewfatt, Shawn	1								1								2								4
Lloyd, Matthew														2	-							-	-	-	2
Long, Michael	-	-	1	1	1	-	1	-	1	1	1	-	-	-	1	1	2	1	-	-	-		-		12
Mercuri, Mark	1	1	-	2	1	1	1	1	-	2	1	3	1	1		1	2	2	-	1	-		-	1	23
Misiti, Joe	1	-	-	1	-	-	-	-	3	-	1	2	-	-	-	-	-	1	-	-	2			1	12
Moorcroft, Gary					-																				
Morgan, Danny													-	-	3	-	-	-	-		1				4
OConnor, Ryan			1	3	2	-	2		1	2	1	1	-	2	3	1	1		1	1			1	-	23
ODonnell, Gary	1	-	-	2	-	1	1	-	-	1	-	-	-	1	2	1	1	1	3	1	-	-	2	1	19
Olarenshaw, Ricky	-	-	-	1		2	-	-	-													-	1	-	4
Prior, Michael																				-		1	-	2	3
Salmon, Paul	1						-					-	-	2	-	1	-	4			-	1	1	-	10
Somerville, Peter	2	4	2	1	2	2	2	2	-	1	6	1	1	-	2	1	-	4	4	4	1	2	2	1	47
Symons, Michael	-	3	-	1	1	-	1	-	-	-	-	2	2	1	1	1			1		3			1	18
Thompson, Mark			-			1	-	1	2	-		-									-	-	1	-	5
Wallis, Dean								-					1												1
Wanganeen, Gavin	-	1	-	-	-		1	-	-	2	1	-	-	-	2	2	-	1	1	-	-	-	2	-	13
Young, Barry	2	2	1	-	2	1	-			-		-	-				1	-	-	-	-	-	1	-	10
Totals	22	27	13	24	17	15	18	11	21	18	25	16	17	13	26	20	22	22	22	21	19	16	20	20	465
Opponent	FI	FR	ME	CW	SK	BB	CA	WC	FO	NM	GE	HW	SY	AD	RI	FI	FR	ME	CW	SK	BB	CA	WC	RI	
