Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Ball, Jason		-	1	-	1	-	2	1	-		1	-	1	-	1	1	-	-	-	-	-	3	1	1	14
Banfield, Drew	3	2	1	2	1	1	2	2	-	6	-	3	3	2	1	2	4	1	6	1	3	1	1		48
Blurton, Ashley													2	-			1								3
Bond, Shane	5	-	3	2		1			3	-							1	-						2	17
Brennan, Michael	2	-		2	3				1	-	-	1	1			-	-	-	-	-			-	2	12
Downsborough, Ian													1												1
Dunstan, Michael			-	2					1			1	-												4
Evans, Tony	1	1	2	2	2	3	3	4	2	3	1	-									3	1	1	6	35
Gehrig, Fraser	1	-				1	1	-						-	1	2	2	-	-	-	1	-	1	1	11
Godden, Tony						-					1														1
Hart, David	1		-	-	2	2	3	3			2	3	1	-	1	3	-	-	3	2	-		-		26
Heady, Brett	1	3	2	-	1	-	2	2	1	-	1										-	2	-	1	16
Heatley, Jason										-															
Hynes, David	-		-	1	-	-	-	2	2	1	-				1					-				1	8
Jakovich, Glen	1	2	-	1	-	1	1	2	-	1	1	2	1	2	1	1	1	1	-	1	2	1	1	1	25
Kemp, Dean	2	4	2	3	7	1	1	1	2	3	3	2	4	2	2	2		2	5	7	3	6	4	1	69
Langdon, Karl												5	-	1	1										7
Lewis, Chris	2	-	-	4	1	3	4	8			2	1	2	2	3	2	6	1	2	8	1	2	1		55
Lyle, Brayden						-			2			-	-	-	2	2	1	2	3	-	-	-	4	1	17
Mainwaring, Chris	3	-	2	-																4	2	-	3	4	18
Matera, Peter	3	-			3		3	5	1	1	1		1	3	2	2	1	5	2	1	1	-	5	-	40
McIntosh, Ashley	2	-	3	-										-	-	-					-	1	-		6
McKenna, Guy	2	6	3	4	-		1	1	3	2	5	-	4	1	-	2	-	-	3	-	1	1	-	5	44
Metropolis, Daniel				2	1	2	1	-	-	1	2			-	-	3	1		-	1	4	2		4	24
Peos, Paul																-	1	-	-						1
Pyke, Don		4	1	2	1	4	-	-	2	3	3	1	4	-	-			3	2	3	2	1	1	-	37
Schofield, Jarrad					2							2													4
Spinks, Brett										-															
Sumich, Peter	3		1		1	1						1													7
Symmons, Paul		3	2	1	3	-	1	1	-	-	-	-	5	-	2	-	2	2	4	1	1	1	-	1	30
Turley, Craig					1	3	1	2	-	-	3	-		-	-	1	2	-	-	1		2		-	16
Turnbull, Ryan	-	-	1	3	1	1	1	1	1	-	-	3	1	-	-	1	3	-	2	1	1	-	-	-	21
Waterman, Chris	1	6	-			1	1	-	-	1	2	2	-	-	4	1	1	-	2	2			1	3	28
White, Mitchell	1	1	1	2	1		1	1	1	2	1	1	1	3	2	2	-	-	1	1	2	1	3	1	30
Wilson, Peter	1	1	1	2	1	2	3	-		2			1			2	2	1	4		1	2			26
Worsfold, John	4	1					-	-	2	-	1	3	4	-	2	1	2	-	2	1	1	-	1	2	27
Totals	39	34	26	35	33	27	32	36	24	26	30	31	37	16	26	30	31	18	41	35	29	27	28	37	728
Opponent	SK	CW	NM	AD	ME	CA	FR	ES	FI	BB	RI	SY	GE	HW	FO	SK	CW	NM	AD	ME	CA	FR	ES	NM	
