Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Akermanis, Jason			-	-	-			-	-			-	-	-	-	-	-	-	-	-	-	-	-	
Ashcroft, Marcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Bamford, Scott		-	-	-	-		-											-	-	-	-	-	-	
Barker, John						-	-	-									-	-	-	-	-			
Bews, Andrew		1	-			-	-	-	-	-		-	-	-	-	-	-							1
Boyd, Brad									-															
Bradshaw, Daniel								-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1
Carter, Nick							-				-													
Champion, Richard	-	-	-	-	-	-	-	-	-	-		-	1	-	-	-	-	-	-	-	-	-		1
Chapman, Nathan				-	-	-				-	-							-	-	-	-	-	-	
Clarke, Matthew	10	13	13	14	15	11	18	15		14	10	12	16	13	22	6	17	15	17		22	26	10	309
Clayton, Shane							-	-	-															
Dickfos, Danny	-	-	-	1	-	-	-		-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	3
Fletcher, Adrian	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	1	-	-	-	1
Gowers, Andrew	-	-	1																-	-	1	-	-	2
Green, Brent							1													-				1
Hart, Shaun	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-					-	-	
Johnson, Chris	-	-	-	-	-	-	-	-	-		-	-	-	-				-	-	-	-	-	-	
Keating, Clark	-	4	6	9	7	12	1	7	27	13	7	6	-	6	4	5	2	5	3	16				140
Kennedy, Matthew	-	-	-	-	-	-	-	-		-	-				-	-								
Lambert, Craig		1	1	-	-	-	-	-	-	-	-	-	-	-		-	-						-	2
Lappin, Nigel	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		1	-	-	-	1
Lawrence, Steven															-	-	-	-	-	-	-	-	-	
Leppitsch, Justin	7	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7
Lynch, Alastair	-		-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Lynch, Tristan	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McIvor, Scott	-	-	1	-	-			-											-					1
McLean, Michael	-																							
McRae, Craig			-	-		-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
Molloy, Jarrod	-	-	-									-	-	-	-	-	-	-						
Robbins, Ben	1	-	-	-	-	-												-	-	-	-	-	-	1
Scott, Chris						-			-	-				-	-									
Scott, Dion	3	1							3	-											2	2	3	14
Trask, Nick										-	-	-	-										-	
Voss, Brett					-		-				-													
Voss, Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-							
White, Darryl	1	-	-					-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	3
Totals	22	20	22	24	22	23	20	22	30	27	17	18	17	19	27	11	19	20	22	19	25	30	13	489
Opponent	AD	SK	HW	NM	PA	ES	WC	FR	GE	SY	CA	ME	CW	RI	WB	AD	SK	HW	NM	PA	ES	WC	SK	
