Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Allen, Scott													-	-											
Brown, Nathan	-	2	1	1	-							-	-				-	1	1	1	-		1	-	8
Cameron, Leon	-	-	-	-	1	-	-	-								1	-	-	-	-	1	-	1	2	6
Contessa, Adam													1	1	-		1								3
Cook, James			1							-	-	-	2	-	1			1	2	4	-	1	2	-	14
Cox, Simon	1	-						-										1	-	-	-	1	-	1	4
Croft, Matthew			-	2	-	1	3	1	-	1	-	-	-	2	-	1	3	-			-	1	2	2	19
Curley, Todd		-					1	1									2	1	-	1		1	-	-	7
Darcy, Luke	-	2	1	2	2	1	-	-	3	1	1	-	1	3	-	2	1		1	3	2	2	-	3	31
Dent, Matthew	-	-	3	-	1			2	-	-	2	-	-	-	3	-			1	1	1	-	1	-	15
Dimattina, Paul			1	-	-	2	2		1	-	-	1	-	3	-	-			1	1	3	1			16
Ellis, Craig	-	1	2	-	1	1	1	1	-	-	1	1	2	2	-	2	2	2	1	2	2	1	-	-	25
Grant, Chris	1	1	1	-	-	1	2		-	1	1	4	3	1	1	2	2	3	1	2	3	2	-	1	33
Hargraves, Daniel	-	-														1	-								1
Hudson, Paul	-	1	1	3	1	1	-	-	-		-	1	2	1	1	1	1	-				2	2	-	18
Johnson, Brad	1	-	-	-	-	1	-	-	1	2	-	1	1	2	1	1	-	3	2	-	3	-	3	1	23
Kellett, Nigel	1								-	1		-													2
Kolyniuk, Steven	-	1	-	-	-	3	2	1	-	2	-	-	-		-	-		-			2				11
Kretiuk, Steven	1	1									-	1	1	1	-	1	-		1	1	-	1	1	1	11
Lane, Tyson					-									2	-										2
Liberatore, Tony	-	1	-	-	2	4	1	-	-	-	1	2	2	2	-	-	2	2	1	1	-	1	-	1	23
Martin, Michael																			-	-	1	-	-	-	1
Minton-Connell, Simon	-	-	-	1	1	-	1	1	-	-	-	1	1	-	-	-		-							6
Montgomery, Brett		-	-	2		4			-	-	-					1	2	-	1	1	-	2	2	-	15
Powell, Stephen						-	1	2																	3
Quill, Peter						3	1	-									1								5
Romero, Jose	1	-	-	-	1	-	-	-	-	-	1	2	3	2	-	1	2	1	-	2	1	-	1	1	19
Round, David			-	-																					
Sir, Sedat				-	2	-	-	1	-	-		-													3
Smith, Rohan	-	1	2	1	-	2	1	-	-	-	-	1	-	2	-	-	-	1	-	2	-	-	1	1	15
Southern, Daniel						1	-	-	-	1	1	-	1	-	-	-	-	-	-	2	-	1			7
Watts, Jason	-			-	-													1							1
West, Mark									1	-	2								-	2			3	1	9
West, Scott	1	2	-	-	-	3	-	1	1	1	-	-	2	1	-	1	-	-	-	-	3	2	-	3	21
Wira, Brad	-	2	-	2	-	1	1	-	-	2	-			-	-	-	-	1							9
Wynd, Scott	-	3	-		-	1	1	3	1	-	1	1	-	1	3	2	4	3	1	3	2	1	-	1	32
Totals	7	18	13	14	12	30	18	14	8	12	11	16	22	26	10	17	23	21	14	29	24	20	20	19	418
Opponent	FR	SY	RI	ME	AD	WC	HW	CW	NM	ES	GE	PA	SK	CA	BL	FR	SY	RI	ME	AD	WC	HW	SY	AD	
