Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Allen, Scott													1	-											1
Brown, Nathan	1	3	3	2	1							1	2				5	6	4	3	-		2	2	35
Cameron, Leon	1	-	9	2	3	2	1	1								2	4	8	5	2	5	2	8	4	59
Contessa, Adam													6	2	10		2								20
Cook, James			1							1	3	2	2	-	-			1	3	6	3	2	3	4	31
Cox, Simon	1	3						-										2	1	6	6	7	5	7	38
Croft, Matthew			1	5	5	3	5	7	7	5	4	6	3	1	6	3	3	6			2	3	1	5	81
Curley, Todd		1					4	3									5	6	4	1		3	8	2	37
Darcy, Luke	4	3	3	8	10	5	4	2	3	3	2	2	4	3	4	2	4		3	3	4	6	7	3	92
Dent, Matthew	1	3	9	8	5			6	4	7	7	8	2	8	8	7			5	7	3	7	9	12	126
Dimattina, Paul			-	3	6	6	4		5	11	8	8	8	6	8	9			1	2	5	3			93
Ellis, Craig	7	9	6	3	4	6	6	12	9	3	3	5	5	-	3	4	3	3	1	3	4	-	5	7	111
Grant, Chris	7	6	6	7	4	6	10		8	3	2	9	10	10	6	5	3	7	6	8	4	7	5	9	148
Hargraves, Daniel	-	-														-	-								
Hudson, Paul	7	6	4	2	2	2	3	1	9		1	7	-	7	8	5	2	-				5	6	1	78
Johnson, Brad	3	6	8	4	4	8	5	12	2	5	5	5	1	8	4	8	3	8	3	4	6	4	6	3	125
Kellett, Nigel	4								3	2		2													11
Kolyniuk, Steven	3	4	-	-	2	1	5	2	1	3	1	3	-		11	2		3			3				44
Kretiuk, Steven	1	4									7	9	5	6	4	2	2		6	3	5	4	3	3	64
Lane, Tyson					5									-	3										8
Liberatore, Tony	5	1	8	4	4	5	13	7	4	11	10	14	1	8	12	12	10	11	6	10	12	8	7	13	196
Martin, Michael																			1	2	4	1	4	4	16
Minton-Connell, Simon	-	3	3	1	1	1	3	-	2	3	2	-	2	3	-	-		1							25
Montgomery, Brett		2	3	4		3			2	-	2					2	5	3	4	-	4	8	2	4	48
Powell, Stephen						2	2	4																	8
Quill, Peter						7	7	5									11								30
Romero, Jose	6	10	1	5	2	1	2	5	7	10	4	11	4	1	13	8	4	3	7	8	8	10	5	3	138
Round, David			-	-																					
Sir, Sedat				-	1	4	1	2	-	1		1													10
Smith, Rohan	4	6	5	7	5	8	6	7	7	10	6	8	7	8	4	8	2	7	5	4	2	4	8	7	145
Southern, Daniel						5	8	8	7	6	4	5	5	2	4	4	3	3	3	8	2	4			81
Watts, Jason	1			-	1													4							6
West, Mark									6	3	4								2	1			6	5	27
West, Scott	11	9	3	8	11	6	9	11	14	11	13	16	10	10	12	6	15	14	9	10	5	8	14	5	240
Wira, Brad	10	3	8	6	4	1	4	3	8	9	4			5	5	6	3	6							85
Wynd, Scott	7	10	6		5	9	6	8	5	7	4	15	8	8	4	10	13	7	9	15	12	11	9	6	194
Totals	84	92	87	79	85	91	108	106	113	114	96	137	86	96	129	105	102	109	88	106	99	107	123	109	2451
Opponent	FR	SY	RI	ME	AD	WC	HW	CW	NM	ES	GE	PA	SK	CA	BL	FR	SY	RI	ME	AD	WC	HW	SY	AD	
