Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Allen, Scott													-	-											
Brown, Nathan	-	-	-	-	-							-	-				-	-	-	-	-		-	-	
Cameron, Leon	-	-	-	-	-	-	-	-								-	-	-	-	-	-	-	-	-	
Contessa, Adam													-	-	-		-								
Cook, James			-							-	-	-	-	-	-			-	-	-	-	-	-	-	
Cox, Simon	-	-						-										-	-	-	-	-	-	-	
Croft, Matthew			1	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-			-	-	-	-	3
Curley, Todd		-					-	-									-	-	9	-		-	-	-	9
Darcy, Luke	6	4	5	8	9	6	2	4	6	6	6	4	4	4	7	1	5		-	7	7	7	9	6	123
Dent, Matthew	-	-	-	-	-			-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	
Dimattina, Paul			-	-	-	-	-		-	-	-	-	-	-	-	1			-	-	-	-			1
Ellis, Craig	1	2	-	-	-	2	1	-	-	-	-	1	1	-	-	1	-	1	-	1	-	-	-	-	11
Grant, Chris	-	2	-	3	-	1	-		3	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	10
Hargraves, Daniel	-	-														-	-								
Hudson, Paul	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-				-	-	-	
Johnson, Brad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kellett, Nigel	-								-	-		-													
Kolyniuk, Steven	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-		-			-				
Kretiuk, Steven	1	-									-	-	2	1	-	-	-		-	-	-	-	-	-	4
Lane, Tyson					-									-	-										
Liberatore, Tony	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Martin, Michael																			-	-	-	-	-	-	
Minton-Connell, Simon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-							
Montgomery, Brett		-	-	-		-			-	-	-					-	-	-	-	-	-	-	-	-	
Powell, Stephen						-	-	-																	
Quill, Peter						-	-	-									-								
Romero, Jose	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Round, David			-	2																					2
Sir, Sedat				-	-	-	-	-	-	-		-													
Smith, Rohan	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Southern, Daniel						-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	1			3
Watts, Jason	-			-	-													-							
West, Mark									-	-	-								-	-			-	-	
West, Scott	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Wira, Brad	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-							
Wynd, Scott	19	17	12		9	13	16	15	16	17	15	12	14	18	18	17	25	16	17	10	14	11	19	10	350
Totals	27	25	18	14	18	24	19	19	25	24	21	17	23	23	25	20	30	18	26	18	21	19	28	16	518
Opponent	FR	SY	RI	ME	AD	WC	HW	CW	NM	ES	GE	PA	SK	CA	BL	FR	SY	RI	ME	AD	WC	HW	SY	AD	
