Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bone, Randall																				6	3		9
Chick, Daniel	4	3	12	6	10	14	5	10	9	2	10	6	6	7	6	2	8	5	6	5	14		150
Condon, Anthony				16	9	4		7															36
Crawford, Justin	14	13			14	11	11	8	5	7	11	7	6	3				6	9	6			131
Crawford, Shane										9	15	15	8	9	11	17	6	16	4	15	4	7	136
Dixon, Ben					-					6	13	5	1	1		1		6	2	6	5		46
Dunstall, Jason	5	7	9	1	7	5	7	2															43
Fraser, Kane																						10	10
Gibson, Shannon	9	10	5	-					3	4	4	8	11	5	-								59
Graham, Mark	7	10	6	15	12	10	11	8	10	16	-				16	12	7	15	9	15	18	10	207
Harford, Daniel	15	26	17	14	19	14	7	10	8	6	14	15	7	15	11	12	8	2	10	7	23	-	260
Hassall, Jon	11	8	13	7					12	8	5	9	1	6	10	7	5				9	9	120
Hay, Jonathan																	1	6	1	2			10
Holland, Nick	10	10	11	12	13	11	11	12	11	18	11	11	4	2						10	10	7	174
Jencke, Ray			1	3	2	3	3																12
Kappler, Darren								3	2			5	13	20	7	2	9			20	13	10	104
Krummel, Brendan	6	12	14	7	1		8	7	9	6	7	3	13	12	5	4	5	4	3	2	8	5	141
Langford, Chris													13	12	12	8			8	8	8	8	77
Lawrence, Stephen	5	3	5	4				4	5	10	6	1	4	5	5	2	9	2	5	4	2	7	88
Lekkas, Angelo	9	7	17	11	9	13	11	11	7	6	5	6	8	10	12	11	10	7	5	5	6	19	205
Lord, Aaron	15	14	5	11	11	13	12	20	17	17	28	16	13	14	6	3	7	10	13	10	10	12	277
McCabe, Luke		4	6	7	4	1				13	5	6			4	8	7						65
Platten, John	8	14	2				6		10	10	11	5	18	25	10	9	17	10	14	13	16	10	208
Pritchard, Darrin	8	2	12		10	14	10	10	3								7	9	12			8	105
Rawlings, Jade															2	2	5	4	4			4	21
Ridley, Todd						6	2																8
Robran, Jonathon	4	8	8	8	4	1	2	8	4	1	3	1	8	4	4	7	12	10	12	5	9	9	132
Salmon, Paul	6	15	6	11	5	13	6	9	8	14	7	10	6	9	3	6	8	10	10		6	11	179
Scott, Brad	5	11	8	9	6	8	13	9	8	12	6	7	12	11	8	14	19	11	21	15	13	7	233
Stevenson, Shayne						7	3	8	3										8	7			36
Tallis, Rayden	12	10	5	9	6	4	-	3										3				4	56
Taylor, Richard	-			14	18	18	19	8	18	12	17	17	19	16	16	8	5	18	15	16	10	8	272
Treleven, Craig	9	10	18	22	19	10	19	17	21	7	10	5	6	10	9	17	12	8			2		231
Woods, Tony	7	6	6	16	8	6	5	4	8	9	16	8	11	23	2	10	6	9	9	8	4	15	196
Totals	169	203	186	203	187	186	171	178	181	193	204	166	188	219	159	162	173	171	180	185	193	180	4037
Opponent	SK	FR	BL	WC	SY	NM	WB	CA	AD	CW	ES	GE	ME	PA	RI	SK	FR	BL	WC	SY	NM	WB	
