Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Baldwin, Jason											-										-		
Bond, Chris	-	-	-	-	-	-	-	1	1	-	-	-	-	-	1	-	-	-	-	-	-	-	3
Bourke, David	-	-					1	2	4	-	-	-	-		2	-	-	-					9
Bowden, Joel	2	-	-	2	3	-	-	4										3	1	2	2	2	21
Bower, Nathan								2	-	-													2
Broderick, Paul	-	-	-	1	-	1	-	1	-	-	-	1	-	-	2	-	-	-	1	-	-	-	7
Bulluss, Paul	-					1	1	2	-	-	-		1	1	-	-	-	-	-	-	-	-	6
Campbell, Wayne	-	1	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-		-	1	-	4
Chaffey, Mark				-	-	-	1	-			-	-	-	-	-	1	-						2
Charles, Justin	-	2	2					2	3	-		1			2	-	-	2	-	-			14
Daffy, Nick	5	3	1	2	1	1	1	3	-	-	-	-	-	1	1	3	1	-	1	1	-	1	26
Donati, Daniel														-									
Evans, Brett									-	-													
Funcke, Ross			-	-	-	-	-	-	-	-										-	-	-	
Gale, Brendon	2	-	-			3	1	-	-	-	1	-	-	-	1	-	1	-	-		1	2	12
Gale, Michael	-	-	-	-	-	-	-	1	-	-	-	1	-	-				1	-	-		-	3
Gaspar, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Harrison, Ben			-	-	2	-					-	-	1	-	4	2	-	4	-	1	-	2	16
Holland, Ben	1	1	-	1	-	-	2	-	1		1	1	-	1						1	2	1	13
Jewell, Nick																			-				
Jurica, Stephen				-	-		-																
Kellaway, Duncan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1
Knights, Matthew												-	-	-	1	-	-	-	-	1	-	-	2
Manfield, Matthew	-	1																					1
Merenda, Mark	2	1	1			1	-	-			-	1			2	-	2	2	-	2	4	-	18
Moore, Ben									-		2	2						-	-	-	1	-	5
Naish, Chris	-	1	1	1	-	-			3	1			-				2	3	-				12
Nichols, Trent	-	3	-	1	-		2	-	2	5	2	1	-										16
Powell, Robert	1	-								2	-	1	-	-	4	2			1	2	3	2	18
Prescott, Ashley			-	-	-		1	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	3
Richardson, Matthew	2	6	6	2	1	1				1	5	5	1	4	1	3	-	2	1	1	5	-	47
Rogers, Matthew	-	-	-		-								1	-	-	1	1	-	-	3	1	3	10
Ryan, Damien	-	-	-	-		-	-								-	-	-						
Tape, Jamie				-	-	-	-	-	-	-							-						
Thompson, Ewan														-	1	-	-						1
Torney, Jason				-	-	-								-	-	-	-	-	-	-	-	-	
Turner, Scott		-	-	-	-	-	-	-	-	-	-	-	-	-									
Totals	15	19	12	10	7	8	10	18	14	9	11	16	4	7	22	12	7	17	5	14	22	13	272
Opponent	GE	AD	WB	FR	NM	PA	CA	WC	SK	ME	CW	SY	ES	BL	HW	GE	AD	WB	FR	NM	PA	CA	
