Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Akermanis, Jason	13	13	12			27	14	12	19	27	12	14	23	23	26	11		7			15	14	282
Ashcroft, Marcus	20	28	19	24	25	23	19	20	23	16	20	21	26	31	21	27	19	21	18	21	32	27	501
Bamford, Scott	10		1									6	12	20	10	13	10	15	13	20	16	20	166
Bartlett, Trent	5	2	4							7	7	12	4	6		6	4				4	10	71
Bews, Andrew	12	18							13	12											14	2	71
Black, Simon	8	18	18	10	14	4			15						8							15	110
Boyd, Brad																	10	8	17	27	26	29	117
Bradshaw, Daniel	8	9	7	12	6	3	3	4	7						12	3	9	10	10	7		7	117
Carter, Nick		6															9	10					25
Champion, Richard			14	11	12	24			13	14			18	15	10	10	15	23	10	13	16	10	228
Clarke, Matthew	11	11	11	9	13				10	4	6	17	10	12	18	11	10	10	14	11	8	13	209
Clayton, Shane																8	5						13
Dickfos, Danny	5			11	5	17	15	10	7	10	10	8	12	14	9	10	13		13	9	11	8	197
Gowers, Andrew																			5				5
Hart, Shaun	12			28	16	29	36	13	17	30	27	19	20	24	20	20	17	17	2			22	369
Hilton, Rory						16	15	4	10	16				10	12	9	6						98
Johnson, Chris	10	8	11	17	7			7	10			12	9	16	5	4					10	7	133
Keating, Clark						7	11	15											5	9	12	3	62
Kennedy, Matthew	8	10	12	8	14	18	20	17	9	20	12	13	4	14	17	13	18	17	14	14	16	12	300
Lambert, Craig									10	19	17	13	2										61
Lappin, Nigel	20	13			24	17	19	17	35	24	14	20	14	37	17	6	22	19	24	18	20	19	399
Lawrence, Steven	4	16	17	24	14	21	17	15			13	23	16	23	18	12	14	20	16	10			293
Leppitsch, Justin	9	7	15	12	13		8	17				15	19	6	12	9	12	12	14	17			197
Lynch, Alastair	14	12	13	14		9	10	13	8	14	11	15	18	14	1						6		172
Lynch, Tristan	15	17	20	11	11	21	10	11			21								20	25	11	11	204
McDonald, Beau				7	4	10																	21
McRae, Craig	2					20	11	10	7		19	13	20	13	17	15	13	20	25	16	8		229
Molloy, Jarrod							13	10	4	9	2	4											42
Notting, Tim								5										7		14	17	11	54
OBree, Shane		21	12	3						2										12	18	7	75
Picken, Marcus			11	4	12	9	5			7										1			49
Power, Luke		19			12	14				13	9								15	12	19	14	127
Robbins, Ben		2	15								16	17	14	25	19	27	20	6					161
Scott, Brad	8			26	9	11	27	14	23	17	22	16	18	19	17	13	15	14	17	19	2		307
Scott, Chris		10	19	19	20	21	21	19	12	14	21	17	25	22	20	34	23	27	34	20	31	23	452
Scott, Dion		9	7	10	11		10	18	8	2	13	9	16	6	4			5	5				133
Trask, Nick	9		9	11	-		4									7	7						47
Voss, Brett											11	3	4	3				16	15	10			62
Voss, Michael	23	26	20	31	14	24	16	30	31	19	5												239
White, Darryl	16	18	13	9	11	27	9	14	19	16	17	16	28	14	7	12	12	7	18	12	15	13	323
Wirth, Derek																		7					7
Totals	242	293	280	311	267	372	313	295	310	312	305	303	332	367	300	280	283	298	324	317	327	297	6728
Opponent	WB	SY	ME	NM	HW	RI	SK	ES	AD	CA	FR	PA	GE	CW	WC	WB	SY	ME	NM	HW	RI	SK	
