Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Brown, Gavin	1	2	2							4	5	2	-	4	1	-	-	5	3	3	1	-	33
Buckley, Nathan	1	1	2	6	1	1	1	4	4	2	1	5	9	-		3				-	3	8	52
Burns, Scott	1							6	2	4			2	2	2	4	2	4	2	2	1	5	39
Crosisca, Gavin	-	2	2	1	1	2	1	1	5	1	2	2	-	1	6	-	2	4	2	2	6	3	46
Crow, Scott	1	-	3	-	6	-	3	5	-		2	2	-	-	4	-	2	1	5	-	1	-	35
Curran, Chris			4										1	-									5
Francis, Matthew		-		-	-	-	-	1	1	-	-	-								1			3
Francis, Tony								-	-	-	1	-				-	-			2	1	2	6
Fuller, Brad	-			-	-	1	-	-	1	-	-	-						-	-				2
Gardiner, Michael																					-	1	1
Gibson, Shannon	1	-							-														1
Godden, Luke			2	-	-	1	1	2	-	4	3	6	2	-	6	6	3	4	3	2	3	3	51
King, Clinton															1	1	-	1	1	-	2	1	7
Kinnear, Ben									3	-	3	1	-										7
Liddell, Chad				5	4	8	1				1				-	-	-					3	22
Mahoney, Josh	-	-				1	1					1			1	-	-	2	1		1		8
Mangin, Stuart													-	1					-				1
McDonald, Alex	1	3	2	6	4	5	-	-	4	-			-	-	1	1		1			1		29
Michael, Mal			2	3	6	4	1	1	3	-					-	-	3	5	1	-	5	3	37
Monkhorst, Damian	-		1	-	-	2	-	-		-	1		-	2	3	-	-	2	1				12
Osborne, Richard	4	2	2	6	2				1	2	1	1	3	4						-	1	-	29
Patterson, Stephen	1	3	2	-	-	1	2	1	4	-	-		2	-	-	1	-	1	1	1	2	1	23
Prestigiacomo, Simon	1	2										4	1	6	1	1	3	-	1				20
Pugsley, Andrew				-	-	-	-	-															
Raso, Frankie	-	1										1	2	2	2	3	5	1	-	-			17
Richardson, Mark	1	2	3	6	4	5	1	1	2	2	1	-			-	-		-	-	1	1	4	34
Rocca, Anthony	-	-	-	-	-			-	-	-	-	-			-		-					-	
Rocca, Saverio	-	-	-	-	-	-	2	-	-	-	-	-	2	1	-	-	-	-	1	-	1	-	7
Russell, Scott	3	4	-	2	-	4	4	-	3	-	2	-	1	3						2			28
Schauble, Andrew	4	1	3	2	-	1	5	1	-		-	2	2	1	-	1	5	2	4	-	2	8	44
Tape, Jamie		-	1					-											6	3	1	2	13
Tarrant, Chris			-	-	-	-	1							-	-				1	-	-	-	2
Tuckey, Brent																	-	-	-				
Wasley, James													-	1					2	-	-		3
Watson, Shane	-	-	1	-	-	-	-	2		1	1	-	-	-	2	-	-	1	-	3	5	-	16
Wild, Jason		1	3	-	-	-	-		-	-	1	-			-	1	-	1				2	9
Williams, Paul	-	2	-			-	2	1	4	6	-	6	3	6	5	6	10	-					51
Wright, Graham	3	2	5	3	2	4	4	3	-	1	2	1	1	1			-	-		6	-	5	43
Totals	23	28	40	40	30	40	30	29	37	27	27	34	31	35	35	28	35	35	35	28	38	51	736
Opponent	HW	WC	WB	RI	ES	CA	SY	ME	PA	FR	NM	SK	AD	BL	GE	HW	WC	WB	RI	ES	CA	SY	
