Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Anderson, Stuart		5	-	2	3	3	-						4	2	-								19
Bandy, Daniel	3	1	2	2	2	2	5	1			3	-	2	3									26
Black, Heath																						2	2
Bond, Chris	1	3	-	2	-	2	1	-	3	-	2	2	2	5	7	1	1	3	1	-	1	1	38
Brown, Michael								3	3	1					-		3	-	-	-			10
Burton, Matthew		2	1	2	2	1	2	2	7	6	3	1		-	1	2	1	-	2	5	6	2	48
Callaghan, Craig	3	2	6	3	-	4	5	6	4	3	2	3	2	3	5	5	4	3	3	3	1	3	73
Carroll, Trent	-	-						-	-	-					-	-	1	-	2	-	-	-	3
Chisholm, Scott	1	2	2	4			1		2	1	-	1			-	2	4	6	5		4	6	41
Clement, James	-		5	2	1	3	4	7	-	4	3	3	4	3	-	2	1	-	4	1	1	-	48
Clucas, Matthew	1	3	-	5																2		1	12
Dhurrkay, Gary				3	4	1	3	3	2				2	2		-						1	21
Dodd, Brad	2	1	6	6	2	1	4	6	5	5	9	5	5	2			1	1	1	1	1	-	64
Feddema, Brendon							1	-								-							1
Fletcher, Adrian	3	4	4	4	6	4	7	6	6	8							4	8	6	5	3	3	81
Gale, Mark	3	-	3	2	-	-	1	7	4	5	4	3	5	1	1	4	3	-	1	1	-	4	52
Godden, Tony															5	1				2		-	8
Harding, Greg	1	1	2	3	2	2				-	5		2	1									19
Hargraves, Daniel				-				-															
Holland, Brodie								3	7	1		5	4	5	3			6	2	1	5	4	46
Hunter, Kingsley	1	3								1	2	3	-		3				3	4	3	3	26
Jones, Anthony							-	2	2		2	-	1	-									7
Kickett, Dale	1	-			1	1	3	3	2	3	4	2	2	1	1	2	3	4			2		35
Koops, Steven			1								2			2	3						1		9
Leach, Quenton							3											2	1				6
Maher, Paul															5	5	2						12
Mann, Peter			-	4	2	2	2		-				7	-		-	3	1	-				21
McGovern, Andrew			-	-	-	-		-	2	1	1	2	2	1	1	-	1	-	1	-	1	-	13
McManus, Shaun	3	3	7	3	3	-																	19
Michael, Clem	1											-	-	1	2	1	2	1	1	-			9
Norrish, Jason	4	1	2	3	1	1	2	4	5	4	6	-	2	2	4	5	4	3	-	2	4	-	59
OReilly, Stephen		-	-	-	2	-			-	-	1	5	3	-	1	-	1	3	7	1	5	3	32
Parker, Daniel	-	2	2		1	2				-	1	-								-	-	-	8
Parker, Shane	2	-	1	-	1	-	-	2	1	1	1	-	-	2	1	1	1	1	1	1	-		17
Sinclair, Jess	2		3	3	6	4	-	2		2	5	9	5	6	-	1	1	3	5	2	2	1	62
Toia, Luke	1	4					3	-	-		2	5	1	3	3	7	2						31
Walker, James																			4	4	2	2	12
Waterhouse, Clive	4	3			3	1	3	3	-	2	-	1	-			-	1	-			1	3	25
Wills, Andrew	3	2	2	4	4	6	1		1	-	4	2				1	8	4	3	1	1		47
Totals	40	42	49	57	46	40	51	60	56	48	62	52	55	45	46	40	52	49	53	36	44	39	1062
Opponent	ME	AD	WC	ES	NM	PA	HW	GE	SK	CW	BL	WB	CA	RI	SY	ME	AD	WC	ES	NM	PA	HW	
