Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bode, Matthew	2	2	1													-	1	-			1	-	7
Bond, Shane	-	2	2	1	1	-	2	-						-	2	1	-	-	-	1			12
Breuer, Shayne						-	1	1	-	1	1	-	1	-	1	1	-	4	1	-			12
Brown, David						-	-							2	-								2
Burgoyne, Peter	1	-	1	-	2			-								-				4	1	2	11
Carr, Tom																					1	1	2
Chalmers, Brett								-	-	1							1	-	1	-	-	2	5
Cummings, Scott	-	1	-	-	3			1	-	1	-	2	4	1	-	1			3	3			20
Daniels, Stephen	-	-		-	1				-	-	2	3	-	-	-	-	-	2					8
Dew, Stuart	-								4	-	-	2	-	1	-	-	-	1	-	-	2	-	10
Dickie, Donald	2	1	-	1	3				1	3	3	3	2	1	4	-	-	1	3	2	-	1	31
Eagleton, Nathan	-	3	-	1	-	1	-	1	-	1	3	-	-	1	1	1	-	1	-	-	1	-	15
Evans, Paul						-	1	-	-	-	-												1
Fiegert, Nigel	-	1	1	-	1	1	-	-			-	-											4
Francis, Fabian		3	3	3	-													1			-	1	11
Francou, Josh	2	-	2	2	2	2	1	1	-	1	1	1	1	2	1	-	3	2	1	1	3	4	33
Harley, Tom														-									
Harwood, Mark										-	-	-								2	1	-	3
Heaver, Brent									1	-	-		-		1					-	-	-	2
Heuskes, Adam	-	1	2			1	-	2	1	3	2	-	2			-	1	-	-				15
James, Roger				-	-														1	-	3	-	4
Kingsley, Adam	-	2	-	1	1	1	3	1	1	-	-	-	1	1	-	-	-	1	-	-	1	-	14
Lade, Brendon	-	1	-	1	-	-	-	1	2	-	-	1	-	3	-	2	-	-	-	2	-	1	14
Lockwood, Bowen						-	2	-	1	1	3	2	-	-	2	-	2	-	1	1	1	-	16
Lyle, Brayden	1	4	-	2	-	1	2	3	-	2	1	2	-	-	-	-	-	1	4	1	1	3	28
Mead, Darren	-	-	-	1	1	-	1	1	1	-	3	2	5	2	-	-	2	1	2	-	-	1	23
Morton, Danny	-	1	3	-	3	-	-	2	1	-	1	1	1										13
Naish, Chris	-	-	1	1	1	-	-	-	-	-	1	-	1				2	-	2				9
Paxman, Stephen	1	1	-	1	1	-	1	2					1	-	-	1	-	-	-	-	-	2	11
Poole, Darryl	1	1	1	1	-	3	2	2	3	1	3			2	-								20
Primus, Matthew	1	2	4	2	1	1	-					2	3	5	2	2	1	-	3	2	3	-	34
Steinberner, Nathan												1											1
Stevens, Nick						2	2	1	-	1	-	3	-	1	1	-	1	1	-	-	1	-	14
Tredrea, Warren	-	1	2	3	2	1	3						1	-	-	1	2	-	-	2	-	1	19
Wanganeen, Gavin			1	-	-	-	1	2	2	-		1	4	-	-	-	-		2				13
Wilson, Michael	1	1	1	6	1	1	-	-	-		1	3	2	3	-	1	1	2	1	1	1	1	28
Totals	12	28	25	27	24	15	22	21	18	16	25	29	29	25	15	11	17	18	25	22	21	20	465
Opponent	SY	HW	NM	AD	ME	FR	CA	SK	CW	RI	WC	BL	WB	GE	ES	SY	HW	NM	AD	ME	FR	CA	
