Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Blurton, Ashley	1	-	-	-				-	-									-					1
Bowden, Joel					1	1	1	1	-	1	2	1	1	1	2	1	1	-	1	1	3	-	19
Bower, Nathan			-	-	1	-	-			-	-							-		-			1
Broderick, Paul	-	-	-	-	-	-			-	-	2	-	-	-	-	-	1	-	-	-	-	2	5
Bulluss, Paul	-	-	-	-	-	-				-	-	-	-	-	-	-	-		-	-	-	-	
Campbell, Wayne	-	-	-	1	-	-	1	-	-	2	-	-		1	-	1	-	-	-	-	-	-	6
Chaffey, Mark	-	-			-				1	-	-						-	-	-	-			1
Charles, Justin																	-	1					1
Daffy, Nick	2	1	-	4	3	-	-	1	-	1	1	1	2	-	1	1	1	3	-	-	1	1	24
Evans, Brett							-	1	1	-	1	1	-	1	1	1	1	1	2	-		-	11
Funcke, Ross											-			-	-	-	-						
Gale, Brendon	-	-	-	-	-	-	1	-	-	-	-		-	-	-	-	-	-	-	-	-	-	1
Gale, Michael	-	1		-				-	-	2	-	-	-	-	-	-			-	-	-	-	3
Gaspar, Darren	-	-	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	3
Harrison, Ben	3	1	2	1	1	1	-	-	1	2	-	1	2	-	-	1	-	-	1	1	-	-	18
Holland, Ben	4	-	2	1	1	-	1	1	-	-	-	1	-	-	-							-	11
James, Aaron			1	-								1	-							1	-	-	3
Kellaway, Andrew							-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kellaway, Duncan	-	-	-	-	-	-	-	-	-	-													
Knights, Matthew	-	-			-	-	-	-	-	-	-	-	-	-	1	-	1	1	1	-	-	-	4
Manfield, Matthew	-		-				1														2		3
McKee, Steven								-				-	-	-	-	-			-				
Merenda, Mark	1	4	3	1	1	-	2	-													3	2	17
Moore, Ben	-	1	-	-	-													-					1
Nichols, Trent			-	-								-							-	-	1	-	1
Ottens, Brad	-	-	2	-	-	-	-					-				-	-			-	-		2
Plapp, Justin														-	-	-	-	1	-		-	1	2
Powell, Robert	-	1			2	2	-	1	1	1	-	1	1	1	1	-	2	-	-		-		14
Prescott, Ashley	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	2
Proctor, Lionel						-	-	-															
Richardson, Matthew		2				1	2	1	2	7	5	2	3	1	3	5	-	2	3			2	41
Rogers, Matthew	2	-	1	1	-	1	-	-	-	-	1	-	-	-	-	1	-	-	-	-			7
Rombotis, John			-	2	-	-							-										2
Ryan, Damien	-	-	-	-					-				-	-	-	-				-			
Tivendale, Greg																				-	-	1	1
Torney, Jason	-	-	-	1	-	-	-	-	-	-	-	-	-				-	-	1	-	-	-	2
Turner, Scott					-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	2
Totals	13	11	13	13	10	6	11	6	6	16	12	10	9	5	10	11	7	9	9	3	10	9	209
Opponent	ES	GE	HW	CW	WC	BL	ME	AD	WB	PA	SK	NM	SY	FR	CA	ES	GE	HW	CW	WC	BL	ME	
