Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Blurton, Ashley	17	9	7	12				17	2									2					66
Bowden, Joel					19	14	20	24	9	18	15	16	10	20	13	12	9	16	24	18	22	30	309
Bower, Nathan			7	12	17	20	5			12	7							3		13			96
Broderick, Paul	22	18	26	6	15	17			9	20	27	28	15	27	23	23	22	24	35	20	23	26	426
Bulluss, Paul	11	10	2	7	4	8				-	16	4	7	11	7	15	10		10	11	18	6	157
Campbell, Wayne	28	18	27	27	29	17	34	26	28	41	28	11		32	28	25	31	22	33	18	30	22	555
Chaffey, Mark	4	3			5				13	14	7						12	12	6	7			83
Charles, Justin																	3	4					7
Daffy, Nick	21	20	17	28	28	21	23	25	18	33	16	28	25	30	31	24	17	11	22	30	33	19	520
Evans, Brett							6	14	14	5	12	15	20	16	13	16	6	25	14	9		6	191
Funcke, Ross											1			4	5	5	5						20
Gale, Brendon	17	17	25	18	19	17	17	18	12	22	10		12	15	4	9	21	15	17	18	24	8	335
Gale, Michael	18	15		8				20	13	27	18	11	15	3	20	13			8	13	20	7	229
Gaspar, Darren	28	11	21	18	12	17	19	14	12	11	13	16	10	1	15	8	10	15	10		14	17	292
Harrison, Ben	19	5	21	20	12	23	23	22	14	16	2	25	17	17	19	22	16	23	29	16	31	22	414
Holland, Ben	9	9	11	10	8	2	11	12	-	14	18	9	7	11	-							3	134
James, Aaron			10	11								4	2							6	11	1	45
Kellaway, Andrew							9	5	7	13	5	17	16	16	15	16	14	3	10	15	19	20	200
Kellaway, Duncan	18	17	12	13	26	18	13	25	20	9													171
Knights, Matthew	34	27			26	21	30	21	22	31	23	26	24	31	28	20	26	16	25	31	30	26	518
Manfield, Matthew	2		3				7														7		19
McKee, Steven								3				17	-	2	7	3			2				34
Merenda, Mark	6	16	6	21	14	13	4	2													20	15	117
Moore, Ben	6	5	12	12	-													5					40
Nichols, Trent			3	7								2							11	5	11	5	44
Ottens, Brad	5	6	5	9	13	8	1					2				5	3			3	3		63
Plapp, Justin														7	10	5	5	11	13		12	8	71
Powell, Robert	21	5			12	23	10	14	7	20	14	13	11	24	20	14	15	11	16		6		256
Prescott, Ashley	12	16	16	16	13	8	25	9	10	12	12	24	13	22	16	18	16	26	10	9	19	11	333
Proctor, Lionel						4	5	1															10
Richardson, Matthew		3				8	16	23	12	20	12	10	12	18	10	16	9	12	6			12	199
Rogers, Matthew	16	7	15	18	17	22	24	27	21	21	16	32	16	25	12	17	18	18	21	6			369
Rombotis, John			12	15	3	3							3										36
Ryan, Damien	7	8	9	3					11				8	13	14	4				12			89
Tivendale, Greg																				8	13	12	33
Torney, Jason	5	14	11	13	17	17	11	9	18	15	11	7	7				12	15	12	12	8	12	226
Turner, Scott					3	17	11	16	16	12	13	8	15	7	11	4	9	10	12	8	8	7	187
Totals	326	259	278	304	312	318	324	347	288	386	296	325	265	352	321	294	289	299	346	288	382	295	6894
Opponent	ES	GE	HW	CW	WC	BL	ME	AD	WB	PA	SK	NM	SY	FR	CA	ES	GE	HW	CW	WC	BL	ME	
