Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Bardsley, Kristian																					1				1
Beveridge, Luke	2	1	-	2	3	1	2	1	1		1	-	2	2	-	-	2	3	-						23
Brown, Tony	-	1	2	1	2	-				-	2	-	-	-	-	1	-	1	1	-	2	-	1	4	18
Burke, Nathan	2	2	3	2	6		2	2	5	2	1	2	4	5	7	4	4	1	4	3		5	5	4	75
Campbell, Brad										-	-	4	3	3	-	-	3	-	2	4	2	5	-		26
Cook, Brett						1										1	1		1	1	-	1	-	3	9
Cranage, Sam																			1						1
Cripps, Jason	1	-				1	-																		2
Daniels, Jayson			1	-	-	3	-																-	4	8
Elliott, Tim									1	-	1	-	-	1	1	-	3	1	-		-	-			8
Everitt, Peter	-	-	1	-	1	-	-	2	2	-	3	1	1	2	-	2	1	2	-	1	2	1	-	-	22
Hall, Barry	1	-	1	1	2		-	1		-	-						2	-					1	-	9
Harvey, Robert	-	2	4	-	2	-	1	-	4	-	3	2	1	1	3	-	3	2	1	1	-	1	2	3	36
Healy, Daniel	-	3			-	1	4	-	1	1	1	2	1	1	-	5	2								22
Heatley, Jason	2	-	1	1	3	-	2		2	-	3	3	-	2	2	1	2	1	2				1	4	32
Hudghton, Max	2	2	1	2	-	1	1	6	1	2	-	1	4	1	-	2	1	-	2	2	2	1	-	3	37
Jones, Austinn	-	1	3	1	5	-	-	2	-	1	-	3	3	2	-	2	-	1		-	5	1	1	1	32
Keogh, Rod	-	1	1	1						-												1			4
Knowles, Brett			2	3	-			2										-	1	1	3	-	-		12
Lappin, Matthew	-	2			3	-	1	1	1			-	5	1	3		-				4	-	1	1	23
Loewe, Stewart	1	1	-	1	1		1	-	-			1	2	1	2	3				1	3	-	1	2	21
McLaren, Joe						-	2	1	1									3	-	2	-	1	-	1	11
Mitchell, Gavin	2	2	5	3	5	3	3	1	3	1	3	3	7	1	5		5	1	3	3	2	1	-	3	65
Peckett, Justin	2	2	-	3	1	3	2	2	-		4	2	1	1	-	2		2	-	3	1	1		3	35
Sierakowski, David	1	3	1	2	2	-	2	-	-	-	4	-	-	1	1	-	3	-	2	1	-	-	-	-	23
Sziller, Steven	1	3	1	3		1	3	2	2	2	1	3	7	2	-	2	-	-	1	3			2	1	40
Thompson, Andrew	3	-	3	1	7			3	-	2	1	2	3	2	4	2	2	3	3	5	9	2	1	4	62
Thompson, Ben						-				1										-	2	-			3
Traianidis, Jason								1	-	1	2					2				3	1	-			10
Wakelin, Darryl	3	1	-	3	2	-	-	1	1	-	-	1	3	-	1	2	1	4	-	1	-			4	28
Wakelin, Shane	1	1	2	-	2	2	2	-	2	-	1	2	4	-	3	-	-	-	-	3	4	1	1	2	33
Winmar, Nicky	-	2	6	2	4	1	1	2	4	1	3	3	2	6	2	1	2	1	4	1		2	1	3	54
Young, Matthew			2	-	2	1	-	-	3	1	3	2	2	1	4	3	2	3	1	1	6		-	3	40
Totals	24	30	40	32	53	19	29	30	34	15	37	37	55	36	38	35	39	29	29	40	49	24	18	53	825
Opponent	GE	ES	AD	HW	CA	WC	BL	PA	FR	SY	RI	CW	ME	WB	NM	GE	ES	AD	HW	CA	WC	BL	SY	ME	
