Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Abraham, Winston	9	2	3	5	3	3	3	5	4	6	1	6	5	5	5	5	7	3	3	6			3	4	6	102
Allison, Brett				-	-	-												4	7	1	4	2	5	3	2	28
Anderson, Brady	2	-						2	2							3	-	1	4	2	-					16
Archer, Glenn			3	5	4	6	4	3	6	2	4	5	-	6	3	5	2	5	3	1	6	3	-	2	-	78
Bell, Peter	3	8	8	11	4	2	7	4	9	10	7	6	8	3	5	11	6	10	12	14	11	6	8	7	15	195
Blakey, John	6	10	4	3	7	4	5	1	3	6	3	5	3	4	3	5	7	7	2	11	2	4	2	5	6	118
Capuano, Matthew	3				2	1	2	4	5	-	2		1			-	4	7	6	4	1	9	5	4	5	65
Carey, Wayne	2			4				4	8	2	6	7	5	7	7	4	4	2	2	8	2	10	4	7	5	100
Clayton, Shane	2	4	3	2	1	5	2	2	4	2	5	1	3	2	2	1	-	13	3	3	8	1	4	1	1	75
Cochrane, Stuart			1	-																						1
Dhurrkay, Gary	2	3	1	1	1	1	-				2	-	1	2	2	1	-									17
Grant, Shannon	6	8	12	4	9	11	11	7	7	5	9	6	9	7	2	10	5	8		8	7	9	9	8	4	181
Harvey, Brent	3	8	5	7	3	4	8	6	5	2	6	4	4	5	6	7	3			10	2	3	3	2	6	112
Hewitt, Evan		2		-	1	1																				4
King, David	1					3	2	2	1	2	9	3	2	6	5	4	1	6	4	2	2	5	5	5	4	74
Kingsley, Kent										-	1	1	2	4	2	1			-							11
Lange, Adam		3	2			1											1	-								7
Longmire, John	7	5	2											5	4	4	3	3						2	3	38
Martyn, Mick	3	9	3	4	2	2	1	2	-	2	4	1			1			8	7	7	4	6	2	-	8	76
McCartney, Jason	4	4	1	4	-	1	2	2	4	2	7	5	2	2	2	2	1	1	3	2	-	4	4	4		63
McKernan, Corey	2	1	4	2	4	4	2	5	3	4	8	8	4	5	4	4	4	4	5	2		4	7	6	2	98
Mellington, Anthony					3																					3
Mooney, Cameron							2					1	1	-	2				2	3	1	-	1		-	13
Motlop, Shannon										1										-	2	3	1	3	4	14
Pickett, Byron	6	6	5	5	-	6	3	2	5	6	2	4	5	7	2	1	5	6	3	7	1	-	2	2	4	95
Pike, Martin	3	6	6	4	2	4	9	4	3	2	6	3								2	2	7	4	5	2	74
Rawlings, Brady		4	-		3	3	4	3	-	2			-	1			1	6	1							28
Roberts, Mark											2															2
Scott, Robert	7	1	-	-	3	2	1					4	3	-	7	4	5	1	-		-					38
Sholl, Craig	3	3	5	2			1	4	4	6	2	2	1	5	3	1	3	5	1		4	2	4	3	4	68
Simpson, Adam	3	7	7	4	4	7	2	4	4	10	4	3	3	4	7	7	4	7	9	5	7	9	6	7	2	136
Stevens, Anthony	6	6	2	7	4	6	4	6	4	6	5	7	8	6	2	6	3	4	4	3	7	5	5	1	-	117
Stevens, Danny								-	1													4				5
Welsh, Scott	1	2	2	-	2		1	1	8	1	2	2	2	2	-	1			4	2	-	2	1	2	6	44
Totals	84	102	79	74	62	77	76	73	90	79	97	84	72	88	76	87	69	111	85	103	73	98	85	83	89	2096
Opponent	GE	ES	RI	SY	SK	CW	AD	HW	FR	PA	WC	ME	CA	BL	WB	GE	ES	RI	SY	SK	CW	AD	PA	BL	CA	
