Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	-	-	-		-	-						-	-	-	-	-	-	-	-		
Bond, Shane		-	-	-	-	-	-			-			-	-	2	3	-	-	-	-	-	-	-	5
Breuer, Shayne						-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	2
Burgoyne, Peter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-				-	1
Carr, Tom							-																	
Chalmers, Brett	-	-	-	-	-			-	-	-	-			-	-	-	-	-				-	-	
Cockatoo-Collins, Che	-	-				-	-	-			-	-	-							-	-	-	-	
Cornes, Chad						-	-	-	-											-	-			
Daniels, Stephen	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Dew, Stuart	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Dickie, Donald	-	-	-	-	-	-	-			-	-	-												
Eagleton, Nathan	-	-	-	-					-	-	-	-	-	-	-				-	-	-	-	-	
Fiegert, Nigel	-	-	-	-	-																			
Francis, Fabian	-	-	-	-	-			-	-	-	-	-	1	-	-	-	-	-				-	-	1
Francou, Josh	1	1	-	-	-	-	-	-	-	-	-				-	-	-	-	-	2	2	-	-	6
French, Barnaby	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Harwood, Mark								-	-	-			-	-	-	-	-	-	-	-	-	-		
James, Roger												-		-	-	-	-	-		-	-	-	-	
Kingsley, Adam	-	-	3	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	-	-	-	-	-	8
Lade, Brendon	-	-	-	-	-	-	-			-	1	-	-	-	-	-	-	-	-	3	3	-	-	7
Lockwood, Bowen										-	-	-	-						-			-		
Lyle, Brayden	-	3	1	-	-			-				-	-	-	-	-	-	-	-	-	-	-	-	4
Mead, Darren	-	-	-	-	-	-	-	-	-		-	-	3	-	-	-	-	-	-	-	-	-	-	3
Murray, Derek					-	-	-																	
Naish, Chris								-	-															
Paxman, Stephen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Poole, Darryl				-																				
Poulton, Jared	-					-	-	-	-	-														
Primus, Matthew		-	-																					
Schofield, Jarrad	-	-	2	-	-	-	-	3	-	-	-	-	-			-	2	-	-	-	-	-	-	7
Steinberner, Nathan									-	-	-	-	-	-	-	-			-	-	-			
Stevens, Michael																	-	-						
Stevens, Nick	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	2
Tredrea, Warren	-	-	-	-	-	-	-	2	-	2	-	-	2	-	1	-	-	-	-				-	7
Wanganeen, Gavin	3	2	-	-	-	-	-				3	-	-	2					-	-	1	-	-	11
Wilson, Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Totals	4	6	6	0	0	0	0	5	0	5	6	0	6	3	3	5	3	0	0	6	6	0	0	64
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
