Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	1	-	-		-	-						-	-	-	-	-	-	-	-		1
Bond, Shane		2	1	-	-	-	-			-			-	1	-	1	-	1	-	3	-	-	-	9
Breuer, Shayne						-	-	1	2	1	-	2	-	-	-	2	-	1	1	-	-	-	-	10
Burgoyne, Peter	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1				-	3
Carr, Tom							-																	
Chalmers, Brett	-	-	-	1	1			-	-	1	-			3	1	2	-	-				1	-	10
Cockatoo-Collins, Che	1	-				1	2	-			1	-	-							-	-	3	-	8
Cornes, Chad						1	-	1	-											1	2			5
Daniels, Stephen	-				-	-	-	-	-	-	-	-	-	1	-	1	-	1	-	2	-	1	-	6
Dew, Stuart	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	5
Dickie, Donald	-	1	-	1	1	1	1			1	1	-												7
Eagleton, Nathan	-	-	1	-					-	1	1	-	-	-	-				-	-	-	-	-	3
Fiegert, Nigel	-	1	-	-	-																			1
Francis, Fabian	1	1	-	-	1			-	-	2	-	2	1	-	-	-	1	-				1	-	10
Francou, Josh	-	-	1	-	-	1	-	-	-	-	-				-	-	-	1	-	-	-	-	-	3
French, Barnaby	-	-	-	1	2	-	-	1	-	-	-	-	-	2	2	-	-	1	2	2	2		2	17
Harwood, Mark								1	1	1			-	-	-	2	2	1	-	1	1	-		10
James, Roger												-		-	-	-	-	-		-	1	-	1	2
Kingsley, Adam	1	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	-	-	-	-	4
Lade, Brendon	-	3	-	1	-	2	-			2	3	-	-	1	3	3	2	1	3	2	2	-	-	28
Lockwood, Bowen										2	-	-	1						-			1		4
Lyle, Brayden	-	1	-	1	-			-				-	1	-	-	-	-	2	-	-	-	-	-	5
Mead, Darren	-	1	1	2	1	1	1	-	-		1	1	1	-	2	-	1	1	1	1	-	4	1	21
Murray, Derek					-	-	1																	1
Naish, Chris								-	1															1
Paxman, Stephen	-	-	1	-	-	1	-	-	-	1	-	-	1	-	2	-	-	-	2	-	1	-	-	9
Poole, Darryl				-																				
Poulton, Jared	1					2	-	-	1	1														5
Primus, Matthew		-	-																					
Schofield, Jarrad	-	-	-	-	1	-	-	-	-	-	-	-	-			-	-	-	-	1	-	-	-	2
Steinberner, Nathan									-	-	-	-	-	-	-	-			-	-	-			
Stevens, Michael																	-	-						
Stevens, Nick	1	-	-	-	-	-	1	1	-	1	-	-	2	-	-	1	1	2	-	1	-	1	-	12
Tredrea, Warren	2	2	2	2	4	-	2	6	4	5	2	1	6	3	5	1	1	5	1				1	55
Wanganeen, Gavin	-	2	1	-	1	-	1				-	-	-	1					-	-	-	-	1	7
Wilson, Michael	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	3
Totals	7	14	9	11	12	10	9	13	9	19	11	7	13	12	16	14	10	17	11	15	9	12	7	267
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
