Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Alvey, Mark	-						-	-	-	-	-	-										1		1
Bartlett, Trent	-	-	-	1	1	-	-			-	-	1	1	1	-	1	1	-	1	1	-	2	-	11
Brown, Nathan	-	1	3	2	-	-	2	-	-	-	3	1	1	-	2	1	-	1	-	1	1	1	2	22
Contessa, Adam			1	2	1	1	1	-	4	1	2	3	1	6	4	7	2	2	1	1	2	1	1	44
Cox, Simon	1	1	-	1	3	2	1	1	-								-		2	-	1	-	-	13
Croft, Matthew	2	1					-	2	-	-	1	1	1	-	-	-	1	-	1	1	2	2	1	16
Curley, Todd	1	-	3	2	3	1	2	-	2	-	1	2	-	-	-	1	1	-		2	2	2	-	25
Darcy, Luke	-	-	2	1	-	1	3	1	2	-	-	2	1	-	2	1							1	17
Dent, Matthew							1							-	-	2	-	2						5
Dimattina, Paul		1	1	4	1			1	-	-	5	5	1	-	1	-			1					21
Dooley, Paul								1	1								-	-	1	-	-	1		4
Eagleton, Nathan	3	-	1	3	2	1	1	-	1	1	2	3	1	1	-	3	1	2	1	2	1	-	-	30
Ellis, Craig			2	-	2	2	3	1	4	-	1	1	-											16
Garlick, Simon	-	2	-	-	1	-	2	3	2	-	1	-	1	1		4	-	2	2	1	1	1	1	25
Grant, Chris	-	1	1	-		1	1	2	2	2	1	1	1	1						3	1	4	2	24
Hahn, Mitch										-	-	1	-						-	-	-	2		3
Hudson, Paul	1	1	1	1			-	3	1	-	1	-	1	1	1	4	-	2	1	-	-	-	1	20
Hunter, Kingsley	-	1	-	1	-	1	-	2	2	-	-	1	2	-			-						1	11
Johnson, Brad	3		1	1	1	1	1	1	-	1	-	2	2	1	1	1	1	3	2	5	5		2	35
Kolyniuk, Steven	2	1		-	2	-				1					1			-		2	1	2	-	12
Kretiuk, Steven	-	1		2	-	-								1	-	1	1	2	4		3	-	-	15
Liberatore, Tony	3	4	6	3	4	3	3	2	3	5	4	7	4	6	4	4	2	9	5	2	9	7	-	99
Macri, Christin					1		-																	1
Mahoney, Josh			1		-	1																	-	2
Murphy, Robert																			1	-	-			1
Penny, Luke													1	-	2	2	-	1	1	-				7
Plunkett, Jim	1	1	-												1	-	2	2				1		8
Robbins, Matthew						-									2	1	-	1	5	-	-	-	1	10
Romero, Jose	1	1			1	-	2	2	2	2	2	2	2	1	1	1	1	2	4	3	1	1	1	33
Smith, Rohan	1	-	1	2	1	-	-	-	-	-	-	1	-	2	1	3	-	-	1	-	1	1	-	15
Southern, Daniel	2	1	2	-	1	1	1																	8
West, Scott	4	-	4	4	1	1	-	3	4	2	1	4	4	1	1	3	2	2	3	4	2	1	-	51
Wiggins, Patrick															1	-			1					2
Wills, Andrew		-	2	-				1	-		2	2	-	-				1						8
Wynd, Scott	-	-	1	1	1	4		2	3	-	5	-	2	-	1	1	-	3	5	1	1	1	1	33
Totals	25	18	33	31	27	21	24	28	33	15	32	40	27	23	26	41	15	37	43	29	34	31	15	648
Opponent	AD	BL	PA	CA	CW	ES	HW	WC	SK	SY	FR	ME	GE	RI	KA	AD	BL	PA	CA	CW	ES	HW	BL	
