Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Alessio, Steven	3	1	1	1	-	3	-	2	-	1		2	2	-	3	3	1	3	-	-	2	-	-	1	1	30
Barnard, Paul	3	2	-	3	-		1	-	1	1	-	-	3	1	-		4	-	-	-		-	2	1	-	22
Barnes, John	4	2	4	3	1	-	4	2	2	1	2	1	1	2	3	2	-	3	3	2	-		2	6	1	51
Bewick, Darren	2	2	1	3	3	-	2	2	1	-	-							2	3	1	-	-	3	2	1	28
Blumfield, Justin	2	1	2	1	3	-	1	2		2	2	1	1	1	1	3	-	2	2	1	-	1	2	2	1	34
Bolton, Mark																						-				
Caracella, Blake	3	1	-		3	4	2	4	-	4	2	2	5	1	3	5	-	2	1	2	2	1	3	1	2	53
Denham, Sean	2	4	-		1	1								4	1		-					4				17
Fletcher, Dustin	1	1	-	-	3	2	1	1		1	4	2	1	1	-	1	3	-	-		4	1	3	1	1	32
Fraser, Mark			1	1												2	-									4
Hardwick, Damien	-	1	1	3	2	-	2	2	2	1	1	-	2	3	3	1	2	2	2	3	1		2	2	3	41
Heffernan, Chris	2	1	-	2	4	1	1	1	-	3	3	1	3	-	-	-					1	1	2	-	1	27
Henneman, Aaron											-	-			-	-	-	1	1	1						3
Hird, James	-	-	1	2	2	-	3	2	1	3	3	1	4	2	-				1	3			3	-	1	32
Jacobs, Danny						3			1	1	-	1	-	-			2	-								8
Johnson, Jason	3	-	-	2	8	4	3	3	1	2	2	2	2	3	3	5	1	3	2	2	5	1	2	2	2	63
Johnson, Mark	2	3	2	-	4	1	2	1	-	1	1	-	1	5	-	1		3	1	3	-	3	-	1	1	36
Lloyd, Matthew	1	4	-	-	1	1	3	2	-	1	4	1	1	1	3	1	1	2	-	2	2	1	1	-	3	36
Long, Michael	1	3	3	2			1	-	2	2	-	-	2	2	3	1	-	1	-	3	1	2	1	2	3	35
Lucas, Scott			2	2	2	1	2	-	-	-	-	-	-	2	1	1	3	4	3	2	2	-	3	2	-	32
McVeigh, Mark																						1				1
Mercuri, Mark	-			4	-		2	1	4	3	4	1	1		1	1	3	-	2	1	2		-	-	2	32
Misiti, Joe	4	2	1	5	3	2	1	1	1	5	1	-	3	5	-	2	-	1	2	1	1	2	2	5	2	52
Moorcroft, Gary				3	1	5	-	1	-			1	-			1	-	2	1	1	3	-	2	1	1	23
Prior, Michael				1		2		-	-					2	-	1	2	1			1	2				12
Ramanauskas, Adam	1	1	-		-	-	-	-	3	1	2	3	1	-	-	4	-	1	2	1	4	3	3	5	2	37
Rioli, Dean	1	-																	-	-	4					5
Robran, Jonathon		1																		2	1	-				4
Solomon, Dean	2	4	1	2	-	4	4	1	-	1	1	2	1	2	-	2	2	-	-	-	4	2	4	3	-	42
Wallis, Dean	1	2	2	1	-	2	2		-	1	1		1	1		1							3	-	1	19
Wellman, Sean	4	2	1	2	2	1	4	2	1	1	-	2	-	-	-	2	-	-	1	-	1	1	1	3	1	32
Totals	42	38	23	43	43	37	41	30	20	36	33	23	35	38	25	40	24	33	27	31	41	26	44	40	30	843
Opponent	PA	RI	FR	HW	CA	WB	CW	BL	ME	AD	GE	SK	KA	SY	WC	PA	RI	FR	HW	CA	WB	CW	KA	CA	ME	
