Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Alessio, Steven	-	-	2	2	1	1	-	1	-	1		-	-	2	-	2	1	1	1	-	1	-	-	1	-	17
Barnard, Paul	2	1	-	4	4		2	3	3	2	1	3	2	-	3		6	2	1	2		1	1	2	-	45
Barnes, John	2	3	2	6	1	2	3	4	-	1	4	-	1	3	4	5	2	3	4	4	1		1	-	2	58
Bewick, Darren	1	-	-	3	3	3	-	2	-	-	1							4	2	-	1	-	3	1	1	25
Blumfield, Justin	1	1	2	4	1	1	2	1		1	1	1	1	1	-	-	-	2	2	1	2	3	-	3	2	33
Bolton, Mark																						1				1
Caracella, Blake	-	2	1		2	2	3	2	1	2	4	-	2	3	1	2	2	3	2	3	2	-	-	-	-	39
Denham, Sean	3	2	1		2	-								4	1		-					2				15
Fletcher, Dustin	2	8	-	4	7	4	5	3		3	2	-	1	4	1	7	4	2	2		2	1	3	2	3	70
Fraser, Mark			1	1												1	2									5
Hardwick, Damien	1	-	-	-	-	1	2	2	1	3	1	2	2	1	2	1	-	1	3	-	-		2	1	2	28
Heffernan, Chris	4	2	1	1	2	3	5	-	1	-	2	2	1	-	3	-					1	1	2	1	-	32
Henneman, Aaron											2	2			1	1	1	3	1	1						12
Hird, James	-	1	3	-	1	-	2	-	2	-	-	1	1	2	1				-	1			2	-	2	19
Jacobs, Danny						2			2	2	1	2	1	-			5	-								15
Johnson, Jason	-	-	-	-	3	2	-	1	-	-	1	-	1	1	2	1	2	1	1	3	2	1	-	1	1	24
Johnson, Mark	2	1	-	1	1	2	2	1	4	3	2	4	2	2	2	-		2	1	1	8	-	-	-	-	41
Lloyd, Matthew	2	4	1	1	1	1	2	3	-	-	-	2	-	1	-	2	1	-	2	1	-	-	2	1	1	28
Long, Michael	3	3	8	6			3	1	2	5	-	6	4	2	4	5	2	6	3	1	2	3	4	2	6	81
Lucas, Scott			1	-	-	-	-	-	-	1	-	2	-	1	-	2	-	1	1	-	-	-	-	-	1	10
McVeigh, Mark																						1				1
Mercuri, Mark	-			2	-		2	3	1	2	2	3	-		3	-	1	1	2	3	1		-	2	-	28
Misiti, Joe	4	-	2	4	1	1	2	-	1	1	-	1	-	3	1	-	3	-	1	-	3	1	1	1	1	32
Moorcroft, Gary				-	-	1	2	2	-			1	-			1	-	-	1	1	-	1	1	1	1	13
Prior, Michael				-		-		2	1					3	2	-	2	1			1	2				14
Ramanauskas, Adam	-	-	-		-	2	1	-	-	2	3	3	-	2	1	3	-	3	3	-	1	-	2	5	4	35
Rioli, Dean	-	1																	1	2	6					10
Robran, Jonathon		1																		-	1	2				4
Solomon, Dean	2	1	2	-	5	4	3	4	-	1	1	2	1	-	1	2	-	-	-	2	4	1	2	2	1	41
Wallis, Dean	2	3	3	-	3	2	-		2	-	1		-	-		1							3	1	3	24
Wellman, Sean	1	3	-	2	1	2	-	-	1	2	-	1	1	1	3	1	-	-	-	-	1	2	-	-	1	23
Totals	32	37	30	41	39	36	41	35	22	32	29	38	21	36	36	37	34	36	34	26	40	23	29	27	32	823
Opponent	PA	RI	FR	HW	CA	WB	CW	BL	ME	AD	GE	SK	KA	SY	WC	PA	RI	FR	HW	CA	WB	CW	KA	CA	ME	
