Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Alessio, Steven	5	11	4	7	2	6	4	4	5	1		9	3	1	7	8	7	5	6	3	2	4	3	3	3	113
Barnard, Paul	7	12	9	9	14		7	6	15	4	3	8	11	9	4		17	4	9	7		11	14	3	11	194
Barnes, John	14	13	5	16	4	3	9	2	5	2	10	1	10	2	10	8	9	9	10	11	7		10	7	9	186
Bewick, Darren	6	9	6	16	6	9	8	6	12	8	10							13	12	9	8	11	14	9	6	178
Blumfield, Justin	9	10	13	11	11	5	9	8		7	9	13	14	10	14	15	6	9	7	15	10	10	12	10	12	249
Bolton, Mark																						3				3
Caracella, Blake	12	6	8		14	12	18	19	6	11	11	6	13	10	17	5	15	22	21	14	20	14	18	11	12	315
Denham, Sean	11	14	6		9	7								7	7		7					11				79
Fletcher, Dustin	5	5	3	3	9	2	3	6		6	4	10	8	4	8	6	8	4	7		8	6	6	6	10	137
Fraser, Mark			5	6												2	6									19
Hardwick, Damien	15	7	11	12	12	8	13	5	14	11	12	6	6	7	12	6	8	13	14	13	3		12	7	9	236
Heffernan, Chris	13	7	4	7	6	5	9	12	5	10	12	8	11	3	11	3					8	12	8	3	5	162
Henneman, Aaron											8	4			2	6	2	7	5	2						36
Hird, James	8	15	8	15	11	2	19	9	19	10	15	5	21	14	8				18	10			9	9	15	240
Jacobs, Danny						8			3	8	10	4	4	1			5	1								44
Johnson, Jason	10	16	9	12	12	11	16	11	4	11	17	10	9	6	20	16	8	12	7	14	15	6	13	8	6	279
Johnson, Mark	16	3	12	4	10	8	9	5	6	12	12	16	14	12	13	15		18	11	15	10	16	-	2	5	244
Lloyd, Matthew	6	10	12	11	7	2	9	7	4	4	9	15	3	7	8	11	9	17	4	9	11	8	11	4	5	203
Long, Michael	10	11	11	10			6	3	8	11	3	2	9	6	9	11	5	4	14	5	19	11	18	5	5	196
Lucas, Scott			4	10	8	10	9	7	5	8	5	5	8	13	8	11	11	14	15	6	12	13	10	7	5	204
McVeigh, Mark																						2				2
Mercuri, Mark	11			15	2		13	12	12	11	13	11	4		4	16	14	3	12	8	9		9	8	14	201
Misiti, Joe	21	13	15	16	9	10	15	9	21	18	9	8	17	15	20	10	13	25	19	8	18	26	25	15	12	387
Moorcroft, Gary				5	2	6	7	5	4			9	4			5	7	7	7	3	13	6	16	2	4	112
Prior, Michael				5		5		8	4					8	18	6	11	14			8	6				93
Ramanauskas, Adam	6	12	8		8	6	4	12	7	6	23	13	8	3	5	13	9	14	19	17	11	12	10	14	7	247
Rioli, Dean	4	2																	11	8	7					32
Robran, Jonathon		4																		14	3	10				31
Solomon, Dean	5	16	5	9	15	7	6	4	6	4	5	11	4	4	4	11	13	11	4	11	6	6	10	10	8	195
Wallis, Dean	11	6	2	4	4	5	2		12	5	1		6	1		3							7	-	9	78
Wellman, Sean	12	6	11	5	11	11	11	5	6	10	5	11	9	7	11	10	8	10	8	4	7	8	11	9	13	219
Totals	217	208	171	208	186	148	206	165	183	178	206	185	196	150	220	197	198	236	240	206	215	212	246	152	185	4914
Opponent	PA	RI	FR	HW	CA	WB	CW	BL	ME	AD	GE	SK	KA	SY	WC	PA	RI	FR	HW	CA	WB	CW	KA	CA	ME	
