Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bandy, Daniel	8	12	5	6	7	7	6	5	4	3	6	8	9	6	5	8	8	5	5	1	2	5	131
Black, Heath				2	7	5	8	6	5							9	7	4	4	11	4		72
Bootsma, Brad								5	5	2	1		3	6	1		-	4	2	5	1	1	36
Brown, Leigh	-	2	4	5	4	3	1	2	3	4	1	4	6	-	1	5	1	2	-		2	2	52
Callaghan, Craig		9	5	6	3	4	6			3	4	4	3							1			48
Clement, James						2					1	3	6	2						1	1	3	19
Cook, Troy	4	10	9	4	12	12	10	10	7	8	6	10	9	11	10	11	5	7	4	9	2	9	179
Cunningham, Ben																						4	4
Dodd, Brad	4	8	2	3	6	11	11	5	6	8	6	6	13	7	8	7	4	3		7	2		127
Fewster, Brendon	6	4	4	4	3	3	2	2	5			5	3	2	10	5	7	3	8	5	5	7	93
Fletcher, Adrian	19	5	16	13	6	7	7	14			8	13	13	11	6	18	14	9	19	7	10	5	220
Gale, Mark	7	2	4	4	3							14	1	4				5					44
Grover, Antoni	5	4	1													3	3	2	8				26
Harding, Greg												4	5	4	6	10		4	-				33
Hasleby, Paul	14	12	10	5	4	4	7	6	11	5	7	3	9	10	9	4	10	6	15	11	7		169
Holland, Brodie														6	3	7	5	4	2				27
Jones, Anthony					3	5	2	5	6	3	-						3	6	3	3			39
Kickett, Dale	3	3	8	7	2		6	7	10	5	6						4	1	2	6	4		74
Koops, Steven	3	3	1	2			2	3	1	4	3	4	2	2	5	3	5		7	2	3	6	61
Longmuir, Justin	7	4	-	3	1	5	2	1	4	3	3							2					35
Longmuir, Troy	4	4	6	6	4	10	11	4	1	7	3	8	10	3	11	7							99
McManus, Shaun	6	5	7	7	13	10	14	8	8	9	4	7	8	-	8	6	5		4	6	11	6	152
Michael, Clem	11	7	7	8			5	8	7	9	7	13	5	6	8	1	8	2	8	11	12	10	153
Modra, Tony	-	2	1	1	1	-				1			1	1	1	2	-	3	3	1	1		19
Norrish, Jason	10											4	1	4	11	5	2	8	4	8	10	3	70
Parker, Shane	5	3	1	4	6	3	5	6	5	2	5	4	3	4	4	4	3					2	69
Pavlich, Matthew					6	1	2	-	1	1	3	7	6	8	7	9	8	6	5	7	-	2	79
Prescott, Ashley	7	4	4	2	1	1														1	4	4	28
Schell, Daniel															2	-				-		1	3
Shipp, Andrew							3	1	4	-	2										5	7	22
Sinclair, Jess	5	6	4	2	2				4	3									-		2	5	33
Taylor, Garth																						-	
Toia, Luke						6	6	11	10	4	3	8			-								48
Walker, James	6	6	2	4	3	7	6	4	6	2	3	6	13	6	6	8	4	9	7	4	5	3	120
Waterhouse, Clive	7	9	5	5	3	4	6	2	2	4	2	3		3	3	3	7	3	11	4	3	4	93
Wira, Brad						3						8	2									2	15
Totals	141	124	106	103	100	113	128	115	115	90	84	146	131	106	125	135	113	98	121	111	96	91	2492
Opponent	GE	PA	ES	RI	ME	WC	BL	CW	CA	KA	WB	HW	SK	AD	SY	GE	PA	ES	RI	ME	WC	BL	
