Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Arnott, Simon						4			14	11	7													36
Baldwin, Marcus																					-	-		
Bizzell, Clint	5		4	9	7	5	5	9	7	5	6	5	6			5	4	2	4	3	3	6	2	102
Burns, Ronnie	2	7	8	9	6		7	-		6	2			5				5	5	7	6	6	6	87
Chapman, Paul												3	1									3	3	10
Clarke, David		10	11	8	16	10	19	10	13	10	1	9	5	2	18	11	9	15	18	16	14	17	7	249
Corey, Joel																	11	4	13	-	8			36
Corrigan, Paul		9	9	7				6		7	1													39
Foster, Daniel									-	-														
Graham, Ben	7	8	7	10	10	11	5	2	10	5	7	3	13	10	9	13	11	10	4	15	10	13	4	197
Hall, Derek	9	1															8							18
Harley, Tom	4	7	5	6	15	2	4	9	3	4	13	7	7	9	6	2	5	3	9	1	3	7	4	135
Hocking, Garry	10	14		11		8	13	8	9	5	11	6	10	8	5	17	11	14	15	10	8	13	13	219
Houlihan, Adam	7	4	9	14	15	10	5	11	8	6	7	11	10	11	6	10	12	8	4	5	9		5	187
Kilpatrick, Glenn	12	10	8	16	13	9	10		17	4	14	16	5		7	19	17	4	14	13	6	9	13	236
King, Steven	4	10	8	7	10	3	3	4	12	7	9	11	8	7	7	4	4	6	7	9	9	4	7	160
Ling, Cameron										3	5	2	10	3	10	2		2		1	-			38
Lynch, Paul	5	5	1	11	3	5	5							2	-									37
Lynch, Tristan								5	1	5	1													12
McGrath, Tim	6	10	5	7	14	5	2	8	7	10	14	8	9	11	13	13	12	-	12	5	10	10	6	197
McKay, Joel												2	-											2
Mensch, David	5	3	-	6	11	4	4	6	4	5	6	3	2	6	10	9	7	5	2			8	7	113
Milburn, Darren	12	5	13	5	15							7	5	16	16	13	7	11	6	20	14	7	10	182
Mooney, Cameron																	1	2	2	5	3	-		13
Mooney, Jason	3	2	6	12	7	4	2	-	3			1	8		1									49
OBrien, Danny			3		5	9	3	8	1							1	1							31
Rahilly, James					6	7	4	8	8	4			7	13	5	10	-							72
Riccardi, Peter	13	13	9	12	7	11	8	12	13	7	16	7	12	9		11	7					5	8	180
Sanderson, Brenton	9	13	15	15	9	10	12	11	6	11	7	12	16	14	18	10	11	5	12	4	8	4	4	236
Scarlett, Matthew	4	4	13	10	8	4	1	1			11	3	6	9	6	13	5	6	8	2	4	5	6	129
Sholl, Brad	13	12	9	18	16	8	12	13	9	9	12	4	8	14	17	7	18	10	13	15	12	7	11	267
Simpson, Hamish																			4					4
Snell, Jason	11	13	7									2	5	7	13	8	11	7	4	5	13	14	15	135
Spriggs, David	6	9	8	6	14	4	7	10	7	4	5	3		8	10	5		11	5	5	8	6	9	150
Steinfort, Carl	4			13	6	8	8	10	9		7	10	14	10	9	16	24	7	9	7	10	9	7	197
Stoneham, Barry	6	2	3	5	6	8	2	2	5	3	4			-	3					1			1	51
Wojcinski, David														2	9	1		2	5	8	3	8	-	38
Totals	157	171	161	217	219	149	141	153	166	131	166	135	167	176	198	200	196	139	175	157	161	161	148	3844
Opponent	FR	SK	AD	KA	WC	ME	SY	RI	HW	PA	ES	CW	WB	CA	BL	FR	SK	AD	KA	WC	ME	SY	HW	
