Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bassett, Scott												-	-						-				
Bishop, Matthew				-	-	-	-	-		-		-	-	-	-	-	-	-	-				
Bode, Matthew	-	1	2	2	2	3	-																10
Bond, Shane											-	-											
Brosnan, Steven			-																				
Burgoyne, Peter	1	-	1	5	-	-	1	-	2	-	1	1	3	1		-	-	-	-	-	3	4	23
Carr, Josh								-	1	-	1	-	-	-	-	-	-	-		-	-	-	2
Cockatoo-Collins, Che	1										1												2
Cornes, Chad	-	2	2	-	1	-	-	1	1	3	-	3	-	3	-	-		5	-	1	-	-	22
Daniels, Stephen	-	-	-	-	-	-	-	-	-					-	-		-				-	-	
Dew, Stuart		-				1		1	-	1					1	2	1	4	3	3	-	3	20
Dickie, Donald							-	-	-								-						
Francis, Fabian	-	1	1	2	1	-	-	-	-	-	-	-	1	-	1	1	-	2	-	1	1	-	12
Francou, Josh	1		1	1	1		-	-	-	-	-	-	-	-	-	1	-	-	-	1	1	-	7
French, Barnaby	-	-	1	-	-	1	1	-	-	-	-					-	-	-	-	-	-		3
Guerra, Brent												-	2	-	2	-	-	-		-	-	-	4
Harwood, Mark				3	-	3	1	2	1	-	-				-								10
James, Roger	-	1	-	-			2	1	1	1	-	-	-	-	-	-	3	2	1	-	3	2	17
Kingsley, Adam	-	-	-	1	-	-	1	1	1	-	-	-	-								-	-	4
Koulouriotis, Paul																		-		-	-		
Lade, Brendon	-	-																					
Lockwood, Bowen											-	3	3	-		2		-	-	1	1	4	14
Lyle, Brayden	-	-	-	-	1	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	3
Mead, Darren	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	1	-	-	-	-	1
Montgomery, Brett	-	2	1	2	-	-	1	-	-	-	-	-	1	4	2	-	-	1	1	-	-	1	16
Morton, Danny	2	3		2	-			-	-	-													7
Murray, Derek				-	-	-				-	-						1	2	-	-	-	-	3
Paxman, Stephen	1	-	-		-	-	-	-	1	-	-	-	1	1	-	-	-	1	-	-		2	7
Poulton, Jared		-	-	-	-	-	-		-	1	-	1	-	-	-	-	-	-	-	1	-	-	3
Primus, Matthew	-	-	-	1	-	-	2	2	-		3	-	-	-	2	-	-	1	-	1	-	-	12
Schofield, Jarrad		-	1	2	1	-		3	2	2	1	-	-	1	1	-	1	1	1			-	17
Steinberner, Nathan	-		-																	-			
Stevens, Michael						-	-							1	-	-	-						1
Stevens, Nick	-	1	-			1	1	-	1	-	-	-	-	2	-				-	1	1	1	9
Tredrea, Warren	1	1	4	2	3	2	1	1	-	1		-	1	1	2	-	1	3	1	2	2	3	32
Wanganeen, Gavin	1	-	-	-	-								-	-	4	1			-				6
Wilson, Michael	-	-	-	-	-	1	1	-		1	1	-	-	1	-	-	1	-	-	-	-	-	6
Totals	8	12	14	23	10	12	13	12	11	10	8	8	12	16	15	7	8	23	7	12	12	20	273
Opponent	ES	FR	WB	BL	HW	CA	AD	ME	SY	GE	SK	KA	CW	WC	RI	ES	FR	WB	BL	HW	CA	AD	
