Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bassett, Scott												7	3						5				15
Bishop, Matthew				8	3	3	1	2		-		6	-	3	4	8	3	1	2				44
Bode, Matthew	2	8	3	3	4	4	6																30
Bond, Shane											6	-											6
Brosnan, Steven			2																				2
Burgoyne, Peter	10	8	8	13	5	3	4	4	2	5	1	3	1	1		3	5	5	7	8	2	-	98
Carr, Josh								3	1	7	10	4	4	2	4	1	8	4		2	4	4	58
Cockatoo-Collins, Che	3										1												4
Cornes, Chad	3	8	1	3	2	1	1	4	1	6	6	4	2	5	7	6		3	1	3	4	10	81
Daniels, Stephen	2	6	2	-	-	1	-	1	-					-	2		-				-	2	16
Dew, Stuart		2				-		3	-	1					4	3	-	5	8	5	7	3	41
Dickie, Donald							8	3	1								3						15
Francis, Fabian	5	4	10	3	2	2	3	6	2	8	9	8	6	3	4	3	1	5	9	10	5	10	118
Francou, Josh	18		4	11	9		6	14	10	15	5	10	7	14	8	9	9	7	4	5	9	18	192
French, Barnaby	3	3	4	4	7	2	9	4	6	8	2					5	4	4	5	6	2		78
Guerra, Brent												2	2	-	5	1	1	-		2	3	1	17
Harwood, Mark				3	6	1	1	1	2	1	4				1								20
James, Roger	12	11	3	3			7	8	4	10	4	6	10	8	9	13	13	11	11	10	5	6	164
Kingsley, Adam	3	7	2	8	3	3	-	1	7	4	2	3	3								4	2	52
Koulouriotis, Paul																		1		1	-		2
Lade, Brendon	3	-																					3
Lockwood, Bowen											-	2	-	-		1		2	3	2	7	3	20
Lyle, Brayden	4	12	3	8	6	4	8	8	7	7	4	8	3	3	8	6	2	3	4	4	2	5	119
Mead, Darren	7	2	3	8	2	1	3		7	5	8	4	5	3	2	3	4	3	5	4	5	5	89
Montgomery, Brett	7	7	5	5	8	8	-	6	7	10	11	9	3	6	9	4	5	5	9	11	6	7	148
Morton, Danny	10	5		7	-			3	6	1													32
Murray, Derek				5	5	-				3	2						3	6	1	6	3	1	35
Paxman, Stephen	2	3	3		2	2	1	4	1	3	4	2	1	2	-	2	1	5	4	3		3	48
Poulton, Jared		1	3	2	3	2	-		1	6	2	2	3	2	3	3	-	1	4	2	2	2	44
Primus, Matthew	7	6	10	14	9	6	6	8	5		5	8	9	4	8	2	4	2	9	11	16	14	163
Schofield, Jarrad		3	4	4	5	2		2	2	1	5	3	4	7	7	5	5	4	3			10	76
Steinberner, Nathan	8		2																	1			11
Stevens, Michael						-	-							3	-	-	-						3
Stevens, Nick	5	3	6			11	7	6	8	8	7	12	8	8	14				16	17	16	17	169
Tredrea, Warren	2	6	2	7	1	4	8	4	4	5		8	5	4	4	5	4	2	5	9	4	3	96
Wanganeen, Gavin	8	5	3	11	7								2	2	5	5			7				55
Wilson, Michael	10	4	4	4	4	3	2	2		7	4	1	3	5	7	3	4	3	5	5	4	4	88
Totals	134	114	87	134	93	63	81	97	84	121	102	112	84	85	115	91	79	82	127	127	110	130	2252
Opponent	ES	FR	WB	BL	HW	CA	AD	ME	SY	GE	SK	KA	CW	WC	RI	ES	FR	WB	BL	HW	CA	AD	
