Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Biddiscombe, Craig				4	1	1	1	3	-	-	1	-	1	-	-	1	3	1	-	3	-	1	21
Bourke, David		1	1	3	2	2	1	1	-	1	2			3	2						2	-	21
Bowden, Joel	2	2	1	1	2	-	1	3	2	5	2	1	1	2	1	1	2	1	3	5	1	1	40
Broderick, Paul			1	-	1	2	1	1	2	-	-	1	3	2	-	-	-	1	1	-	1	-	17
Cameron, Leon	1	-	1	-	3				-	1	2	1	1	1	-	-	1	-	-	-	1	-	13
Campbell, Wayne	-	1	3		1					2	3	4	-	-	3	2	1	-	1	1	3	-	25
Chaffey, Mark					2	1	3	4	1	2	-	-	4	2	1	1	2	1	1	1	1	-	27
Daffy, Nick	-	-	3		-	-	-	1	1	-	-	-	-	1	-	1	1	-	-	2	1	-	11
Dragicevic, Marc	-	-	-	1	1	-	-	-	-	-	-	-	1	-		3	-	-	-	1	-	-	7
Evans, Brett											1					-							1
Fiora, Aaron							2	-	-	-	1	-	1										4
Gale, Brendon	4	-		1	-	-	-	1		1	-	2	2	1	1	-	-	-	-	1	1	-	15
Gaspar, Darren	2	2	-			-	1	1				1	3	1	-	2	2	-	-	1	-	2	18
Harrison, Ben	-	-	1	-	-	-	-	1	-									-	-	-	-	2	4
Haynes, Ben																			-	-			
Hilton, Rory			4	-	3	2	-	-	2	2			3	2	-	2	1	1			2	2	26
Holland, Ben	3	1	1	-	1	1	2	2	3	-	1	1	1	-	1	2	1	-	-	2	-	-	23
James, Aaron	1	-									1	1	1	1	-	-	-	-	1	1		-	7
Kellaway, Andrew	1	-	2	1	3	1	1	-	2	2	1	2	1	2	-	1	1	-	-	7	1	1	30
Kellaway, Duncan	3	4	1	2	4	-	4	-	2	3	2				-								25
King, Clinton	-	1	3	1	4	2	1	1	1	3	-	-	1										18
Knights, Matthew	1	2	1	1	1	1	-	3	1	-	3	-	-	-	1	3	-	1	1	-	1	2	23
Merenda, Mark	-	2																					2
Mills, Andrew				3	1	1																	5
Ottens, Brad	3	2	-	1	-	-	1	-	1	1		-	4	1	1	1	-	2	-	1	-	1	20
Powell, Robert														-	1	1	-						2
Poyas, Ezra			1	-				-	-														1
Proctor, Lionel																	1	-	-				1
Richardson, Matthew	1		1	-																			2
Rogers, Matthew	3	1	-	1	1	2	-	-	2	2	-	1						-	1	1	1	1	17
Rombotis, John	-	1																					1
Sampson, Clay	-	2	1	-	-	-	1								-	-	-						4
Tivendale, Greg	-	1	1	-	-	-	1	-	3	1	1	1	-	1	-	-	-	1	1	2	4	-	18
Torney, Jason	2	6	-	-		1	-	-	3	4	2	-	1	2	-	2	3	-	-	-	-		26
Vardy, Royce									1	1	3	3	1	-		1	1	-	-	1	-	-	12
White, James												-	1	1	-								2
Zantuck, Ty																				-	-	-	
Totals	27	29	27	20	31	17	21	22	27	31	26	19	31	23	12	24	20	9	10	30	20	13	489
Opponent	ME	ES	KA	FR	SK	SY	CA	GE	WC	CW	HW	BL	AD	WB	PA	ME	ES	KA	FR	SK	SY	CA	
