Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Antonowicz, David													-		-					-			
Banfield, Drew	-	1	-	-	-	-				-	-	2			-	-	-	-	-	-	-	-	3
Bellotti, Laurie		-	-			-	-								-	-	-	1	-				1
Bennett, Scott							-																
Braun, Michael	-	-		-	-	3	-	1	-	-	-	-	-										4
Chambers, Callum										-	-	-								-	-	1	1
Cousins, Ben	7	1	1	1	-	3	1	4	3	-	-						-	-	-	-	-	1	22
Crabb, Jaxon							-	-	-				-	-	-			-	-				
Cummings, Scott	-	-	-	-	-	-	-	-	1	-	-	-				-							1
Donnelly, Andrew		-			-					-	-	-	-	-	-	-	-	-	-	-		-	
Embley, Andrew	-							-	-	-			-	2	1	-	1	2		-	1	-	7
Fletcher, Chad	-	1	1	-	2	-	-	-	1				-	-			-	-	-	-	-	1	6
Gardiner, Michael	-	2	-	-	-	1	2	1	-	-	-	1	-	-							1		8
Gehrig, Fraser	-	-	-	-	2	-	1	1	-	1	-	-		-	1	1	-	-	-	-			7
Glass, Darren				1	-	-		-	-	-	-	1	-		-	-	-				-	-	2
Green, Kasey																	-	-	-	-	-	-	
Haynes, David													-		1			-	-	-	-	-	1
Holmes, Todd													-										
Hunter, Adam																						-	
Jakovich, Glen	-	5	3	-	1	-	2	5	5	2	1	1	3	-	2	-	2	7	1	-	3	1	44
Jones, Rowan			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kemp, Dean	2	-			-	-	-	1	-	1	-	-	-	-	3	-	-	-	-	-	2	1	10
Lewis, Chris			-	-	-																		
Matera, Peter	1	-	1	2	1	-	-		1		2	-		-	3	-			-	-	3	-	14
Matera, Phillip	-	-	-	1	1	-		-	-	-	-	-		-	1	-	-	-	-	-	1		4
McIntosh, Ashley	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	2
McKenna, Guy	1	-	1			1	2	-				-		-								-	5
Metropolis, Daniel	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	1		3
Morrison, Chad	1	-	-	1	3	-	1	2	2	1	2	1	2	-	3	-	-	-	-	-	1	4	24
Munro, Kane																					-	1	1
OBrien, Michael															-	-							
Read, Phillip	-	1	-	-	-	3	-	1	1		-	1	-	1	-	2	-	-	-		-		10
Rintoul, Chad	3	-	2	-	4	-	2	-	-	-	-	-	-	-			-						11
Stone, Nicholas										-			-	-									
Symmons, Paul								-	-	-						-	-	-	-			-	
Turnbull, Ryan	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	3
White, Mitchell	-		-	-										-	-	-	-	-	-	-	-	-	
Williams, Andrew	-	-	-	-			-				-	-	-	-	-	-	-	-	-	-	-	-	
Wirrpanda, David	1	6	2	1	2	3	2	1															18
Wooden, Josh									1	1	-	1	-	1		-				-			4
Totals	16	17	11	7	16	14	14	19	16	6	5	8	6	4	15	3	3	12	1	0	13	10	216
Opponent	KA	SY	SK	AD	GE	FR	ME	WB	RI	HW	CW	CA	BL	PA	ES	KA	SY	SK	AD	GE	FR	ME	
