Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Antonowicz, David													-		6					-			6
Banfield, Drew	2	3	2	2	-	1				5	2	4			2	4	1	6	-	1	4	5	44
Bellotti, Laurie		1	1			3	-								2	1	1	6	1				16
Bennett, Scott							1																1
Braun, Michael	2	4		7	3	10	2	2	4	12	3	3	3										55
Chambers, Callum										2	2	1								3	6	3	17
Cousins, Ben	5	2	3	6	4	4	3	7	1	5	3						5	3	8	3	1	4	67
Crabb, Jaxon							4	3	1				1	-	1			3	-				13
Cummings, Scott	5	2	4	15	1	8	4	2	4	3	4	-				1							53
Donnelly, Andrew		4			2					8	7	7	2	4	14	2	5	8	-	-		2	65
Embley, Andrew	4							2	4	4			3	7	4	2	1	5		3	4	4	47
Fletcher, Chad	1	5	1	4	1	3	5	2	2				2	1			1	4	4	3	5	4	48
Gardiner, Michael	4	6	4	7	2	9	5	9	4	6	4	5	5	2							6		78
Gehrig, Fraser	8	9	8	5	7	4	10	8	5	9	8	3		2	5	-	2	10	3	2			108
Glass, Darren				3	1	1		3	1	5	1	2	1		2	1	1				2	1	25
Green, Kasey																	4	4	2	2	2	2	16
Haynes, David													-		-			2	2	3	4	-	11
Holmes, Todd													-										
Hunter, Adam																						-	
Jakovich, Glen	2	4	1	-	2	9	4	1	1	1	7	5	9	4	10	6	4	13	3	3	7	6	102
Jones, Rowan			3	2	-	3	1	1	1	2	2	1	3	-	2	1	2	7	2	3	1	4	41
Kemp, Dean	11	-			6	1	3	5	3	6	3	1	-	3	8	3	2	6	6	-	4	7	78
Lewis, Chris			-	-	2																		2
Matera, Peter	9	6	3	4	3	3	4		2		6	2		9	2	2			1	3	4	-	63
Matera, Phillip	6	1	4	5	7	2		3	5	1	1	2		-	2	3	4	4	5	1	1		57
McIntosh, Ashley	1	3	2	3	3	5	8	5	5	2	3	3	-	-	4	3	7	4	6	2	-	-	69
McKenna, Guy	2	5	4			3	4	3				8		1								1	31
Metropolis, Daniel	3	5	2	3	6	4	4	3	5	5	4	5	4	4	4	3	2	6	-	1	2		75
Morrison, Chad	3	4	3	3	4	4	5	1	10	2	8	5	3	3	9	7	3	10	2	5	4	3	101
Munro, Kane																					3	3	6
OBrien, Michael															2	2							4
Read, Phillip	1	2	3	5	-	-	3	4	2		2	1	5	1	5	2	-	3	2		2		43
Rintoul, Chad	5	4	2	7	2	4	5	7	4	3	2	2	5	2			-						54
Stone, Nicholas										-			2	1									3
Symmons, Paul								-	-	2						5	2	3	-			1	13
Turnbull, Ryan	2	4	2	1	3	1	2	1	3	2	1	4	5	4	2	2	4	5	5	1	4	3	61
White, Mitchell	1		2	8										2	9	1	2	5	2	4	4	5	45
Williams, Andrew	3	1	1	-			1				2	2	-	-	6	5	5	8	3	3	5	3	48
Wirrpanda, David	3	8	2	8	2	5	2	3															33
Wooden, Josh									1	3	3	3	4	1		3				-			18
Totals	83	83	57	98	61	87	80	75	68	88	78	69	57	51	101	59	58	125	57	46	75	61	1617
Opponent	KA	SY	SK	AD	GE	FR	ME	WB	RI	HW	CW	CA	BL	PA	ES	KA	SY	SK	AD	GE	FR	ME	
