Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Akermanis, Jason	10	2	7	7	11	12	11	6	10	6	9	5	10	6	6	5	8	13	2		6	6	9	5	6	178
Ashcroft, Marcus	10	9	10	17	15	9	7	12	8	6	6	11	6	6	6	12	3	6	3	9	7	8	8	6	3	203
Black, Simon	2	14	8	6	10	15	22	14	16	10	10	14	17	12	11	14	9	14	12	23	17	11	17	12	4	314
Bolton, Craig	1			5						-		8	6	8	1	4										33
Bradshaw, Daniel	-			-			4		-	1	2	1	3	8	1	6	5	1	8	4	2	3	-	-	1	50
Brown, Jonathan	7	9	6	4	4	6	5	6	5	6	10	3	7	4	4	6	4	6	5	7	2	5	6	1	2	130
Charman, Jamie					2					1																3
Clarke, Nathan			4	3																						7
Copeland, Robert									1	-	1	-	1	1	1	5	2	2	1	-	1	-	3	6	2	27
Cupido, Damian	4	2	6	-	-	3	3																			18
Hadley, Richard			1																							1
Hart, Shaun	4	5	1							5	5	3	6	5	5	6	4	6	2	4	9	5	6	4	9	94
Headland, Des	-			1	-	5	2	4	3	3	1	4	2	3	5	5	2	2	2	3	2	2				51
Johnson, Chris				3	7	10	5	4	7	11	3	7	1	12	3		9	6	3	13	1	11	5	9	7	137
Keating, Clark	3	3	5					1	3	1	2	3	4	4	2	4	3	-	6	3		-	1	1	2	51
Kennedy, Matthew		2	2	1	4			2									3				-			1		15
Knobel, Trent						4	4	2																		10
Lappin, Nigel	6	2	4	13	14	14	7	7	11	12	2	12	8	8	11	5	7	8	12	10	14	14	12	12	7	232
Leppitsch, Justin	2	1	2								-								5	7	7	6	2	1	2	35
Lynch, Alastair	4	3	5	3	1	1	3	1	4	4	1	2	6	3	3	3	5	-	2	1		3	-		1	59
McDonald, Beau	2	3	2	3	8	5	4	6	-		-	1	2	3	5	5	-	3	5		1	3	3	-	1	65
McGrath, Ashley																				-						
McLaren, Dylan																				3	2					5
McRae, Craig					8	2	7			3	2	5	2	4	5	2	2	5	5	1	2	2	2	3	2	64
Michael, Mal	4	7	5	4	2	7	8	8	5	3	4	7	6	6	2	4	6	1	4	6	9		2	9	-	119
Notting, Tim		8	5	7	8	12	4	12	12	12	9	11	8	5	8	8	5	4	7	10	4	11	6	5	5	186
Picken, Marcus		-	4	3	3	2	5	4	1																	22
Pike, Martin	6	5	3	9		10	5	3	2	4	7	5	1	6	6	3	4	2			5	1	3	10	-	100
Power, Luke	6	9			6	1			2							4	2	3	6	7	5	4	3	3	3	64
Robbins, Ben	7	9	8	7	6	6	7	11						6	2	8										77
Scott, Brad	1				6	6	7	6	8	4	3	4	3	7	6	6	4	6	3	2	3	6	9	7	1	108
Scott, Chris		4	6	8	10	1		13	9	7	6	7	5				7	3	3	8	4	3	4	9	4	121
Shattock, Aaron	2	1	5				2	6	2																	18
Voss, Michael	3	11	9	4	12	11	11	6	9	12	10	8	18	12	12	12	9	9	8	8	16	13	3	5	9	240
White, Darryl	8	3		6	6	5	7	4	7	4	5	4	5	9	5	-		4	9	7		7	7	11	7	130
Totals	92	112	108	114	143	147	140	138	125	115	98	125	127	138	110	127	103	104	113	136	119	124	111	120	78	2967
Opponent	PA	KA	RI	WB	FR	GE	SY	CA	AD	ES	WC	ME	HW	SK	CW	PA	KA	WB	RI	FR	GE	SY	PA	RI	ES	
