Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Alvey, Mark							6	-	1	2										6	9	1	25
Bartlett, Trent	-	2	6	-	5	1	4	1	3	2	-	-		3				1	-				28
Bowden, Patrick																	2	-					2
Brown, Nathan	2	9	7	5	7	5	12	3	5	6	-	7	4	2	10	3	4	7	3	4	11	1	117
Contessa, Adam					4	5	-				4	1	5	3									22
Cox, Simon	6	10	3	11	3	10	12	7	-	3				4	10	10	6	4	3				102
Croft, Matthew	3	6	3	4	3			6	2	4	1	4	3	2	2	4	3	3	5	1	1	6	66
Curley, Todd	4	2	6	7	2			-	3	3		4	3	4			14	4	5	1	2	2	66
Darcy, Luke	7	4	7	8	8		8	4	10	6	5	-	8	6	6	3	5	4	4	6	2	7	118
Dimattina, Paul	4	7	1	4	4												2	3	5	3	3	2	38
Dooley, Paul						2	2							-	2	-							6
Eagleton, Nathan	4	4	4	4	2	9	6	4	6	3	1	4	6		4	7	4	4	5	1	6	4	92
Ellis, Craig	1	7	1	2	1	3	7	3	4	3	1	1	1	3	8	3	3	3	4	4	3	-	66
Garlick, Simon	2			3	-	4	1	7	1	5	3		3	3	2	5	-	3	2	1	4	4	53
Giansiracusa, Daniel											2	2	9	4	9	4	2	4	5	9	4	5	59
Gilbee, Lindsay			4	-		2					-	5	5	3	3	4							26
Grant, Chris	4	6	4	6	7	4	6	8	6	7	7	6	4	3	3	6	3	5	1	8	2	4	110
Hahn, Mitch		-	1				6	1	2	3	5	3	-							4	3		28
Harrison, Ben	1	5	1	7	6	10	9	5	2	1	-	3	7	5	11	8	4	5	6	3	4	2	105
Hudson, Paul	1	4	4	9	5	5	4	5	3	-	2	2	4	2	5	5	4	1	8	2	4	1	80
Hunter, Kingsley	3	4	2	7	8	5	5	6	4	7	-	3	2		6	10	3	5	5	4	5	7	101
Johnson, Brad	7	4	7	8	3	9	14	2	6	3	5	7	4	6	3	8	6	2	4	6	3	7	124
Kretiuk, Steven						1	3	2	4	3	2									1	4		20
Liberatore, Tony	-	1						-	1	-	2	1	6	1	1	2	-	-	5	3	3	-	26
McMahon, Jordan						6	-								-							4	10
Murphy, Robert	2	2	2	3	-	4						6	2		2	5	3	3	-	3	5	3	45
Penny, Luke	-	2	4	1	-	3	3	3	3	3	2	4	4	1	4	2	5		1	2	2	-	49
Robbins, Matthew	2	4	5	-	3	4	6	3	8	2	2	6	5	3	3	3	4	5	1			-	69
Romero, Jose	8	6	1	-	6									1	8	7							37
Smith, Rohan	6	6	1	5	8	9	10	3	2	4	3	7	-	1		6	4	8	2	4	4	3	96
West, Scott	-	4	3	4	3	3	7	4	1	1	1	5	4	5	3	5	5	-	3	5	4	2	72
Wiggins, Patrick						-																	
Totals	67	99	77	98	88	104	131	77	77	71	48	81	89	65	105	110	86	74	77	81	88	65	1858
Opponent	SK	RI	CW	BL	HW	PA	ME	SY	WC	KA	AD	GE	CA	ES	FR	SK	RI	BL	CW	HW	PA	ME	
