Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Alessio, Steven	1	-	-	1	4	5	3									-	4	1	2	2	4	2	5	4	6	44
Bannister, Jordan												1		1	-				2							4
Barnard, Paul	1	1	1	1	1	2	4	4	2	1	-	1	-	1	-	2	1	4	1	-	-		-	1	-	29
Barnes, John	-	1	4	5	1	-	1	1	1			3	2	4	5	1	1	2		2	3	2	1	3	-	43
Blumfield, Justin	2	4	2		-	5	3	4	-						1							1	1	-	-	23
Bolton, Mark	1			1				-	1	-					1	2		-	1	1		1		-		9
Bullen, Marcus											-			-												
Caracella, Blake	-	5	4	3	2	3	4	-					-	4	4	6	3	2	6	2	-	1	3	1	1	54
Fletcher, Dustin	1	-	-	2	1	-	-	-		-		1	2	2	3	2		1	-	1	-		-	-	-	16
Forster-Knight, Robert				-	-				-	1	2						-	-	-	3						6
Hardwick, Damien			2	-	2	1	2	-	3	1	-		1		2	1	2	1	3	2	3	1	1	2	1	31
Heffernan, Chris										-	3	-	3	3	2	-	-	1	1	-	4	1	1	5	1	25
Henneman, Aaron	1	-	2	-	-	1	-	1	1	-	-	-	-	-	-	-	-		-		-					6
Hille, David								1		2	1	4	-						1							9
Hird, James	2	2	4	3	5	7	5	-	3	1	6	-	2			3	4	7		1	1	3	4	-	3	66
Jacobs, Danny	1	-	1		1	-	1	3	1	1	2	-		2	-	1	1	1	1	2	-	2	-	1	1	23
Johnson, Jason	10	6	5	1	3	8	5	8	3	5	2	9	7		6	13	5	3	4	4	2	6	1	2	5	123
Johnson, Mark	-	2	2	3	-	-	-	1	1	4	-	3	4	6	1	3	-			2	-	3	-	-	-	35
Lalich, Judd											2	-		1	1	-			-							4
Lloyd, Matthew	-	-	-		-	-	1	-	-	-	-	-	-	-	-	-	-	-			1	-	-		-	2
Long, Michael		1	3	1	1																	-	-	-		6
Lucas, Scott	2	-	-	3	-	-	1	-	-	3	3	2	2	2	-	2	-	2	2	-	4	-	-	-	1	29
McAlister, Daniel				1																						1
McGrath, Cory									2	1	1	-	1	1	1	2	1	3	2	4	1					20
McVeigh, Mark	1	3	-	-	-	2	-	-	2	1	3	3	2	-			-	1	1	3	3	-	-	-	-	25
Mercuri, Mark	1	2	4	2	2	2	-						1	2	2	3	-	1	3	3	4	2	1	-	-	35
Misiti, Joe	8	7	2										3	4	7	1	1	4	5	2	1	3	2	6	7	63
Moorcroft, Gary	1	1	-			3	2	1	2			3	1	-	1	-	1	-	3						1	20
Peverill, Damien				4	2	2	2	2	3	3	5	1														24
Ramanauskas, Adam	2	4	2	1	1	2	-	1	2	2	2	-	3	2	-	-	1	-	2	2	1	2	2	1	3	38
Rioli, Dean	-	-				1	1	3	4	1	2	2	-	-						1	4	2	-	2	1	24
Robran, Jonathon									-	-	-											-				
Solomon, Dean	-	-	1	-	1	1	1	-	-	1	1	1	-	-	-	3	1	-		1	1	2	2	2	-	19
Wallis, Dean				-																						
Wellman, Sean	3	1	2	1	-	-	1	-	1	1	2	2	-	-			1	-	1	-	-	-	1	1	2	20
Totals	38	40	41	33	27	45	37	30	32	29	37	36	34	35	37	45	27	34	41	38	37	34	25	31	33	876
Opponent	KA	PA	CA	SY	CW	WC	RI	ME	HW	BL	SK	AD	FR	WB	GE	KA	PA	CA	SY	CW	WC	RI	RI	HW	BL	
