Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Alessio, Steven	10	5	8	5	12	16	7									-	12	1	10	11	18	16	20	14	10	175
Bannister, Jordan												7		7	1				9							24
Barnard, Paul	9	7	18	15	15	17	23	14	16	13	15	17	18	19	20	16	21	18	16	1	21		16	10	10	365
Barnes, John	20	12	12	17	5	5	11	9	10			9	14	13	13	8	11	8		6	21	7	6	11	5	233
Blumfield, Justin	21	21	13		11	26	15	13	3						3							15	8	11	5	165
Bolton, Mark	5			8				9	4	1					11	4		2	15	9		16		1		85
Bullen, Marcus											1			6												7
Caracella, Blake	20	21	18	25	16	26	23	6					20	17	17	28	21	18	29	20	29	20	27	15	17	433
Fletcher, Dustin	18	12	19	18	14	8	13	19		12		17	17	17	16	8		14	20	13	16		11	11	8	301
Forster-Knight, Robert				11	4				3	3	4						8	5	10	12						60
Hardwick, Damien			23	16	10	20	17	18	22	16	1		18		20	18	16	16	28	20	16	20	14	19	10	358
Heffernan, Chris										3	13	9	13	16	18	8	8	9	9	8	16	10	12	16	11	179
Henneman, Aaron	10	7	7	13	7	9	7	6	5	6	10	8	8	8	11	2	4		3		1					132
Hille, David								3		7	9	7	6						3							35
Hird, James	11	18	21	18	24	27	21	16	25	17	28	7	7			22	21	23		14	20	20	19	11	10	400
Jacobs, Danny	11	3	11		7	7	16	15	9	9	20	15		16	12	12	14	13	15	7	14	8	5	19	12	270
Johnson, Jason	30	16	20	13	15	29	14	26	19	18	19	24	34		29	31	28	21	31	20	17	19	10	21	22	526
Johnson, Mark	20	14	22	23	4	9	14	13	12	13	12	17	15	27	13	17	4			21	26	12	11	11	9	339
Lalich, Judd											9	-		11	12	9			2							43
Lloyd, Matthew	12	12	12		14	20	15	14	14	11	15	16	10	15	10	16	19	15			15	8	18		12	293
Long, Michael		14	13	14	7																	15	8	1		72
Lucas, Scott	16	11	12	20	9	14	19	16	17	14	17	12	6	20	18	12	17	15	18	13	23	8	12	15	19	373
McAlister, Daniel				5																						5
McGrath, Cory									12	9	14	8	9	6	4	15	9	9	8	23	19					145
McVeigh, Mark	15	13	7	12	13	8	3	4	13	11	16	14	14	18			9	11	13	15	16	4	11	5	2	247
Mercuri, Mark	19	13	21	21	20	13	6						17	26	15	17	7	16	21	24	15	13	23	-	10	317
Misiti, Joe	30	31	19										23	29	31	13	21	15	21	25	13	26	29	27	19	372
Moorcroft, Gary	4	6	4			13	12	15	20			13	13	11	10	15	11	1	7						12	167
Peverill, Damien				20	8	26	18	14	17	15	20	19														157
Ramanauskas, Adam	16	21	12	21	18	17	10	21	10	16	17	11	17	17	19	9	16	14	20	13	15	10	15	14	13	382
Rioli, Dean	17	6				13	8	16	23	11	25	13	10	2						8	20	16	19	9	9	225
Robran, Jonathon									8	4	8											2				22
Solomon, Dean	18	13	12	12	16	11	7	7	16	12	10	8	22	11	13	18	13	13		12	17	15	18	21	12	327
Wallis, Dean				-																						
Wellman, Sean	17	15	14	8	20	18	24	20	21	13	18	15	19	11			24	14	25	12	20	14	16	12	18	388
Totals	349	291	318	315	269	352	303	294	299	234	301	266	330	323	316	298	314	271	333	307	388	294	328	274	255	7622
Opponent	KA	PA	CA	SY	CW	WC	RI	ME	HW	BL	SK	AD	FR	WB	GE	KA	PA	CA	SY	CW	WC	RI	RI	HW	BL	
