Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Ackland, Cain	-	-	1	-	-	-	1	-	2	1	-	-													5
Bassett, Scott			2	-										-		-							-	2	4
Bishop, Matthew													-	2	-		-	1	2	1	2	-	-	-	8
Brogan, Dean									-					-		1	-	-	3				1		5
Burgoyne, Peter	-	-	2	2	1	-	1	1	-	-		1	1	2	2	1	2		1	1	-	1	-	1	20
Carr, Josh	1	-	1	4	2	1	-	-	2	1	-	1	2	3	1	-	3	-	-	-	-	2	-	2	26
Cockatoo-Collins, Che	-	1	3	2	1	2	-	-	2	4	2	1	2	1	1			1	1	1	-	-	2	1	28
Cornes, Chad	1	-	-	3	1	1	-	2	2	1	-	2	1	1	3	-	3	2	2	1	-	3	-	1	30
Cornes, Kane										-	5	1	-	2		1	-								9
Dew, Stuart	1	1	1	2	1	-	-	-	1	-	1	1	2	-	1	-	1	3	-	1	2	1	-	1	21
Francis, Fabian	-	-	1	2	1	-	1	-	-	-	1	2	1	1	-	-	2	5	-	3	-	1	-	1	22
Francou, Josh	3	1	1	1	3	2	3	1	2	3	1	-			-	-	2	1	1	1	3	4	-	1	34
French, Barnaby																				-	-	1		-	1
Guerra, Brent	1	1	-	-	1	1	1	-	-		-		2	1	1	-	-	1	3	1		-	1	-	15
Harwood, Mark																		-	-						
James, Roger	-	-	3	-	-	-	-	1	-	1	1	1	1	1	-	-	1	1	1	-	1	1	2	-	16
Kingsley, Adam	2	1	1	1	1	1	1	2	1	-	2	-			1		1	1	1	-	-	1	1	-	19
Lockwood, Bowen	1	1											-				-								2
Lyle, Brayden						2	1	-	-	1	3										-			-	7
Mead, Darren	1	3		1	1	1	1	1	3	1	-	1	1	2	-	-	1	4	1	-	-	-	-	3	26
Montgomery, Brett	-	1	1	1	4	1	-	4	1	1	1	3	-	2	-	1	1	-	-	1	-	-	-	1	24
Murray, Derek														1	1	1				1	3	-	-		7
Paxman, Stephen	-	1	1	3	2	3	-	2	-	2	1	-	1	1	-	-	-	-	2	1	-	-			20
Poulton, Jared	-		-									1	-	-	1		-	1							3
Primus, Matthew	-	1	3	2	1	1	-	-		1	1	-	-		-	1	2	-	-	1	-	1	-	-	15
Schofield, Jarrad	-	1	1	1	1	1	1	-	3	1	-	-	-	4	2	1	1	1	1	2	4	1	-	1	28
Steinberner, Nathan					1							-	1			1									3
Stevens, Nick	2	2	3	6	-	2	2	2	1	3	1	1	-	1	2	6	2	-	-	-	1	2	3	3	45
Tredrea, Warren		1	1	3	3	1	-	-	2	4	1	2	-	2	-	-	3	2	1	1	2	1	-	1	31
Wakelin, Darryl	-	-	-	3	1	1	1	-	-	1	1	-	1	1	-	-		1	-	1	1	1	-	1	15
Wanganeen, Gavin	1	2	-	2	-	1	2	-	-	-	1	-	3	-	2	2	1	2	2	-	-	1	-	-	22
Wilson, Michael	-	3	-	1	-	1	-	2	1	1	-														9
Totals	14	21	26	40	26	23	16	18	23	27	23	18	19	28	18	16	26	27	22	18	19	22	10	20	520
Opponent	BL	ES	AD	SK	GE	WB	WC	CW	ME	HW	SY	CA	KA	FR	RI	BL	ES	AD	SK	GE	WB	WC	BL	HW	
