Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Biddiscombe, Craig	7	6	6	8	9	10	10	9	4	4																73
Bourke, David	9							2	6			5	5	2	4	1	7	2	5	8	5			1		62
Bowden, Joel	10	11	19	14	15	18	11	18	3	10	16	24	13	13	11	21	14	19	14	18	16	15	19	18	21	381
Broderick, Paul			5	7	2	2	3	3		9	8	4	3	6	11	10	3	5	6	8	11	6	3	3	7	125
Cameron, Leon	4	16	20	16	15	13	11	12	9	14	20	12	6	13	11	16	23	12	13	10	18	14	12	20	14	344
Campbell, Wayne	18	12	10	16	18	8	12	13	15	19	19	11	17	12	12	18	14	8	16	2	11	21	11	17	16	346
Chaffey, Mark	12	6	5	19	23	20	15	9	13	6	13	17	19	9	2	14	14	19	12	10	9	10	10	11	17	314
Coughlan, Mark									4	1			-			3	1									9
Daffy, Nick	21	2				8	8	6		8	11	7		15	5									-		91
Dragicevic, Marc		9	8	4	3	1																				25
Fiora, Aaron	2	6	9	4	1											1	9	9	10	14	4	1	3		4	77
Gale, Brendon	3	5	4	8	4	9	3	6	3	6	11	4			5	4	5	5	2	6	2		2	3	2	102
Gaspar, Darren	7	4	5	5	4	1	6	13	6	10	8	9	12	8	7	8	8	6	7	8	10	1	7	13	5	178
Hall, Ray	4	6	5	-	4	4	3		3	2	1	6	3	5								4	1	10	1	62
Haynes, Ben								-											2	2						4
Hilton, Rory	18	16	11	14	14	16	10	17	4	10	10				10	9	12	8	3	19	9	6	10	9	5	240
Holland, Ben	4	2	4	8	10	4	5	9	9	13	10	7	12	14	11	11	10	7	7	2	6	14	8	6	7	200
Kellaway, Andrew	12	10	6	14	11	8	11	7	7	14	13	11	8	11	8	8	6	7	5	9	8	8	6	11	3	222
Kellaway, Duncan		11	7	8	10	11	14	5	11	4	5										6	4	5	5	6	112
King, Clinton	2										6	10	11	13	7	12	13	12	7	9	5	9	5	5	6	132
Knights, Matthew	12	4	13	10	7	15	5	5	12	2	7	10	10	9	12	7	10	9	10	10	14	14	9	8	10	234
Krakouer, Andrew							3	3	-																	6
Mills, Andrew										5	2	4	1	2												14
Ottens, Brad	11	8		10	12	7	10	8	12	13	8	11	10	9	7	13	10	6	10	14	14	10	9	6	2	230
Pettifer, Kayne												3	6	6	11	5	-	-								31
Poyas, Ezra																						2			6	8
Proctor, Lionel							2																			2
Richardson, Matthew	10	13	15	5	17	19	8	10			6		6	7	9	17	15	11	10	16	18	8	8	11	10	249
Rogers, Matthew	9	5	12	6	9	5			2	6	9	7	8	8	8	12	6	5	6	5	5	19	21	4	9	186
Sziller, Steven	8	4	9	5	4	6	2	3	6			3	8	4	8	2	7	1	3	6	9	12	4	10	5	129
Tivendale, Greg	6	15	19	15	12	13	8	13	16	16	17	12	16	9	6	24	4	6	8	8	5	3	4	7	12	274
Torney, Jason	5	6	2	7	4	2			5	11	5	7	11	4	9	9	7	5	5	8	10	5	8	7	10	152
Vardy, Royce			5							5	-	2	7	6	1			2	-							28
Zantuck, Ty							6	2	2											1	-	4	3			18
Totals	194	177	199	203	208	200	166	173	152	188	205	186	192	185	175	225	198	164	161	193	195	190	168	185	178	4660
Opponent	ME	WB	BL	CW	WC	KA	ES	AD	GE	FR	CA	SY	SK	HW	PA	ME	WB	CW	BL	WC	KA	ES	ES	CA	BL	
