Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banfield, Drew	6	6	4	14	7	11	7	11	3														69
Braun, Michael	9	-						5	5	6	5	1									1	7	39
Carroll, Trent	2	5	2	2	2	4		7	1	4	3	5	3	4	3	9	2	4	1		2		65
Chambers, Callum				1	-		-	2			2	2	7	11	5	6	6	3		5		-	50
Collica, Michael	3	6	3	4	4	9	9	3	3	4	6	2	1	4	10	7	5	6	4	8	3	7	111
Cousins, Ben	8	16	20	10	13	6	11	10	17	11	11	16	19	14	11	13	12	14	6	6	5	16	265
Cox, Dean		9	7	9	5	6	4	3			-	2		8	5	6		1	2	-	1	1	69
Cummings, Scott	1			-	-					-	-	2	2	-						4			9
Embley, Andrew								6	2	3	5	3	1	4	4	3	2	8	10	10	10	7	78
Fletcher, Chad	9	14	8	7	4	4	7	5	2	4			6	5	2	6	4	5	9	10	7	8	126
Gardiner, Michael	2	7	5	1	2	-		4	6	5	4	1	4		-	5	3	4	3	3	6	5	70
Gaspar, Travis								6	6	6	1	5	3										27
Glass, Darren	2											4	7	5	8	7	2	5	1	5	4	11	61
Green, Kasey																	1	3	3	6	4	1	18
Harding, Greg					1	4	1	6	1	6										10	3	-	32
Haynes, David										3							3	6	3	6	7	2	30
Humm, Jeremy											1			2		2						2	7
Hunter, Adam		2	1				7	5	4	1					4	2	1						27
Jakovich, Glen	6	3	7	3	4	6	3	2	3	6	6	8	5	9	4	5	3	6	7	8	2	1	107
Jones, Rowan	4	5				6	5		8	1	8	5	1	6	16	9	16	7	10	5	9	12	133
Kemp, Dean			3	1	3	5	2	5	9			2											30
Kerr, Daniel	11	10	7	6	4	10	7	7	11	11	5	8	14	3	5	5	5	7	13				149
Matera, Peter	6	4	5	6	5	-			2	1	4	1		5	3	4	4	4	4	2	3	4	67
Matera, Phillip			1	4	4	1	2	2	2	6	1	5	4	1	6	2			1			1	43
McIntosh, Ashley	2	3	2	1		4	-						3					2	3	5	2	1	28
Merenda, Mark	3	1	3	1	-	-	5			-	3		5	4	2	3	-	1	4	3	4	9	51
Morrison, Chad	13	11	7	11	6	5	1		8	5		4	-										71
Munro, Kane		1	1								6		3	1	-		1						13
Prior, Michael	4	3	7	3	6	9	2																34
Sierakowski, David	1																						1
Taylor, Richard	7	5	7	4	4	6	7	8	1		2	6	8	5	4	4	3	7	2	3	7	6	106
Turnbull, Ryan							3	2						3									8
Williams, Andrew	1	1	2	3	5	9	4	3	5	3	6	7	3	3	4	10	2	5	1	1	1	6	85
Wilson, Troy	2	2	1	-	-	1	-	1	-	-					3	-	2	2	2	-	4	2	22
Wirrpanda, David	4	2	5	1	1	2	4	2	1	1	4	3	10	4	2	3	-	2	4	2	-		57
Wooden, Josh											1	4	8	7	7	6	4	6	5	6	6		60
Totals	106	116	108	92	80	108	91	105	100	87	84	96	117	108	108	117	81	108	98	108	91	109	2218
Opponent	GE	SY	SK	FR	RI	ES	PA	HW	WB	CA	BL	CW	ME	AD	KA	GE	SY	SK	FR	RI	ES	PA	
