Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banfield, Drew	8	9	10	16	7	9	9	4	4														76
Braun, Michael	12	2						3	9	9	13	-									7	14	69
Carroll, Trent	9	2	2	2	10	2		4	4	4	9	6	2	7	10	6	5	3	4		3		94
Chambers, Callum				9	8		7	3			6	11	13	10	8	4	8	5		8		4	104
Collica, Michael	4	17	5	4	4	8	1	10	8	7	8	6	2	9	5	8	11	6	5	7	10	8	153
Cousins, Ben	11	22	10	18	14	3	10	15	14	12	19	18	18	22	20	14	14	18	20	11	9	23	335
Cox, Dean		6	4	6	6	7	6	1			-	3		5	7	2		4	1	2	2	-	62
Cummings, Scott	3			2	1					1	7	4	2	3						3			26
Embley, Andrew								4	7	6	6	5	9	6	3	7	7	10	7	8	5	4	94
Fletcher, Chad	10	13	14	12	10	4	12	8	8	5			19	8	10	14	20	25	16	10	17	18	253
Gardiner, Michael	13	16	12	13	8	5		6	10	12	9	6	11		5	10	11	9	8	9	7	8	188
Gaspar, Travis								6	5	6	6	3	5										31
Glass, Darren	1											3	3	2	6	5	4	3	8	1	3	3	42
Green, Kasey																	6	3	6	8	9	4	36
Harding, Greg					2	2	2	5	3	6										3	4	4	31
Haynes, David										5							12	11	6	9	7	6	56
Humm, Jeremy											3			2		4						3	12
Hunter, Adam		6	-				7	6	3	2					4	2	6						36
Jakovich, Glen	7	3	7	9	10	13	6	7	8	10	12	7	17	12	12	8	7	12	16	12	13	8	216
Jones, Rowan	5	8				4	3		4	6	6	4	1	6	8	5	10	15	9	3	7	11	115
Kemp, Dean			4	-	4	5	7	17	17			6											60
Kerr, Daniel	11	10	4	10	5	9	10	6	12	5	7	6	10	5	12	4	13	5	3				147
Matera, Peter	12	9	20	16	15	15			17	7	5	2		7	13	8	21	13	15	17	18	15	245
Matera, Phillip			11	5	11	4	4	9	10	5	8	6	11	5	8	4			4			6	111
McIntosh, Ashley	7	7	9	7		3	1						5					12	10	9	6	2	78
Merenda, Mark	9	5	6	6	3	7	11			5	6		6	13	13	8	13	5	13	9	13	19	170
Morrison, Chad	18	10	18	11	9	13	4		12	14		11	-										120
Munro, Kane		3	5								2		5	3	3		5						26
Prior, Michael	11	7	11	7	13	18	4																71
Sierakowski, David	-																						
Taylor, Richard	14	12	11	17	12	12	8	22	6		15	16	17	21	14	8	17	12	6	10	13	11	274
Turnbull, Ryan							3	2						4									9
Williams, Andrew	13	8	8	8	13	9	9	7	11	10	11	11	5	13	10	8	1	12	8	5	8	11	199
Wilson, Troy	7	9	19	9	7	12	3	6	4	1					7	9	-	4	4	7	9	-	117
Wirrpanda, David	5	15	14	16	10	14	11	17	10	10	16	13	24	15	7	17	7	10	10	3	1		245
Wooden, Josh											14	5	14	14	10	7	7	10	4	17	13		115
Totals	190	199	204	203	182	178	138	168	186	148	188	152	199	192	195	162	205	207	183	171	184	182	4016
Opponent	GE	SY	SK	FR	RI	ES	PA	HW	WB	CA	BL	CW	ME	AD	KA	GE	SY	SK	FR	RI	ES	PA	
