Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Akermanis, Jason	3	2	4	1	2		2	2	2	1	2	3	2	4	-			2	2	5	4	3	1	1	1	49
Ashcroft, Marcus	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Black, Simon	-	3	1	-	-	-	2	-	-	2	-	1	1	-	-	-	1	1	-	-	2	1	-	1	1	17
Bolton, Craig					-		-	-			-	-				-										
Bradshaw, Daniel	-	5	6	2	2	1	3	1	2	-	1	4	3	2			2	1	1	1	1	-				38
Bradshaw, Darren															-											
Brown, Jonathan	-	-	-		-		-	1	1	-	2	-	1				1	-		1	2	1	1	2	1	14
Charman, Jamie		-	-	-	-		-	1	-	-	-	-	-	-		-	-	-	1	-	-	-	-			2
Copeland, Robert	1	-	-	1	-	-	1		-	-		-	-	-	-	-	-				-			-		3
Hart, Shaun	-	-	-	-	-	-		-	-	-	-	1	1	-		-	-	1	-	-	-	1	2	1	1	8
Headland, Des						4	-	2	-	-	-	-	6	5	2	2	1	3	-	2	1	2	1	3	-	34
Johnson, Chris		-	-	-	-	-	2			-	1	2	-	-	-	1	-	-	-	-	-	-	1	-	-	7
Keating, Clark					-	-	-	1	1	1	1	-			-								-	-	-	4
Lappin, Nigel	-	1	-	1	-	-	-	1	-	-	1								1	-	-	-	1	1	-	7
Leppitsch, Justin	5	-	-	2	-	-	-	-			-	-	-	1	-	-	-	-	3	-	-	1	-	-	-	12
Lynch, Alastair	1	5	-	1		5	3	1	5	4	2	4	1	2	7	7	5	1			3	1	7	5	4	74
McDonald, Beau	1	-				-							-	-	-	-	1	-	-	-	-	-		-	-	2
McGrath, Ashley	-	-	-	-	-									-	-	-	-									
McLaren, Dylan	-		-	-																						
McRae, Craig	1	1	1	1	1	3	1	3	-	1	1	-	2	-	1	3	1	3	1	1		-	1	1	1	29
Michael, Mal	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Morrison, Shane						-			-										-							
Notting, Tim	1	-	1	-	-	2	1	-	-	1			-	1	1	-		1	1	1	-	-	1	2	-	14
Pike, Martin	1	1	-	1	-	1	1	1	1	1	2	-	-	-	1	-	1	-	1	1	-	-	-	-	-	14
Power, Luke	-				2	2	-	1	1	1	-	-	1	-	1	-	2	1	2	2	2	1	-	-	-	19
Scott, Brad	-	-	1	-	-	1	1	-	-	-	1	1	-	-	1	-	-	1	-	-	1	-	-	-	-	8
Scott, Chris	-	-	-	-	1	2	-	-			-	1	1	-	-	-	-	-	-	-	-	-	-		-	5
Shattock, Aaron				-					-	1	-	3	-	1	-	-	1	-	1	-		-	-	-	-	7
Voss, Michael	1	3	2	2	1	-	1	1	3	1	2				3	2	2	1	-	5	-	2	-	3	1	36
White, Darryl	2	-	1	2		-		-	-	-		-	-	-	1	2	-	-	-	1	-		1	1	-	11
Totals	17	21	17	14	10	21	19	16	16	14	16	20	19	16	18	17	18	16	14	20	16	13	17	21	10	416
Opponent	SY	HW	ES	WB	WC	GE	PA	CW	FR	AD	SK	KA	CA	ME	RI	SY	HW	ES	WB	WC	GE	PA	AD	PA	CW	
