Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Alvey, Mark	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1
Bandy, Daniel	3	1	-	1	2	2	-	4	1	3	-	3	-	4	1	-	2	-	1	1	2	1	32
Bartlett, Trent	-	1		2	1	-	1																5
Birss, Shane		-	1	-	-	-	-	-	-	-	-	-	-	-		1	-	1	-		-		3
Bowden, Patrick			-	-																-		-	
Brown, Nathan	1	-	-	-	-	1	-	2	-	-	-	1	-	1	-	3	2	-	1	2	3	2	19
Croft, Matthew	1	-	1	1	-	-	-	2	-	2	1	1	1	-	1	3	1				-	1	16
Cross, Daniel										-	-			-	-								
Darcy, Luke	1	1	1	1	-	1	1	4	2	1	3	3	1	3	1	2	2	-	-	4	1	-	33
Dimattina, Paul	1	-		-	-	-	-		1	-	-	-	-		-	1	-	-	-	-	-	1	4
Eagleton, Nathan					-	1	-	-	-	-	-	-	-	-							-	-	1
Garlick, Simon	1	-	-	-	-	-	-	1	-	-	-	-	1	-	-	1	-	-	1	-	-	-	5
Giansiracusa, Daniel	-	2	-	1	-	-	-	1	-	-	-	-	1	-	1	-	-	-	-	-	-	1	7
Gilbee, Lindsay			-	1	-	-	-	-	-	-	-	1	-					-	-	-	-	-	2
Grant, Chris	1	3	-	1	2	1	1	1	7	2	3	3	-	3	1	1	1		1	-	4	2	38
Hahn, Mitch		1	-	-												-	-	1	-	-	-	1	3
Hargrave, Ryan	-	-	-			-		1	1	-	1	2	1	-	-	-	-	-	-	-	-	-	6
Harrison, Ben	-	-	-	-	-	3	-	1	-	-	3	-	1	-	-	1	1	-		-		-	10
Hunter, Kingsley	1	-	-	-	-		-	-	1	-	1	1	2	-	-	-	-	1	-	2			9
James, Aaron	-																						
Johnson, Brad	1	1	-	-	1	-	1	1	3	1	1	2	1	-	1	-	1	1	-	1	-	-	17
Kretiuk, Steven	-		2	-	-	-	-	2	-		-	-	2	-	-		-	2	-	-	-		8
Lake, Brian																					1		1
Liberatore, Tony	-	1	-	-	-	-	1	-	-	-	-	-	-		-	-	-						2
McGuinness, Kieran														1	1				1			2	5
McMahon, Jordan	-	-	1	-	-			-						-	-	-	-	1	-	-	-	-	2
Murphy, Robert				1	1	-	-	-	-	-	-	-	-	1	1	-	1	-	2	-	-	-	7
Penny, Luke	-	5																1	1	-	1		8
Power, Sam																	-	-	-	-	-	-	
Robbins, Matthew	2	-	-												-	-		-					2
Saunders, Nathan						1	2	1	2	1	1	2	-	-		-							10
Smith, Rohan	1	-	-	-	-	1	-	1	-	-	2	-	-	-	1	-	1	1	1	-	-	-	9
West, Scott	-	-	1		-	1	-	-	-	-		-	-	-	-	-	-	1	-	-			3
Wiggins, Patrick																						-	
Totals	14	16	7	9	7	12	7	22	18	10	16	19	12	13	9	13	12	10	9	10	12	11	268
Opponent	AD	KA	WC	BL	ME	CA	CW	SY	GE	RI	FR	SK	PA	ES	HW	AD	KA	WC	BL	ME	CA	CW	
